NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	1	0.4471670091152191	0.11083434	Yes	
row_1	CCL5	Ccl5	9	0.3305954337120056	0.18928558	Yes	
row_2	PDCD4	Pdcd4	47	0.20790711045265198	0.22045207	Yes	
row_3	CD6	Cd6	48	0.20340071618556976	0.2711203	Yes	
row_4	SCIMP	Scimp	87	0.15873141586780548	0.28947946	Yes	
row_5	TSPO	Tspo	93	0.15436528623104095	0.32514563	Yes	
row_6	MALT1	Malt1	120	0.1353452354669571	0.3443681	Yes	
row_7	PTPN22	Ptpn22	127	0.12953336536884308	0.3732911	Yes	
row_8	PYCARD	Pycard	136	0.12501107156276703	0.39997274	Yes	
row_9	LY96	Ly96	140	0.1218685731291771	0.4286586	Yes	
row_10	TGFB1	Tgfb1	149	0.11686088144779205	0.45330998	Yes	
row_11	STAP1	Stap1	169	0.10694723576307297	0.46936026	Yes	
row_12	CCL3	Ccl3	172	0.10407315939664841	0.49417064	Yes	
row_13	IRF8	Irf8	174	0.10313622653484344	0.51930505	Yes	
row_14	TNIP3	Tnip3	204	0.0944732055068016	0.52667385	Yes	
row_15	ZFP36	Zfp36	214	0.09041959792375565	0.5441811	Yes	
row_16	CD68	Cd68	251	0.0815633162856102	0.5444321	Yes	
row_17	NFKBIA	Nfkbia	259	0.07994456589221954	0.56044483	Yes	
row_18	CX3CR1	Cx3cr1	311	0.06440193951129913	0.54805964	No	
row_19	XBP1	Xbp1	382	0.052949458360672	0.5222307	No	
row_20	HMGB2	Hmgb2	541	0.03413475304841995	0.44266248	No	
row_21	TRIM5	Trim12c	672	0.022870223969221115	0.3758958	No	
row_22	CASP1	Casp1	734	0.016676345840096474	0.34604773	No	
row_23	STAR	Star	753	0.015182479284703732	0.33979633	No	
row_24	TLR6	Tlr6	767	0.014022589661180973	0.33604306	No	
row_25	ZC3H12A	Zc3h12a	810	0.010308790020644665	0.31519964	No	
row_26	PDCD1LG2	Pdcd1lg2	870	0.004802822135388851	0.28350866	No	
row_27	IRAK2	Irak2	950	-0.0021281877998262644	0.24000314	No	
row_28	NR1D1	Nr1d1	1025	-0.00856394600123167	0.20088784	No	
row_29	TIRAP	Tirap	1190	-0.023586632683873177	0.11534758	No	
row_30	TNFAIP3	Tnfaip3	1260	-0.03060722164809704	0.08451046	No	
row_31	ICAM1	Icam1	1272	-0.03228365257382393	0.086420946	No	
row_32	CD274	Cd274	1399	-0.04476122930645943	0.0273371	No	
row_33	PDE4B	Pde4b	1404	-0.045519016683101654	0.036446482	No	
row_34	VIM	Vim	1429	-0.04782485216856003	0.03498199	No	
row_35	IRGM	Irgm2	1441	-0.049420200288295746	0.04116128	No	
row_36	CD86	Cd86	1480	-0.05530353635549545	0.033755977	No	
row_37	CMPK2	Cmpk2	1511	-0.061147745698690414	0.03226581	No	
row_38	PRKCA	Prkca	1513	-0.06140999495983124	0.04700596	No	
row_39	SGMS1	Sgms1	1568	-0.07150408625602722	0.034717686	No	
row_40	CD55	Cd55	1574	-0.07274803519248962	0.05005255	No	
row_41	ASS1	Ass1	1625	-0.08240000903606415	0.042708162	No	
row_42	MAPK8	Mapk8	1660	-0.09080711007118225	0.04637665	No	
row_43	TNF	Tnf	1690	-0.09996147453784943	0.055112604	No	
row_44	MTDH	Mtdh	1706	-0.1076938733458519	0.07357854	No	
