NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3926728367805481	0.14369464	Yes	
row_1	CCL5	Ccl5	9	0.3305954337120056	0.2633147	Yes	
row_2	ACTG1	Actg1	19	0.2894119322299957	0.365496	Yes	
row_3	TSPAN32	Tspan32	26	0.25095149874687195	0.45508835	Yes	
row_4	GNAS	Gnas	33	0.22650864720344543	0.5356336	Yes	
row_5	UBASH3B	Ubash3b	38	0.21883629262447357	0.61443675	Yes	
row_6	PLEK	Plek	44	0.21069468557834625	0.6896776	Yes	
row_7	ACTB	Actb	45	0.2099303901195526	0.76737976	Yes	
row_8	PTPN6	Ptpn6	128	0.12868139147758484	0.7700035	Yes	
row_9	TLN1	Tln1	225	0.08683028072118759	0.7494529	No	
row_10	MYH9	Myh9	378	0.05326319858431816	0.68574256	No	
row_11	RAP2B	Rap2b	603	0.028962545096874237	0.5735207	No	
row_12	CD9	Cd9	813	0.0102461576461792	0.46260408	No	
row_13	FLNA	Flna	986	-0.005943802651017904	0.3704023	No	
row_14	ZNF703	Zfp703	1082	-0.013280889950692654	0.32317752	No	
row_15	PRKCA	Prkca	1513	-0.06140999495983124	0.10990298	No	
row_16	LGALS1	Lgals1	1803	-0.18351128697395325	0.019209662	No	
