NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNASEL	Rnasel	386	0.052344392985105515	-0.19746818	No	
row_1	DICER1	Dicer1	396	0.051523130387067795	-0.18632911	No	
row_2	YBEY	Ybey	656	0.023805459961295128	-0.322369	No	
row_3	OSGEPL1	Osgepl1	660	0.02354835718870163	-0.31666112	No	
row_4	SRRT	Srrt	832	0.008335266262292862	-0.40878928	No	
row_5	NSA2	Nsa2	908	0.0019087641267105937	-0.44974315	No	
row_6	LARP7	Larp7	923	3.3830536995083094E-4	-0.4573935	No	
row_7	AGO3	Ago3	935	-3.1671958277001977E-4	-0.46338856	No	
row_8	NOL8	Nol8	1046	-0.01058717630803585	-0.5210169	No	
row_9	ISG20	Isg20	1073	-0.012571178376674652	-0.5314869	No	
row_10	HNRNPA2B1	Hnrnpa2b1	1165	-0.021682366728782654	-0.5751165	No	
row_11	ESF1	Esf1	1212	-0.025504717603325844	-0.59261906	No	
row_12	STAT3	Stat3	1215	-0.02601134590804577	-0.5855863	No	
row_13	ALKBH1	Alkbh1	1217	-0.02619219198822975	-0.57794297	No	
row_14	TRMT6	Trmt6	1237	-0.02775442786514759	-0.57978296	No	
row_15	AGO2	Ago2	1265	-0.03165749832987785	-0.58483356	No	
row_16	NOP14	Nop14	1368	-0.04206325486302376	-0.6281787	No	
row_17	UTP14C	Utp14b	1552	-0.06775274127721786	-0.7083591	No	
row_18	DDX21	Ddx21	1611	-0.08068758249282837	-0.7152393	Yes	
row_19	NOP58	Nop58	1628	-0.08254306018352509	-0.69827	Yes	
row_20	XRN2	Xrn2	1668	-0.09386837482452393	-0.69049865	Yes	
row_21	NOLC1	Nolc1	1718	-0.11386838555335999	-0.682008	Yes	
row_22	METTL1	Mettl1	1722	-0.11728107929229736	-0.6469646	Yes	
row_23	RPS17	Rps17	1723	-0.11757002770900726	-0.6101687	Yes	
row_24	MPHOSPH10	Mphosph10	1752	-0.13075032830238342	-0.5847602	Yes	
row_25	DKC1	Dkc1	1763	-0.14035432040691376	-0.5463736	Yes	
row_26	RPS16	Rps16	1765	-0.14085543155670166	-0.50284404	Yes	
row_27	RPS27	Rps27	1778	-0.15053215622901917	-0.46238017	Yes	
row_28	NOP56	Nop56	1790	-0.1666279286146164	-0.41632476	Yes	
row_29	RPS2	Rps2	1802	-0.1830982267856598	-0.36511463	Yes	
row_30	RPS7	Rps7	1830	-0.27901554107666016	-0.2927495	Yes	
row_31	RPS8	Rps8	1832	-0.30077749490737915	-0.1991691	Yes	
row_32	RPS19	Rps19	1834	-0.3106273114681244	-0.10250599	Yes	
row_33	RPS24	Rps24	1837	-0.3328368067741394	5.5401033E-4	Yes	
