NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNOT6L	Cnot6l	113	0.13864383101463318	-0.031306647	No	
row_1	EP300	Ep300	124	0.1331917941570282	-0.006075578	No	
row_2	CDKN2C	Cdkn2c	158	0.11212210357189178	0.0013696132	No	
row_3	APC	Apc	226	0.08676447719335556	-0.016136857	No	
row_4	TAOK3	Taok3	326	0.06194568797945976	-0.057347875	No	
row_5	ZFP36L2	Zfp36l2	372	0.05451064929366112	-0.06997757	No	
row_6	FOXN3	Foxn3	374	0.05440225079655647	-0.057941005	No	
row_7	ARID3A	Arid3a	407	0.05029250308871269	-0.0642523	No	
row_8	PML	Pml	416	0.04937325417995453	-0.057308454	No	
row_9	MDM1	Mdm1	491	0.0391891747713089	-0.08975994	No	
row_10	PTTG1	Pttg1	524	0.03578563407063484	-0.09943054	No	
row_11	CDK2AP2	Cdk2ap2	545	0.03397548198699951	-0.1027863	No	
row_12	CDC14B	Cdc14b	627	0.026771657168865204	-0.14204143	No	
row_13	SUZ12	Suz12	639	0.025713559240102768	-0.14225988	No	
row_14	PHC3	Phc3	852	0.006514913868159056	-0.25971872	No	
row_15	MGA	Mga	877	0.004261840134859085	-0.2721998	No	
row_16	HMGN5	Hmgn5	894	0.0035354946739971638	-0.2803598	No	
row_17	GEN1	Gen1	911	0.0015262417728081346	-0.28898504	No	
row_18	PCGF2	Pcgf2	1022	-0.008386678993701935	-0.34877136	No	
row_19	PLK3	Plk3	1027	-0.00861277524381876	-0.3490216	No	
row_20	CDKN1B	Cdkn1b	1074	-0.01258162409067154	-0.3719218	No	
row_21	SOX4	Sox4	1085	-0.013578380458056927	-0.3743892	No	
row_22	AURKA	Aurka	1124	-0.017201712355017662	-0.39173022	No	
row_23	BLM	Blm	1128	-0.017681781202554703	-0.3893192	No	
row_24	PCBP4	Pcbp4	1197	-0.024060379713773727	-0.421907	No	
row_25	PSMB9	Psmb9	1236	-0.02769991010427475	-0.436817	No	
row_26	TPR	Tpr	1290	-0.03354199603199959	-0.45879167	No	
row_27	ZFP36L1	Zfp36l1	1428	-0.04780084267258644	-0.52460253	No	
row_28	PSME1	Psme1	1450	-0.051423683762550354	-0.52447903	No	
row_29	CDK6	Cdk6	1458	-0.05264914408326149	-0.51621544	No	
row_30	BRCA1	Brca1	1469	-0.05378033220767975	-0.50937337	No	
row_31	CCP110	Ccp110	1499	-0.058705877512693405	-0.5120529	No	
row_32	RBBP8	Rbbp8	1553	-0.06784813106060028	-0.5260834	No	
row_33	PSMB8	Psmb8	1587	-0.07597187161445618	-0.5270094	Yes	
row_34	JADE1	Jade1	1588	-0.07620391994714737	-0.5093632	Yes	
row_35	NACC2	Nacc2	1593	-0.07678163051605225	-0.4938278	Yes	
row_36	CALR	Calr	1596	-0.0772918164730072	-0.4770519	Yes	
row_37	CDC20	Cdc20	1598	-0.07769331336021423	-0.45962194	Yes	
row_38	RRM2	Rrm2	1620	-0.08208263665437698	-0.45239887	Yes	
row_39	ATRX	Atrx	1626	-0.08240371942520142	-0.43612278	Yes	
row_40	NDC80	Ndc80	1655	-0.0893658697605133	-0.43114132	Yes	
row_41	GADD45A	Gadd45a	1673	-0.09495329111814499	-0.41869318	Yes	
row_42	DTL	Dtl	1678	-0.09643038362264633	-0.39860782	Yes	
row_43	CBX5	Cbx5	1679	-0.09647281467914581	-0.37626797	Yes	
row_44	RPL23	Rpl23	1688	-0.09967274218797684	-0.35767645	Yes	
row_45	PSMB10	Psmb10	1692	-0.10207001119852066	-0.33572397	Yes	
row_46	PSME2	Psme2	1715	-0.11327419430017471	-0.32183915	Yes	
row_47	PCGF6	Pcgf6	1729	-0.11850031465291977	-0.30169362	Yes	
row_48	EZH2	Ezh2	1733	-0.11966704577207565	-0.27566627	Yes	
row_49	BTG2	Btg2	1764	-0.14067193865776062	-0.25992638	Yes	
row_50	CCNB1	Ccnb1	1770	-0.1437644362449646	-0.22944121	Yes	
row_51	MIF	Mif	1788	-0.163016676902771	-0.20123187	Yes	
row_52	BCL2	Bcl2	1794	-0.16948607563972473	-0.16479044	Yes	
row_53	NPM1	Npm1	1795	-0.17195343971252441	-0.12497179	Yes	
row_54	CDK1	Cdk1	1798	-0.17727868258953094	-0.08504234	Yes	
row_55	RGCC	Rgcc	1807	-0.19156163930892944	-0.045172445	Yes	
row_56	HSP90AB1	Hsp90ab1	1828	-0.2677741050720215	0.0056116874	Yes	
