NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR2	Ccr2	2	0.40328532457351685	0.073216245	Yes	
row_1	SH2D1A	Sh2d1a	4	0.36161643266677856	0.13931173	Yes	
row_2	XCL1	Xcl1	11	0.32624733448028564	0.19608821	Yes	
row_3	KLRD1	Klrd1	13	0.3197377026081085	0.25446436	Yes	
row_4	KLRK1	Klrk1	18	0.2917720079421997	0.30600595	Yes	
row_5	TBX21	Tbx21	25	0.2525368928909302	0.34919566	Yes	
row_6	SLAMF6	Slamf6	29	0.24575039744377136	0.39281416	Yes	
row_7	CD160	Cd160	54	0.19266732037067413	0.41488996	Yes	
row_8	SCIMP	Scimp	87	0.15873141586780548	0.4262312	Yes	
row_9	PTPRC	Ptprc	103	0.14688009023666382	0.44490638	Yes	
row_10	RAC2	Rac2	115	0.13800020515918732	0.46418443	Yes	
row_11	MALT1	Malt1	120	0.1353452354669571	0.48689246	Yes	
row_12	PTPN22	Ptpn22	127	0.12953336536884308	0.5074094	Yes	
row_13	LAPTM5	Laptm5	147	0.11929760873317719	0.5187608	Yes	
row_14	TGFB1	Tgfb1	149	0.11686088144779205	0.5397414	Yes	
row_15	STAP1	Stap1	169	0.10694723576307297	0.54881626	Yes	
row_16	DDX58	Ddx58	239	0.08532213419675827	0.52590954	No	
row_17	F2RL1	F2rl1	261	0.07858030498027802	0.52863586	No	
row_18	ZBTB1	Zbtb1	332	0.060398053377866745	0.50057507	No	
row_19	LAG3	Lag3	345	0.058052752166986465	0.5045568	No	
row_20	PVR	Pvr	361	0.05564253032207489	0.50641453	No	
row_21	CRTAM	Crtam	370	0.054846517741680145	0.5120449	No	
row_22	XBP1	Xbp1	382	0.052949458360672	0.51564586	No	
row_23	CD28	Cd28	414	0.049397729337215424	0.5073939	No	
row_24	ANKRD17	Ankrd17	477	0.04111334681510925	0.48025775	No	
row_25	MYB	Myb	543	0.03400101140141487	0.45013085	No	
row_26	NSD2	Nsd2	583	0.030834417790174484	0.43397793	No	
row_27	RSAD2	Rsad2	616	0.027689199894666672	0.42116463	No	
row_28	NFKBID	Nfkbid	620	0.027030672878026962	0.42446738	No	
row_29	APPL2	Appl2	668	0.02302875928580761	0.40239638	No	
row_30	CD84	Cd84	775	0.013725068420171738	0.34557578	No	
row_31	LTA	Lta	777	0.013549639843404293	0.3475134	No	
row_32	TYROBP	Tyrobp	787	0.012699143029749393	0.34481502	No	
row_33	IL18RAP	Il18rap	831	0.008386083878576756	0.32228464	No	
row_34	TNFRSF4	Tnfrsf4	905	0.0024307281710207462	0.28185922	No	
row_35	CD46	Cd46	974	-0.005081998649984598	0.24472205	No	
row_36	IL4R	Il4ra	1024	-0.008470012806355953	0.21884769	No	
row_37	HLA-A	H2-D1	1040	-0.01009691134095192	0.21231017	No	
row_38	RASGRP1	Rasgrp1	1169	-0.02189367450773716	0.1446772	No	
row_39	NFKBIZ	Nfkbiz	1245	-0.028497951105237007	0.10793684	No	
row_40	DHX58	Dhx58	1291	-0.03367070108652115	0.08894727	No	
row_41	DDX60	Ddx60	1337	-0.03865153715014458	0.070875786	No	
row_42	NR4A3	Nr4a3	1349	-0.03997338190674782	0.07208491	No	
row_43	ITGB2	Itgb2	1433	-0.04842843487858772	0.03453898	No	
row_44	IL18R1	Il18r1	1439	-0.049222949892282486	0.040812507	No	
row_45	GATA3	Gata3	1479	-0.05528503283858299	0.029166484	No	
row_46	CD86	Cd86	1480	-0.05530353635549545	0.039360378	No	
row_47	DDX21	Ddx21	1611	-0.08068758249282837	-0.018555142	No	
row_48	HLA-E	H2-T23	1676	-0.09557116031646729	-0.036773138	No	
row_49	TNF	Tnf	1690	-0.09996147453784943	-0.02562645	No	
row_50	RIF1	Rif1	1703	-0.1070585772395134	-0.012611671	No	
row_51	CD226	Cd226	1787	-0.16179446876049042	-0.029261272	No	
row_52	RPS19	Rps19	1834	-0.3106273114681244	0.002239609	No	
