NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR2	Ccr2	2	0.40328532457351685	0.05116146	Yes	
row_1	SH2D1A	Sh2d1a	4	0.36161643266677856	0.097489305	Yes	
row_2	XCL1	Xcl1	11	0.32624733448028564	0.13637786	Yes	
row_3	KLRD1	Klrd1	13	0.3197377026081085	0.1772744	Yes	
row_4	KLRK1	Klrk1	18	0.2917720079421997	0.21283273	Yes	
row_5	TBX21	Tbx21	25	0.2525368928909302	0.24216172	Yes	
row_6	TSPAN32	Tspan32	26	0.25095149874687195	0.2747078	Yes	
row_7	SLAMF6	Slamf6	29	0.24575039744377136	0.30543843	Yes	
row_8	KLRC1	Klrc1	31	0.23775310814380646	0.33570236	Yes	
row_9	CD160	Cd160	54	0.19266732037067413	0.3481396	Yes	
row_10	SCIMP	Scimp	87	0.15873141586780548	0.35047117	Yes	
row_11	PTPRC	Ptprc	103	0.14688009023666382	0.3609634	Yes	
row_12	RAC2	Rac2	115	0.13800020515918732	0.37258577	Yes	
row_13	CD47	Cd47	116	0.13759204745292664	0.39043018	Yes	
row_14	MALT1	Malt1	120	0.1353452354669571	0.40627187	Yes	
row_15	PTPN22	Ptpn22	127	0.12953336536884308	0.41964844	Yes	
row_16	PTPN6	Ptpn6	128	0.12868139147758484	0.4363372	Yes	
row_17	PYCARD	Pycard	136	0.12501107156276703	0.44855684	Yes	
row_18	LAPTM5	Laptm5	147	0.11929760873317719	0.4583241	Yes	
row_19	TGFB1	Tgfb1	149	0.11686088144779205	0.47290945	Yes	
row_20	STAP1	Stap1	169	0.10694723576307297	0.47594094	Yes	
row_21	ARRB2	Arrb2	219	0.08871075510978699	0.45949382	No	
row_22	DDX58	Ddx58	239	0.08532213419675827	0.45972073	No	
row_23	F2RL1	F2rl1	261	0.07858030498027802	0.4579324	No	
row_24	AIM2	Aim2	286	0.07028495520353317	0.4533569	No	
row_25	RC3H2	Rc3h2	299	0.0659467801451683	0.45506418	No	
row_26	ZBTB1	Zbtb1	332	0.060398053377866745	0.4446428	No	
row_27	LAG3	Lag3	345	0.058052752166986465	0.44532633	No	
row_28	PVR	Pvr	361	0.05564253032207489	0.44398588	No	
row_29	CRTAM	Crtam	370	0.054846517741680145	0.44653535	No	
row_30	XBP1	Xbp1	382	0.052949458360672	0.44712746	No	
