NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH2D1A	Sh2d1a	4	0.36161643266677856	0.12107199	Yes	
row_1	XCL1	Xcl1	11	0.32624733448028564	0.22898608	Yes	
row_2	KLRD1	Klrd1	13	0.3197377026081085	0.33743286	Yes	
row_3	KLRK1	Klrk1	18	0.2917720079421997	0.4346952	Yes	
row_4	SLAMF6	Slamf6	29	0.24575039744377136	0.5129668	Yes	
row_5	KLRC1	Klrc1	31	0.23775310814380646	0.59346545	Yes	
row_6	CD160	Cd160	54	0.19266732037067413	0.647037	Yes	
row_7	PTPRC	Ptprc	103	0.14688009023666382	0.6706906	Yes	
row_8	STAP1	Stap1	169	0.10694723576307297	0.67137516	Yes	
row_9	ARRB2	Arrb2	219	0.08871075510978699	0.67464876	Yes	
row_10	F2RL1	F2rl1	261	0.07858030498027802	0.67887175	Yes	
row_11	LAG3	Lag3	345	0.058052752166986465	0.652982	No	
row_12	PVR	Pvr	361	0.05564253032207489	0.6636949	No	
row_13	CRTAM	Crtam	370	0.054846517741680145	0.67798895	No	
row_14	TYROBP	Tyrobp	787	0.012699143029749393	0.45336923	No	
row_15	IL18RAP	Il18rap	831	0.008386083878576756	0.43256262	No	
row_16	HLA-A	H2-D1	1040	-0.01009691134095192	0.3215302	No	
row_17	RASGRP1	Rasgrp1	1169	-0.02189367450773716	0.25854787	No	
row_18	IL7R	Il7r	1213	-0.02552042528986931	0.24358228	No	
row_19	ICAM1	Icam1	1272	-0.03228365257382393	0.22266689	No	
row_20	HLA-E	H2-T23	1676	-0.09557116031646729	0.0334525	No	
row_21	CD226	Cd226	1787	-0.16179446876049042	0.028068155	No	
