NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR2	Ccr2	2	0.40328532457351685	0.1800748	Yes	
row_1	CCL5	Ccl5	9	0.3305954337120056	0.32530022	Yes	
row_2	XCL1	Xcl1	11	0.32624733448028564	0.47131503	Yes	
row_3	CCL4	Ccl4	14	0.3131081461906433	0.61087865	Yes	
row_4	KLRK1	Klrk1	18	0.2917720079421997	0.74030864	Yes	
row_5	PYCARD	Pycard	136	0.12501107156276703	0.73228866	Yes	
row_6	CCL3	Ccl3	172	0.10407315939664841	0.7598434	Yes	
row_7	ITGA4	Itga4	223	0.08718926459550858	0.771585	Yes	
row_8	WNK1	Wnk1	346	0.0576275959610939	0.73055094	No	
row_9	ECM1	Ecm1	637	0.025773247703909874	0.58305085	No	
row_10	STK39	Stk39	665	0.023356318473815918	0.57873267	No	
row_11	SPN	Spn	967	-0.004145254846662283	0.41548246	No	
row_12	MIA3	Mia3	1083	-0.013308295048773289	0.35837823	No	
row_13	CD200	Cd200	1162	-0.021186163648962975	0.3251093	No	
row_14	RIPOR2	Ripor2	1202	-0.024783426895737648	0.31484967	No	
row_15	CD99L2	Cd99l2	1580	-0.07451960444450378	0.1415249	No	
