NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	1	0.4471670091152191	0.15579714	Yes	
row_1	CCR2	Ccr2	2	0.40328532457351685	0.29680076	Yes	
row_2	CCL5	Ccl5	9	0.3305954337120056	0.4090944	Yes	
row_3	XCL1	Xcl1	11	0.32624733448028564	0.52261347	Yes	
row_4	CCL4	Ccl4	14	0.3131081461906433	0.6309895	Yes	
row_5	CXCR6	Cxcr6	30	0.24224966764450073	0.7074518	Yes	
row_6	CXCR3	Cxcr3	143	0.12085402756929398	0.6882022	Yes	
row_7	CCL3	Ccl3	172	0.10407315939664841	0.7092139	Yes	
row_8	CX3CR1	Cx3cr1	311	0.06440193951129913	0.6559487	No	
row_9	WNK1	Wnk1	346	0.0576275959610939	0.6574264	No	
row_10	STK39	Stk39	665	0.023356318473815918	0.4909633	No	
row_11	CXCR4	Cxcr4	670	0.022946752607822418	0.49678978	No	
row_12	CXCR5	Cxcr5	676	0.02240775339305401	0.5018786	No	
row_13	ZC3H12A	Zc3h12a	810	0.010308790020644665	0.43244615	No	
row_14	SLC12A2	Slc12a2	979	-0.005415360908955336	0.34208256	No	
row_15	RIPOR2	Ripor2	1202	-0.024783426895737648	0.22883675	No	
row_16	CCR9	Ccr9	1754	-0.13221673667430878	-0.027516352	No	
row_17	CCR7	Ccr7	1818	-0.2090611755847931	0.010982868	No	
