NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XRN1	Xrn1	354	0.05614635348320007	-0.17597967	No	
row_1	RNASEL	Rnasel	386	0.052344392985105515	-0.17519784	No	
row_2	YBEY	Ybey	656	0.023805459961295128	-0.31536138	No	
row_3	NSA2	Nsa2	908	0.0019087641267105937	-0.45307797	No	
row_4	NOL8	Nol8	1046	-0.01058717630803585	-0.52498704	No	
row_5	SLFN13	Slfn8	1066	-0.012294546701014042	-0.5312636	No	
row_6	ISG20	Isg20	1073	-0.012571178376674652	-0.5302792	No	
row_7	ESF1	Esf1	1212	-0.025504717603325844	-0.59764653	No	
row_8	NOP14	Nop14	1368	-0.04206325486302376	-0.66873205	No	
row_9	UTP14C	Utp14b	1552	-0.06775274127721786	-0.7464823	No	
row_10	DDX21	Ddx21	1611	-0.08068758249282837	-0.75090796	Yes	
row_11	NOP58	Nop58	1628	-0.08254306018352509	-0.7315469	Yes	
row_12	XRN2	Xrn2	1668	-0.09386837482452393	-0.7209983	Yes	
row_13	NOLC1	Nolc1	1718	-0.11386838555335999	-0.7091341	Yes	
row_14	RPS17	Rps17	1723	-0.11757002770900726	-0.6711991	Yes	
row_15	MPHOSPH10	Mphosph10	1752	-0.13075032830238342	-0.64199454	Yes	
row_16	DKC1	Dkc1	1763	-0.14035432040691376	-0.5995882	Yes	
row_17	RPS16	Rps16	1765	-0.14085543155670166	-0.5520494	Yes	
row_18	RPS27	Rps27	1778	-0.15053215622901917	-0.50727075	Yes	
row_19	NOP56	Nop56	1790	-0.1666279286146164	-0.45644554	Yes	
row_20	RPS2	Rps2	1802	-0.1830982267856598	-0.39999712	Yes	
row_21	RPS7	Rps7	1830	-0.27901554107666016	-0.3196214	Yes	
row_22	RPS8	Rps8	1832	-0.30077749490737915	-0.2174829	Yes	
row_23	RPS19	Rps19	1834	-0.3106273114681244	-0.11198152	Yes	
row_24	RPS24	Rps24	1837	-0.3328368067741394	5.51241E-4	Yes	
