NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	19	0.2894119322299957	0.042096104	Yes	
row_1	MYL6	Myl6	24	0.25591805577278137	0.086552665	Yes	
row_2	FYN	Fyn	27	0.24973702430725098	0.13101085	Yes	
row_3	ACTB	Actb	45	0.2099303901195526	0.15972798	Yes	
row_4	ZYX	Zyx	66	0.17792844772338867	0.18090841	Yes	
row_5	PEAK1	Peak1	80	0.1679537445306778	0.20422281	Yes	
row_6	COTL1	Cotl1	81	0.16715137660503387	0.23473538	Yes	
row_7	ARPC5	Arpc5	100	0.1493060290813446	0.2518209	Yes	
row_8	RAC2	Rac2	115	0.13800020515918732	0.26910248	Yes	
row_9	CNN2	Cnn2	134	0.12529540061950684	0.28180498	Yes	
row_10	ASAP1	Asap1	156	0.11320144683122635	0.2906049	Yes	
row_11	MYO1F	Myo1f	157	0.11229001730680466	0.3111028	Yes	
row_12	STK17B	Stk17b	175	0.10281103104352951	0.3202659	Yes	
row_13	ACTR3	Actr3	184	0.09968917816877365	0.3339438	Yes	
row_14	IQGAP2	Iqgap2	186	0.09895550459623337	0.35144264	Yes	
row_15	DGKH	Dgkh	189	0.09784103184938431	0.36817303	Yes	
row_16	TPM4	Tpm4	201	0.09462174773216248	0.37923104	Yes	
row_17	LCP1	Lcp1	203	0.09450867772102356	0.3959181	Yes	
row_18	DDX58	Ddx58	239	0.08532213419675827	0.3917192	Yes	
row_19	MACF1	Macf1	249	0.0817568302154541	0.4015587	Yes	
row_20	GAS7	Gas7	257	0.08010382205247879	0.4122264	Yes	
row_21	DUSP22	Dusp22	264	0.07746458053588867	0.4229773	Yes	
row_22	PPP1R12A	Ppp1r12a	271	0.0757846012711525	0.43342155	Yes	
row_23	PALLD	Palld	295	0.0665472000837326	0.43257502	Yes	
row_24	DAAM1	Daam1	307	0.0648658350110054	0.43820125	Yes	
row_25	MYLPF	Mylpf	338	0.05866007134318352	0.43196017	No	
row_26	CDC42EP3	Cdc42ep3	366	0.055343084037303925	0.4268085	No	
row_27	MYH9	Myh9	378	0.05326319858431816	0.43031672	No	
row_28	KLHL20	Klhl20	426	0.04795505106449127	0.41251698	No	
row_29	MYO6	Myo6	481	0.04080059379339218	0.38945642	No	
row_30	BIN2	Bin2	486	0.04023098945617676	0.3945405	No	
row_31	ABLIM1	Ablim1	487	0.04016653820872307	0.40187266	No	
row_32	LSP1	Lsp1	492	0.038893621414899826	0.4067126	No	
row_33	RFLNB	Rflnb	504	0.03745109587907791	0.40733442	No	
row_34	CD2AP	Cd2ap	586	0.030750790610909462	0.3671851	No	
row_35	SWAP70	Swap70	638	0.025714712217450142	0.3430656	No	
row_36	FYB1	Fyb	678	0.022112485021352768	0.3250682	No	
row_37	SVIL	Svil	765	0.014289348386228085	0.2790891	No	
row_38	CTNNA1	Ctnna1	780	0.01326866913586855	0.27360162	No	
row_39	RCSD1	Rcsd1	828	0.008595289662480354	0.24861696	No	
row_40	FHL3	Fhl3	884	0.003837875323370099	0.21824409	No	
row_41	GAS2	Gas2	909	0.0019026041263714433	0.20503208	No	
row_42	IQGAP1	Iqgap1	925	9.549041715217754E-5	0.19657494	No	
row_43	TWF1	Twf1	936	-3.171341959387064E-4	0.19098312	No	
row_44	FLNA	Flna	986	-0.005943802651017904	0.1643845	No	
row_45	CLIC4	Clic4	1006	-0.007465167436748743	0.15501277	No	
row_46	TMOD4	Tmod4	1042	-0.010321111418306828	0.13712281	No	
row_47	EEF1A1	Eef1a1	1054	-0.011178694665431976	0.13294874	No	
row_48	CFL1	Cfl1	1090	-0.014071405865252018	0.115743384	No	
row_49	AKAP13	Akap13	1271	-0.03223521262407303	0.019932827	No	
row_50	GSN	Gsn	1279	-0.03267093002796173	0.021941924	No	
row_51	CLIC5	Clic5	1343	-0.03938322514295578	-0.0064621037	No	
row_52	CRYAB	Cryab	1352	-0.04039939492940903	-0.0036071888	No	
row_53	MYO3B	Myo3b	1396	-0.04422198235988617	-0.019828493	No	
row_54	CD274	Cd274	1399	-0.04476122930645943	-0.012787519	No	
row_55	AHNAK	Ahnak	1430	-0.04783442243933678	-0.021004759	No	
row_56	WHRN	Whrn	1464	-0.05344478413462639	-0.029892774	No	
row_57	MYO19	Myo19	1551	-0.0675225555896759	-0.06615447	No	
row_58	LPP	Lpp	1562	-0.07096780836582184	-0.0588494	No	
row_59	MYO5A	Myo5a	1585	-0.07552901655435562	-0.057491373	No	
row_60	ACTN1	Actn1	1610	-0.08065683394670486	-0.05632723	No	
row_61	CAPG	Capg	1615	-0.08099860697984695	-0.043801263	No	
row_62	MTSS1	Mtss1	1648	-0.08711861819028854	-0.04597733	No	
row_63	TSC1	Tsc1	1664	-0.09242592751979828	-0.03758006	No	
row_64	SPTBN1	Sptbn1	1702	-0.10702717304229736	-0.03894679	No	
row_65	AFAP1	Afap1	1726	-0.11776309460401535	-0.03044413	No	
row_66	PDLIM4	Pdlim4	1774	-0.14524388313293457	-0.030484326	No	
row_67	ACTN2	Actn2	1779	-0.15296222269535065	-0.004821795	No	
row_68	AUTS2	Auts2	1816	-0.20592331886291504	0.012429398	No	
