NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	19	0.2894119322299957	0.12376398	Yes	
row_1	FYN	Fyn	27	0.24973702430725098	0.23573503	Yes	
row_2	ACTB	Actb	45	0.2099303901195526	0.32373753	Yes	
row_3	COTL1	Cotl1	81	0.16715137660503387	0.38198763	Yes	
row_4	RAC2	Rac2	115	0.13800020515918732	0.427819	Yes	
row_5	TPM4	Tpm4	201	0.09462174773216248	0.42489752	Yes	
row_6	LCP1	Lcp1	203	0.09450867772102356	0.4681791	Yes	
row_7	GAS7	Gas7	257	0.08010382205247879	0.47614548	Yes	
row_8	DUSP22	Dusp22	264	0.07746458053588867	0.50876886	Yes	
row_9	PALLD	Palld	295	0.0665472000837326	0.523113	Yes	
row_10	MYO6	Myo6	481	0.04080059379339218	0.4401637	No	
row_11	CD2AP	Cd2ap	586	0.030750790610909462	0.3971569	No	
row_12	RCSD1	Rcsd1	828	0.008595289662480354	0.26843408	No	
row_13	GAS2	Gas2	909	0.0019026041263714433	0.22526361	No	
row_14	IQGAP1	Iqgap1	925	9.549041715217754E-5	0.21704799	No	
row_15	TWF1	Twf1	936	-3.171341959387064E-4	0.21168847	No	
row_16	FLNA	Flna	986	-0.005943802651017904	0.18746278	No	
row_17	WHRN	Whrn	1464	-0.05344478413462639	-0.05041523	No	
row_18	MYO5A	Myo5a	1585	-0.07552901655435562	-0.08146487	No	
row_19	ACTN1	Actn1	1610	-0.08065683394670486	-0.057272855	No	
row_20	TSC1	Tsc1	1664	-0.09242592751979828	-0.0435916	No	
row_21	PDLIM4	Pdlim4	1774	-0.14524388313293457	-0.036250878	No	
row_22	ACTN2	Actn2	1779	-0.15296222269535065	0.03248892	No	
