NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTB	Actb	45	0.2099303901195526	0.092709884	Yes	
row_1	ZYX	Zyx	66	0.17792844772338867	0.18129814	Yes	
row_2	NDRG1	Ndrg1	74	0.17329852283000946	0.2744684	Yes	
row_3	KLHL24	Klhl24	152	0.114337258040905	0.2959937	Yes	
row_4	PKP4	Pkp4	187	0.09863477200269699	0.3324575	Yes	
row_5	ABI2	Abi2	196	0.0962381362915039	0.3819282	Yes	
row_6	TLN1	Tln1	225	0.08683028072118759	0.41509372	Yes	
row_7	APC	Apc	226	0.08676447719335556	0.46367493	Yes	
row_8	PVR	Pvr	361	0.05564253032207489	0.4208789	Yes	
row_9	MYH9	Myh9	378	0.05326319858431816	0.441872	Yes	
row_10	AHI1	Ahi1	392	0.0518820695579052	0.46374744	Yes	
row_11	ANXA2	Anxa2	532	0.03515954315662384	0.40672317	No	
row_12	DDX6	Ddx6	685	0.02127281203866005	0.33474904	No	
row_13	CYTH3	Cyth3	762	0.01438224595040083	0.30085936	No	
row_14	CTNNA1	Ctnna1	780	0.01326866913586855	0.29890686	No	
row_15	KIFC3	Kifc3	838	0.0077142538502812386	0.2717693	No	
row_16	DAG1	Dag1	855	0.006251957267522812	0.26643986	No	
row_17	FRMD4A	Frmd4a	922	4.2716527241282165E-4	0.23025519	No	
row_18	MPP5	Mpp5	930	5.002913781027019E-7	0.22639234	No	
row_19	FRMD4B	Frmd4b	1003	-0.0070768254809081554	0.19061969	No	
row_20	SMAD7	Smad7	1277	-0.0325915664434433	0.05820613	No	
row_21	PKP3	Pkp3	1299	-0.03423033282160759	0.065782994	No	
row_22	S100A11	S100a11	1432	-0.0481533408164978	0.01989735	No	
row_23	ITGA6	Itga6	1526	-0.06312344968318939	0.0039169593	No	
row_24	CD99L2	Cd99l2	1580	-0.07451960444450378	0.016392563	No	
row_25	BMPR2	Bmpr2	1599	-0.07780157774686813	0.05002148	No	
row_26	PDLIM4	Pdlim4	1774	-0.14524388313293457	0.035320017	No	
