NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL13A	Rpl13a	97	0.15056666731834412	-0.018987171	No	
row_1	RPS12	Rps12	117	0.13742126524448395	0.0020984393	No	
row_2	RPL39	Rpl39	267	0.07689602673053741	-0.06254937	No	
row_3	RPS11	Rps11	304	0.06530115008354187	-0.06743103	No	
row_4	RPL32	Rpl32	320	0.06259050965309143	-0.061333455	No	
row_5	RPS15A	Rps15a	566	0.03236118331551552	-0.18925516	No	
row_6	RPSA	Rpsa	761	0.014469331130385399	-0.29311207	No	
row_7	RPLP0	Rplp0	919	7.649999461136758E-4	-0.37967658	No	
row_8	RPS26	Rps26	1232	-0.027399428188800812	-0.5457552	No	
row_9	ISG15	Isg15	1387	-0.04355447366833687	-0.62082815	No	
row_10	RPL37A	Rpl37a	1494	-0.05799233168363571	-0.6660636	No	
row_11	RPL28	Rpl28	1602	-0.07890687882900238	-0.70704484	No	
row_12	RPL23	Rpl23	1688	-0.09967274218797684	-0.73109883	Yes	
row_13	RPLP1	Rplp1	1716	-0.11358648538589478	-0.719911	Yes	
row_14	RPS17	Rps17	1723	-0.11757002770900726	-0.6962054	Yes	
row_15	RPL12	Rpl12	1761	-0.13574686646461487	-0.6854493	Yes	
row_16	RPS16	Rps16	1765	-0.14085543155670166	-0.6547347	Yes	
row_17	RPL13	Rpl13	1775	-0.1465899497270584	-0.62601703	Yes	
row_18	RPS27	Rps27	1778	-0.15053215622901917	-0.5925259	Yes	
row_19	RPS5	Rps5	1791	-0.1669297218322754	-0.56079113	Yes	
row_20	RPS2	Rps2	1802	-0.1830982267856598	-0.5242354	Yes	
row_21	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.48338836	Yes	
row_22	RPS20	Rps20	1826	-0.23914656043052673	-0.43671378	Yes	
row_23	RPS29	Rps29	1829	-0.2690037190914154	-0.37599498	Yes	
row_24	RPS7	Rps7	1830	-0.27901554107666016	-0.31187022	Yes	
row_25	RPS8	Rps8	1832	-0.30077749490737915	-0.24329652	Yes	
row_26	RPS19	Rps19	1834	-0.3106273114681244	-0.17245907	Yes	
row_27	RPS24	Rps24	1837	-0.3328368067741394	-0.09706981	Yes	
row_28	RPS3A	Rps3a1	1838	-0.4223642349243164	6.3926564E-8	Yes	
