NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FYN	Fyn	27	0.24973702430725098	0.14805895	Yes	
row_1	GNAS	Gnas	33	0.22650864720344543	0.29306656	Yes	
row_2	SNX5	Snx5	101	0.14889781177043915	0.35334307	Yes	
row_3	SLA	Sla	106	0.14276832342147827	0.44427463	Yes	
row_4	S100A6	S100a6	145	0.11988650262355804	0.50157785	Yes	
row_5	GNG2	Gng2	148	0.11788184195756912	0.57737535	Yes	
row_6	RGS1	Rgs1	167	0.10737178474664688	0.63751596	Yes	
row_7	HIP1	Hip1	224	0.08687533438205719	0.6633841	Yes	
row_8	KRAS	Kras	470	0.04203089699149132	0.55603856	No	
row_9	GNAL	Gnal	575	0.0316089391708374	0.5194522	No	
row_10	ESYT2	Esyt2	666	0.02334541268646717	0.48517612	No	
row_11	CYTH3	Cyth3	762	0.01438224595040083	0.44230285	No	
row_12	RACGAP1	Racgap1	862	0.005435505881905556	0.39139313	No	
row_13	GRAMD1A	Gramd1a	886	0.0037926379591226578	0.3812159	No	
row_14	IQGAP1	Iqgap1	925	9.549041715217754E-5	0.36037612	No	
row_15	GNA15	Gna15	1029	-0.009076135233044624	0.30964106	No	
row_16	CYLD	Cyld	1247	-0.02873726561665535	0.20902525	No	
row_17	DLG4	Dlg4	1264	-0.031163452193140984	0.22055316	No	
row_18	GNAQ	Gnaq	1346	-0.039713986217975616	0.20190524	No	
row_19	GNB4	Gnb4	1357	-0.04070259630680084	0.22295614	No	
row_20	KCNAB1	Kcnab1	1524	-0.06295940279960632	0.17271717	No	
