NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OSBPL3	Osbpl3	85	0.1615462303161621	0.062632315	Yes	
row_1	SCIMP	Scimp	87	0.15873141586780548	0.16948849	Yes	
row_2	ITGB1	Itgb1	94	0.15416833758354187	0.27051133	Yes	
row_3	RAPH1	Raph1	135	0.12506884336471558	0.33317298	Yes	
row_4	IQGAP2	Iqgap2	186	0.09895550459623337	0.3726736	Yes	
row_5	ABI2	Abi2	196	0.0962381362915039	0.43285063	Yes	
row_6	LCP1	Lcp1	203	0.09450867772102356	0.49350485	Yes	
row_7	MYO6	Myo6	481	0.04080059379339218	0.3689983	No	
row_8	DAG1	Dag1	855	0.006251957267522812	0.16839615	No	
row_9	TWF1	Twf1	936	-3.171341959387064E-4	0.12467882	No	
row_10	RUFY3	Rufy3	949	-0.0019209586316719651	0.11938885	No	
row_11	RIPOR2	Ripor2	1202	-0.024783426895737648	-0.0022269965	No	
row_12	CYFIP1	Cyfip1	1377	-0.042677026242017746	-0.06890156	No	
row_13	B4GALT1	B4galt1	1456	-0.05217090621590614	-0.076433815	No	
row_14	ITGA6	Itga6	1526	-0.06312344968318939	-0.071612716	No	
row_15	MYO5A	Myo5a	1585	-0.07552901655435562	-0.05235678	No	
row_16	ARL4C	Arl4c	1742	-0.1281190663576126	-0.05133246	No	
row_17	ACTN2	Actn2	1779	-0.15296222269535065	0.032399792	No	
