NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APC	Apc	226	0.08676447719335556	-0.06845418	No	
row_1	PPP1R12A	Ppp1r12a	271	0.0757846012711525	-0.04386711	No	
row_2	CLIP1	Clip1	328	0.06137878820300102	-0.03515504	No	
row_3	BOD1L1	Bod1l	490	0.03967927023768425	-0.09816871	No	
row_4	SUGT1	Sugt1	525	0.0357012115418911	-0.093886435	No	
row_5	DYNLL1	Dynll1	661	0.023509636521339417	-0.15300855	No	
row_6	KIF18A	Kif18a	934	-3.123827336821705E-4	-0.3024224	No	
row_7	CENPA	Cenpa	1012	-0.007790436502546072	-0.33976123	No	
row_8	CENPW	Cenpw	1093	-0.014155998826026917	-0.37465212	No	
row_9	CENPE	Cenpe	1198	-0.024119647219777107	-0.4163298	No	
row_10	ERCC6L	Ercc6l	1203	-0.02483666129410267	-0.4025404	No	
row_11	TPR	Tpr	1290	-0.03354199603199959	-0.42825106	No	
row_12	NDC80	Ndc80	1655	-0.0893658697605133	-0.57093805	Yes	
row_13	PELI1	Peli1	1672	-0.09474077820777893	-0.51874566	Yes	
row_14	CBX5	Cbx5	1679	-0.09647281467914581	-0.45993757	Yes	
row_15	KIF22	Kif22	1682	-0.09704743325710297	-0.39855936	Yes	
row_16	SPC25	Spc25	1707	-0.10819543898105621	-0.34210536	Yes	
row_17	CCNB1	Ccnb1	1770	-0.1437644362449646	-0.28365442	Yes	
row_18	SMC1A	Smc1a	1771	-0.1445993185043335	-0.19056258	Yes	
row_19	SPC24	Spc24	1796	-0.17282865941524506	-0.09249824	Yes	
row_20	BIRC5	Birc5	1800	-0.17870762944221497	0.020902073	Yes	
