NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM3	Calm2	16	0.29841315746307373	0.059423875	No	
row_1	NDRG1	Ndrg1	74	0.17329852283000946	0.066964254	No	
row_2	PBXIP1	Pbxip1	188	0.09821445494890213	0.02562088	No	
row_3	APC	Apc	226	0.08676447719335556	0.02461253	No	
row_4	KIF1B	Kif1b	245	0.08359640091657639	0.03361782	No	
row_5	MACF1	Macf1	249	0.0817568302154541	0.050680406	No	
row_6	CLIP1	Clip1	328	0.06137878820300102	0.020670572	No	
row_7	KIF3A	Kif3a	342	0.058256883174180984	0.026688367	No	
row_8	HAUS8	Haus8	385	0.05243295431137085	0.014976465	No	
row_9	KIF5C	Kif5c	403	0.05067150294780731	0.01699269	No	
row_10	TUBB2B	Tubb2b	485	0.04029587283730507	-0.019550323	No	
row_11	BOD1L1	Bod1l	490	0.03967927023768425	-0.012707394	No	
row_12	MDM1	Mdm1	491	0.0391891747713089	-0.0037157482	No	
row_13	CSPP1	Cspp1	521	0.035971321165561676	-0.0118558565	No	
row_14	CDK2AP2	Cdk2ap2	545	0.03397548198699951	-0.017062148	No	
row_15	KIF2A	Kif2a	554	0.033482685685157776	-0.01390214	No	
row_16	REEP3	Reep3	612	0.02802613377571106	-0.039693363	No	
row_17	ARHGAP18	Arhgap18	619	0.027056429535150528	-0.036877226	No	
row_18	LZTS2	Lzts2	623	0.02694433368742466	-0.032390933	No	
row_19	DCXR	Dcxr	640	0.025705285370349884	-0.03553772	No	
row_20	DYNLL1	Dynll1	661	0.023509636521339417	-0.041449443	No	
row_21	DYNLT1	Dynlt1b	675	0.022431453689932823	-0.043651506	No	
row_22	BAG2	Bag2	745	0.01611807756125927	-0.07895843	No	
row_23	SVIL	Svil	765	0.014289348386228085	-0.08642039	No	
row_24	KIFC3	Kifc3	838	0.0077142538502812386	-0.12535137	No	
row_25	RACGAP1	Racgap1	862	0.005435505881905556	-0.13710594	No	
row_26	KIFC1	Kifc5b	867	0.005146200768649578	-0.13818635	No	
row_27	GABARAPL1	Gabarapl1	876	0.004296907223761082	-0.14172278	No	
row_28	HAUS2	Haus2	882	0.003912158310413361	-0.14365162	No	
row_29	KATNAL1	Katnal1	889	0.0036474750377237797	-0.14620648	No	
row_30	GAS2	Gas2	909	0.0019026041263714433	-0.15651049	No	
row_31	NEK7	Nek7	916	0.0010200162651017308	-0.15966819	No	
row_32	IQGAP1	Iqgap1	925	9.549041715217754E-5	-0.16416861	No	
row_33	MAP1S	Map1s	931	-6.343177665257826E-5	-0.16698052	No	
row_34	KIF18A	Kif18a	934	-3.123827336821705E-4	-0.16803943	No	
row_35	DNAH8	Dnah8	951	-0.0021399117540568113	-0.1765931	No	
row_36	MTUS2	Mtus2	998	-0.006657134275883436	-0.20106906	No	
row_37	HOOK3	Hook3	1050	-0.010822702199220657	-0.22741573	No	
row_38	GRAMD2B	Gramd3	1055	-0.011230230331420898	-0.22710021	No	
row_39	SNTB2	Sntb2	1071	-0.012522861361503601	-0.23270631	No	
row_40	AURKA	Aurka	1124	-0.017201712355017662	-0.25815466	No	
row_41	PCNT	Pcnt	1138	-0.018689891323447227	-0.26121518	No	
row_42	EIF3A	Eif3a	1159	-0.021003196015954018	-0.26770198	No	
row_43	NICN1	Nicn1	1167	-0.02175256237387657	-0.26666808	No	
row_44	CENPE	Cenpe	1198	-0.024119647219777107	-0.27809274	No	
row_45	CYLD	Cyld	1247	-0.02873726561665535	-0.2986332	No	
row_46	KIF20B	Kif20b	1306	-0.03467749059200287	-0.3234636	No	
row_47	TTL	Ttl	1344	-0.03946097567677498	-0.33532536	No	
row_48	CALM1	Calm1	1365	-0.041874583810567856	-0.33702338	No	
row_49	CEP162	Cep162	1419	-0.04683186486363411	-0.35623863	No	
row_50	TUBB2A	Tubb2a	1495	-0.0582151934504509	-0.38527843	Yes	
row_51	KIFAP3	Kifap3	1518	-0.061940934509038925	-0.383503	Yes	
row_52	CEP170	Cep170	1543	-0.0660366490483284	-0.3819184	Yes	
row_53	TUBGCP5	Tubgcp5	1563	-0.07123064994812012	-0.37631562	Yes	
row_54	CEP295	Cep295	1579	-0.07440479844808578	-0.36772338	Yes	
row_55	HOOK2	Hook2	1622	-0.08227141946554184	-0.37258908	Yes	
row_56	NIN	Nin	1632	-0.0844530239701271	-0.35829964	Yes	
row_57	KIF21B	Kif21b	1658	-0.09038940817117691	-0.3516928	Yes	
row_58	PRC1	Prc1	1675	-0.09539268165826797	-0.33885035	Yes	
row_59	KIF22	Kif22	1682	-0.09704743325710297	-0.31997532	Yes	
row_60	STMN1	Stmn1	1698	-0.10521647334098816	-0.3043136	Yes	
row_61	KIF23	Kif23	1708	-0.10832269489765167	-0.28454745	Yes	
row_62	TUBA4A	Tuba4a	1712	-0.11241652071475983	-0.26045024	Yes	
row_63	TUBB4B	Tubb4b	1762	-0.13754300773143768	-0.25659135	Yes	
row_64	TUBA1A	Tuba1a	1773	-0.1451117992401123	-0.2289495	Yes	
row_65	CDK1	Cdk1	1798	-0.17727868258953094	-0.20184131	Yes	
row_66	BIRC5	Birc5	1800	-0.17870762944221497	-0.16140355	Yes	
row_67	TUBB	Tubb5	1824	-0.2282804697751999	-0.1220281	Yes	
row_68	TUBA1B	Tuba1b	1825	-0.2386627346277237	-0.067268826	Yes	
row_69	TPT1	Tpt1	1835	-0.32274961471557617	0.001695895	Yes	
