NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM3	Calm2	16	0.29841315746307373	0.014206746	No	
row_1	GEM	Gem	41	0.21617695689201355	0.016852545	No	
row_2	NDRG1	Ndrg1	74	0.17329852283000946	0.011111341	No	
row_3	MPP1	Mpp1	83	0.162663534283638	0.019299928	No	
row_4	NR3C1	Nr3c1	141	0.1213630959391594	-0.0060330946	No	
row_5	CHD3	Chd3	155	0.11394095420837402	-0.004854374	No	
row_6	BBS2	Bbs2	170	0.10617665946483612	-0.0049179355	No	
row_7	PKP4	Pkp4	187	0.09863477200269699	-0.0068219854	No	
row_8	PBXIP1	Pbxip1	188	0.09821445494890213	0.0010983564	No	
row_9	RILPL2	Rilpl2	195	0.09636867046356201	0.00517299	No	
row_10	RELB	Relb	215	0.09010036289691925	7.3226803E-4	No	
row_11	MAPKBP1	Mapkbp1	221	0.08801395446062088	0.004749292	No	
row_12	APC	Apc	226	0.08676447719335556	0.009281697	No	
row_13	TTC28	Ttc28	230	0.0865900069475174	0.014416175	No	
row_14	KIF1B	Kif1b	245	0.08359640091657639	0.012531666	No	
row_15	MACF1	Macf1	249	0.0817568302154541	0.017276382	No	
row_16	SLC18A2	Slc18a2	256	0.08034870028495789	0.02005911	No	
row_17	PPP1R12A	Ppp1r12a	271	0.0757846012711525	0.017544633	No	
row_18	ATXN7	Atxn7	272	0.07571887224912643	0.023650855	No	
row_19	PTPN7	Ptpn7	282	0.07115351408720016	0.023843626	No	
row_20	KMT2E	Kmt2e	285	0.07034813612699509	0.028284447	No	
row_21	CCNJ	Ccnj	298	0.06615330278873444	0.026225556	No	
row_22	DAAM1	Daam1	307	0.0648658350110054	0.026527409	No	
row_23	TBC1D30	Tbc1d30	312	0.06438707560300827	0.029255226	No	
row_24	CEP104	Cep104	314	0.06383712589740753	0.03378712	No	
row_25	CLIP1	Clip1	328	0.06137878820300102	0.030727053	No	
row_26	ROCK1	Rock1	329	0.06133991479873657	0.035673708	No	
row_27	ZBTB1	Zbtb1	332	0.060398053377866745	0.039312124	No	
row_28	KIF3A	Kif3a	342	0.058256883174180984	0.038464867	No	
row_29	CDC42BPG	Cdc42bpg	352	0.05673603713512421	0.03749496	No	
row_30	FBF1	Fbf1	364	0.055557724088430405	0.03519775	No	
row_31	MYH9	Myh9	378	0.05326319858431816	0.031483214	No	
row_32	HAUS8	Haus8	385	0.05243295431137085	0.032014724	No	
row_33	AHI1	Ahi1	392	0.0518820695579052	0.03250181	No	
row_34	GAPDH	Gapdh	395	0.05166184529662132	0.03543571	No	
row_35	AKAP9	Akap9	400	0.05115177482366562	0.037096187	No	
row_36	KIF5C	Kif5c	403	0.05067150294780731	0.039950218	No	
row_37	NCOR1	Ncor1	409	0.050145335495471954	0.04091339	No	
row_38	TRAT1	Trat1	413	0.04980480670928955	0.043081388	No	
row_39	SPEF2	Spef2	423	0.048454057425260544	0.041443598	No	
row_40	SERINC5	Serinc5	430	0.04760799929499626	0.041586008	No	
row_41	C2CD5	C2cd5	432	0.04727262631058693	0.044782087	No	
row_42	SMC3	Smc3	440	0.04640107974410057	0.044211026	No	
row_43	ZNF322	Zfp322a	445	0.046202655881643295	0.04547239	No	
row_44	TUBB2B	Tubb2b	485	0.04029587283730507	0.024692409	No	
row_45	BOD1L1	Bod1l	490	0.03967927023768425	0.025427707	No	
row_46	MDM1	Mdm1	491	0.0391891747713089	0.028588051	No	
row_47	HIPK1	Hipk1	519	0.03631191700696945	0.014880506	No	
row_48	CSPP1	Cspp1	521	0.035971321165561676	0.01716521	No	
