NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL13A	Rpl13a	97	0.15056666731834412	-0.024266886	No	
row_1	RPS12	Rps12	117	0.13742126524448395	-0.0078080725	No	
row_2	RPL39	Rpl39	267	0.07689602673053741	-0.07542689	No	
row_3	C12orf65	2810006K23Rik	283	0.07106421142816544	-0.06978878	No	
row_4	DNAJC21	Dnajc21	292	0.06838491559028625	-0.060790513	No	
row_5	RPS11	Rps11	304	0.06530115008354187	-0.05406407	No	
row_6	RPL32	Rpl32	320	0.06259050965309143	-0.05009136	No	
row_7	RBM3	Rbm3	404	0.05057212710380554	-0.08623752	No	
row_8	RPS15A	Rps15a	566	0.03236118331551552	-0.1692721	No	
row_9	RPSA	Rpsa	761	0.014469331130385399	-0.27414626	No	
row_10	RPLP0	Rplp0	919	7.649999461136758E-4	-0.3611697	No	
row_11	RRBP1	Rrbp1	1129	-0.017900831997394562	-0.47369814	No	
row_12	EIF2AK2	Eif2ak2	1229	-0.027246937155723572	-0.5233125	No	
row_13	RPS26	Rps26	1232	-0.027399428188800812	-0.519038	No	
row_14	ISG15	Isg15	1387	-0.04355447366833687	-0.59598595	No	
row_15	RPL37A	Rpl37a	1494	-0.05799233168363571	-0.6434444	No	
row_16	RPL28	Rpl28	1602	-0.07890687882900238	-0.68734765	No	
row_17	LARP4B	Larp4b	1643	-0.08578188717365265	-0.6926981	No	
row_18	RPL23	Rpl23	1688	-0.09967274218797684	-0.6975395	Yes	
row_19	MRPL52	Mrpl52	1704	-0.10737058520317078	-0.6847658	Yes	
row_20	RPLP1	Rplp1	1716	-0.11358648538589478	-0.6685495	Yes	
row_21	RPS17	Rps17	1723	-0.11757002770900726	-0.64877397	Yes	
row_22	RPL12	Rpl12	1761	-0.13574686646461487	-0.6426387	Yes	
row_23	RPS16	Rps16	1765	-0.14085543155670166	-0.61662096	Yes	
row_24	LARP1	Larp1	1768	-0.14162734150886536	-0.5898963	Yes	
row_25	RPL13	Rpl13	1775	-0.1465899497270584	-0.5644173	Yes	
row_26	RPS27	Rps27	1778	-0.15053215622901917	-0.5359425	Yes	
row_27	RPS5	Rps5	1791	-0.1669297218322754	-0.5097974	Yes	
row_28	RPL22L1	Rpl22l1	1792	-0.16698847711086273	-0.47697783	Yes	
row_29	RPS2	Rps2	1802	-0.1830982267856598	-0.44598928	Yes	
row_30	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.41163778	Yes	
row_31	RPS20	Rps20	1826	-0.23914656043052673	-0.3729651	Yes	
row_32	RPS29	Rps29	1829	-0.2690037190914154	-0.32120612	Yes	
row_33	RPS7	Rps7	1830	-0.27901554107666016	-0.26636896	Yes	
row_34	RPS8	Rps8	1832	-0.30077749490737915	-0.20780998	Yes	
row_35	RPS19	Rps19	1834	-0.3106273114681244	-0.14731514	Yes	
row_36	RPS24	Rps24	1837	-0.3328368067741394	-0.08301054	Yes	
row_37	RPS3A	Rps3a1	1838	-0.4223642349243164	1.0411895E-7	Yes	
