NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	1	0.4471670091152191	0.09372904	Yes	
row_1	TMSB4Y	Tmsb4x	23	0.264394074678421	0.13764335	Yes	
row_2	PFN1	Pfn1	36	0.22382153570652008	0.17807554	Yes	
row_3	COTL1	Cotl1	81	0.16715137660503387	0.18851954	Yes	
row_4	GMFG	Gmfg	86	0.16081710159778595	0.22017576	Yes	
row_5	ITGB1	Itgb1	94	0.15416833758354187	0.24873887	Yes	
row_6	ARPC5	Arpc5	100	0.1493060290813446	0.2774041	Yes	
row_7	CNN2	Cnn2	134	0.12529540061950684	0.2852227	Yes	
row_8	MYO1F	Myo1f	157	0.11229001730680466	0.2964996	Yes	
row_9	NCALD	Ncald	182	0.10011201351881027	0.30408117	Yes	
row_10	ACTR3	Actr3	184	0.09968917816877365	0.32453865	Yes	
row_11	IQGAP2	Iqgap2	186	0.09895550459623337	0.3448414	Yes	
row_12	TPM4	Tpm4	201	0.09462174773216248	0.3569022	Yes	
row_13	LCP1	Lcp1	203	0.09450867772102356	0.37626725	Yes	
row_14	S100A4	S100a4	222	0.08781073242425919	0.3846371	Yes	
row_15	HIP1	Hip1	224	0.08687533438205719	0.40239254	Yes	
row_16	TLN1	Tln1	225	0.08683028072118759	0.42070216	Yes	
row_17	ADD3	Add3	235	0.08608569204807281	0.4337815	Yes	
row_18	MACF1	Macf1	249	0.0817568302154541	0.44369325	Yes	
row_19	GAS7	Gas7	257	0.08010382205247879	0.4566386	Yes	
row_20	PALLD	Palld	295	0.0665472000837326	0.44981438	Yes	
row_21	DAAM1	Daam1	307	0.0648658350110054	0.45729178	Yes	
row_22	ANXA6	Anxa6	315	0.06317343562841415	0.4666671	Yes	
row_23	SSH2	Ssh2	335	0.05977277457714081	0.46856093	Yes	
row_24	MYH9	Myh9	378	0.05326319858431816	0.45611706	No	
row_25	KLHL20	Klhl20	426	0.04795505106449127	0.43973538	No	
row_26	MYO6	Myo6	481	0.04080059379339218	0.41789922	No	
row_27	ABLIM1	Ablim1	487	0.04016653820872307	0.42355052	No	
row_28	LSP1	Lsp1	492	0.038893621414899826	0.4294971	No	
row_29	CCDC88A	Ccdc88a	528	0.03560128062963486	0.4172748	No	
row_30	CXCR4	Cxcr4	670	0.022946752607822418	0.3426321	No	
row_31	CDK5R1	Cdk5r1	738	0.016404258087277412	0.3083235	No	
row_32	SVIL	Svil	765	0.014289348386228085	0.2966805	No	
row_33	CTNNA1	Ctnna1	780	0.01326866913586855	0.29158664	No	
row_34	RCSD1	Rcsd1	828	0.008595289662480354	0.2669053	No	
row_35	DAG1	Dag1	855	0.006251957267522812	0.2535675	No	
row_36	SNTB1	Sntb1	869	0.004967834334820509	0.24728698	No	
row_37	FHL3	Fhl3	884	0.003837875323370099	0.2402045	No	
row_38	GAS2	Gas2	909	0.0019026041263714433	0.22707695	No	
row_39	IQGAP1	Iqgap1	925	9.549041715217754E-5	0.21864161	No	
row_40	MAP1S	Map1s	931	-6.343177665257826E-5	0.2158365	No	
row_41	KIF18A	Kif18a	934	-3.123827336821705E-4	0.21477497	No	
row_42	TWF1	Twf1	936	-3.171341959387064E-4	0.21427815	No	
row_43	FLNA	Flna	986	-0.005943802651017904	0.1879103	No	
row_44	SYNE1	Syne1	1007	-0.007493372540920973	0.17821646	No	
row_45	TMOD4	Tmod4	1042	-0.010321111418306828	0.1612271	No	
row_46	SNTB2	Sntb2	1071	-0.012522861361503601	0.14808422	No	
row_47	CFL1	Cfl1	1090	-0.014071405865252018	0.14090486	No	
row_48	TNS1	Tns1	1207	-0.025071533396840096	0.080802664	No	
row_49	GSN	Gsn	1279	-0.03267093002796173	0.04766934	No	
row_50	MICAL3	Mical3	1313	-0.036050617694854736	0.036669195	No	
row_51	CYFIP1	Cyfip1	1377	-0.042677026242017746	0.010155406	No	
row_52	MYO3B	Myo3b	1396	-0.04422198235988617	0.009333799	No	
row_53	PLEC	Plec	1457	-0.052334465086460114	-0.013452464	No	
row_54	FXYD5	Fxyd5	1497	-0.05839811637997627	-0.023122447	No	
row_55	MYO19	Myo19	1551	-0.0675225555896759	-0.038760155	No	
row_56	MYO5A	Myo5a	1585	-0.07552901655435562	-0.041435614	No	
row_57	DIAPH2	Diaph2	1607	-0.07967426627874374	-0.0364726	No	
row_58	ACTN1	Actn1	1610	-0.08065683394670486	-0.020592136	No	
row_59	CAPG	Capg	1615	-0.08099860697984695	-0.005767001	No	
row_60	MTSS1	Mtss1	1648	-0.08711861819028854	-0.005434895	No	
row_61	SPTBN1	Sptbn1	1702	-0.10702717304229736	-0.012742388	No	
row_62	AFAP1	Afap1	1726	-0.11776309460401535	-8.7509607E-4	No	
row_63	PDLIM4	Pdlim4	1774	-0.14524388313293457	0.0032582374	No	
row_64	ACTN2	Actn2	1779	-0.15296222269535065	0.033258118	No	
