NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRIM1	Crim1	197	0.0960671678185463	-0.045501698	No	
row_1	IL2RB	Il2rb	232	0.08630163967609406	-0.007949958	No	
row_2	IL6ST	Il6st	316	0.06314880400896072	-0.012354837	No	
row_3	IL10RA	Il10ra	406	0.050372350960969925	-0.028371418	No	
row_4	FURIN	Furin	456	0.044797953218221664	-0.026076365	No	
row_5	ERBB3	Erbb3	760	0.014629527926445007	-0.18275872	No	
row_6	IGF1R	Igf1r	854	0.006291394121944904	-0.22967638	No	
row_7	TWSG1	Twsg1	1223	-0.02699315920472145	-0.41396266	No	
row_8	NTRK3	Ntrk3	1311	-0.03577588498592377	-0.4383878	No	
row_9	NKD2	Nkd2	1503	-0.05956912785768509	-0.5043669	Yes	
row_10	ITGA6	Itga6	1526	-0.06312344968318939	-0.47532696	Yes	
row_11	BMPR2	Bmpr2	1599	-0.07780157774686813	-0.4641555	Yes	
row_12	RPS2	Rps2	1802	-0.1830982267856598	-0.45572257	Yes	
row_13	IL6R	Il6ra	1805	-0.188990980386734	-0.33374286	Yes	
row_14	IGFBP4	Igfbp4	1823	-0.2279644012451172	-0.19461061	Yes	
row_15	RPS19	Rps19	1834	-0.3106273114681244	0.0021941154	Yes	
