NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASGEF1B	Rasgef1b	183	0.09987186640501022	-0.044502817	No	
row_1	DOCK2	Dock2	231	0.08639620989561081	-0.021300277	No	
row_2	DENND2D	Dennd2d	349	0.05688780918717384	-0.053723574	No	
row_3	DOCK5	Dock5	478	0.041090842336416245	-0.101250514	No	
row_4	CCDC88A	Ccdc88a	528	0.03560128062963486	-0.10811556	No	
row_5	CYTH4	Cyth4	565	0.03241873160004616	-0.10958882	No	
row_6	ARHGEF12	Arhgef12	571	0.032051410526037216	-0.09408745	No	
row_7	DENND1C	Dennd1c	587	0.03073953278362751	-0.08487725	No	
row_8	RALGDS	Ralgds	669	0.022971460595726967	-0.1166811	No	
row_9	RASGEF1A	Rasgef1a	673	0.022825738415122032	-0.10533078	No	
row_10	HERC1	Herc1	682	0.021854031831026077	-0.097306065	No	
row_11	CYTH3	Cyth3	762	0.01438224595040083	-0.1328981	No	
row_12	DENND1A	Dennd1a	978	-0.005352340172976255	-0.24902625	No	
row_13	ARHGEF16	Arhgef16	1075	-0.012761229649186134	-0.29496598	No	
row_14	PREX1	Prex1	1130	-0.01791982166469097	-0.3146831	No	
row_15	RCBTB2	Rcbtb2	1131	-0.018010929226875305	-0.3044148	No	
row_16	ARHGEF18	Arhgef18	1133	-0.018111517652869225	-0.2946435	No	
row_17	RASGRP1	Rasgrp1	1169	-0.02189367450773716	-0.3015629	No	
row_18	DENND4A	Dennd4a	1226	-0.0271159540861845	-0.31714582	No	
row_19	SBF2	Sbf2	1261	-0.030702082440257072	-0.31848913	No	
row_20	AKAP13	Akap13	1271	-0.03223521262407303	-0.30510026	No	
row_21	DOCK10	Dock10	1284	-0.033059295266866684	-0.29290456	No	
row_22	NUCB2	Nucb2	1301	-0.03429366275668144	-0.28222242	No	
row_23	ARHGEF11	Arhgef11	1416	-0.046696145087480545	-0.31879315	Yes	
row_24	EGF	Egf	1465	-0.0535464882850647	-0.31487307	Yes	
row_25	ECT2	Ect2	1514	-0.06171422451734543	-0.3062964	Yes	
row_26	RASGRP2	Rasgrp2	1541	-0.06570614129304886	-0.28324878	Yes	
row_27	ALS2	Als2	1597	-0.07761281728744507	-0.26948836	Yes	
row_28	RAPGEF4	Rapgef4	1601	-0.07852950692176819	-0.22638051	Yes	
row_29	RAPGEF6	Rapgef6	1605	-0.07937034964561462	-0.18279329	Yes	
row_30	TAGAP	Tagap	1630	-0.08346107602119446	-0.14851466	Yes	
row_31	RALGPS2	Ralgps2	1659	-0.09058625251054764	-0.11239117	Yes	
row_32	MYCBP2	Mycbp2	1694	-0.10230369865894318	-0.07291333	Yes	
row_33	RAB3IP	Rab3ip	1728	-0.11837687343358994	-0.023717603	Yes	
row_34	SH3BP5	Sh3bp5	1776	-0.14758211374282837	0.034367926	Yes	
