NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEF2A	Mef2a	10	0.3267230987548828	0.16856273	No	
row_1	IKZF3	Ikzf3	55	0.19227877259254456	0.24680926	No	
row_2	NCOR1	Ncor1	409	0.050145335495471954	0.07946129	No	
row_3	SFPQ	Sfpq	422	0.04855900630354881	0.09873385	No	
row_4	PKN2	Pkn2	754	0.01506870612502098	-0.07520648	No	
row_5	CIR1	Cir1	799	0.011048327200114727	-0.093509644	No	
row_6	NIPBL	Nipbl	900	0.0032497160136699677	-0.14675364	No	
row_7	PRDM1	Prdm1	973	-0.004997910000383854	-0.1836732	No	
row_8	CHD4	Chd4	1127	-0.01763625256717205	-0.2583897	No	
row_9	ZBTB7B	Zbtb7b	1282	-0.03293856605887413	-0.32550377	No	
row_10	NRIP1	Nrip1	1381	-0.04298417270183563	-0.35647988	No	
row_11	NACC2	Nacc2	1593	-0.07678163051605225	-0.43157262	Yes	
row_12	CDC20	Cdc20	1598	-0.07769331336021423	-0.39238086	Yes	
row_13	TOP2B	Top2b	1612	-0.08077371120452881	-0.35649583	Yes	
row_14	MAPK8	Mapk8	1660	-0.09080711007118225	-0.3339571	Yes	
row_15	CBX5	Cbx5	1679	-0.09647281467914581	-0.2924572	Yes	
row_16	TOP2A	Top2a	1697	-0.10506526380777359	-0.24582995	Yes	
row_17	LEF1	Lef1	1755	-0.13259172439575195	-0.20652822	Yes	
row_18	HSP90AA1	Hsp90aa1	1814	-0.20347937941551208	-0.13001114	Yes	
row_19	HSP90AB1	Hsp90ab1	1828	-0.2677741050720215	0.005497522	Yes	
