NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	1	0.4471670091152191	0.13249014	Yes	
row_1	CCR2	Ccr2	2	0.40328532457351685	0.2524761	Yes	
row_2	KLRD1	Klrd1	13	0.3197377026081085	0.34208915	Yes	
row_3	CXCR6	Cxcr6	30	0.24224966764450073	0.40533844	Yes	
row_4	KLRC1	Klrc1	31	0.23775310814380646	0.47607505	Yes	
row_5	CD160	Cd160	54	0.19266732037067413	0.5212631	Yes	
row_6	IFNGR1	Ifngr1	129	0.1280994564294815	0.5185591	Yes	
row_7	CXCR3	Cxcr3	143	0.12085402756929398	0.5473453	Yes	
row_8	IL2RB	Il2rb	232	0.08630163967609406	0.52448356	No	
row_9	IL15RA	Il15ra	253	0.08136177808046341	0.537659	No	
row_10	CX3CR1	Cx3cr1	311	0.06440193951129913	0.5253803	No	
row_11	IL6ST	Il6st	316	0.06314880400896072	0.54196215	No	
row_12	IL10RA	Il10ra	406	0.050372350960969925	0.5078591	No	
row_13	FCER1G	Fcer1g	593	0.02993105910718441	0.41417184	No	
row_14	CXCR4	Cxcr4	670	0.022946752607822418	0.37907952	No	
row_15	CXCR5	Cxcr5	676	0.02240775339305401	0.38298842	No	
row_16	IL18RAP	Il18rap	831	0.008386083878576756	0.3005414	No	
row_17	CR2	Cr2	982	-0.005535202566534281	0.21945244	No	
row_18	IL4R	Il4ra	1024	-0.008470012806355953	0.199358	No	
row_19	HLA-DOB	H2-Ob	1163	-0.021187281236052513	0.12954473	No	
row_20	IL7R	Il7r	1213	-0.02552042528986931	0.11011058	No	
row_21	IL18R1	Il18r1	1439	-0.049222949892282486	6.5176503E-4	No	
row_22	CCR9	Ccr9	1754	-0.13221673667430878	-0.13320453	No	
row_23	IL6R	Il6ra	1805	-0.188990980386734	-0.104554296	No	
row_24	IFNGR2	Ifngr2	1812	-0.19982744753360748	-0.048410807	No	
row_25	CCR7	Ccr7	1818	-0.2090611755847931	0.011031486	No	
