NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRRK1	Lrrk1	15	0.2999502420425415	0.11971253	Yes	
row_1	UBASH3B	Ubash3b	38	0.21883629262447357	0.2009332	Yes	
row_2	DUSP2	Dusp2	61	0.1836731880903244	0.26714686	Yes	
row_3	PTPRC	Ptprc	103	0.14688009023666382	0.3071432	Yes	
row_4	PTP4A3	Ptp4a3	123	0.13322240114212036	0.35348555	Yes	
row_5	PTPN22	Ptpn22	127	0.12953336536884308	0.40710795	Yes	
row_6	PTPN6	Ptpn6	128	0.12868139147758484	0.46202695	Yes	
row_7	PRUNE1	Prune1	240	0.08521386235952377	0.43696696	Yes	
row_8	DUSP22	Dusp22	264	0.07746458053588867	0.45729923	Yes	
row_9	PTPN7	Ptpn7	282	0.07115351408720016	0.47825846	Yes	
row_10	PTP4A2	Ptp4a2	302	0.06535995006561279	0.49563828	Yes	
row_11	SSH2	Ssh2	335	0.05977277457714081	0.50343937	Yes	
row_12	NT5E	Nt5e	463	0.04336932301521301	0.4516664	No	
row_13	PPP3CC	Ppp3cc	464	0.043322283774614334	0.4701556	No	
row_14	ARMT1	Armt1	496	0.038332439959049225	0.46935973	No	
row_15	DUSP6	Dusp6	498	0.03804757818579674	0.48504436	No	
row_16	CDC25B	Cdc25b	544	0.03398457542061806	0.47464526	No	
row_17	PPP3CA	Ppp3ca	569	0.03216151148080826	0.47508955	No	
row_18	PON3	Pon3	573	0.031719841063022614	0.48696682	No	
row_19	CDC14B	Cdc14b	627	0.026771657168865204	0.4690621	No	
row_20	PPP1R3B	Ppp1r3b	688	0.020843205973505974	0.4447534	No	
row_21	LPIN2	Lpin2	707	0.018553901463747025	0.44271064	No	
row_22	PTPN13	Ptpn13	737	0.01658926159143448	0.43374196	No	
row_23	PTPRE	Ptpre	933	-2.816123887896538E-4	0.32594848	No	
row_24	PHLPP1	Phlpp1	993	-0.006214745808392763	0.29595	No	
row_25	PPM1K	Ppm1k	1019	-0.008206845261156559	0.28561747	No	
row_26	STYX	Styx	1211	-0.025400590151548386	0.19075793	No	
row_27	PPM1H	Ppm1h	1294	-0.03392508998513222	0.15985748	No	
row_28	INPP5F	Inpp5f	1427	-0.04756227880716324	0.10710699	No	
row_29	SYNJ2	Synj2	1437	-0.048937346786260605	0.12301197	No	
row_30	INPP4B	Inpp4b	1560	-0.07024361938238144	0.08547551	No	
row_31	DUSP10	Dusp10	1786	-0.15890344977378845	0.028776985	No	
