NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3926728367805481	0.23468576	Yes	
row_1	FYN	Fyn	27	0.24973702430725098	0.3723679	Yes	
row_2	TXK	Txk	67	0.17705711722373962	0.45752564	Yes	
row_3	PEAK1	Peak1	80	0.1679537445306778	0.55202335	Yes	
row_4	SLA	Sla	106	0.14276832342147827	0.62422806	Yes	
row_5	CRIM1	Crim1	197	0.0960671678185463	0.6326504	Yes	
row_6	HIPK1	Hipk1	519	0.03631191700696945	0.47832486	No	
row_7	EPHB6	Ephb6	698	0.01951267197728157	0.39237383	No	
row_8	ERBB3	Erbb3	760	0.014629527926445007	0.367699	No	
row_9	IGF1R	Igf1r	854	0.006291394121944904	0.32044268	No	
row_10	DYRK4	Dyrk4	937	-3.3428758615627885E-4	0.2756384	No	
row_11	TEC	Tec	1161	-0.021123753860592842	0.16595887	No	
row_12	EIF2AK2	Eif2ak2	1229	-0.027246937155723572	0.1455848	No	
row_13	NTRK3	Ntrk3	1311	-0.03577588498592377	0.12266008	No	
row_14	DSTYK	Dstyk	1508	-0.06030811741948128	0.051382754	No	
row_15	BAZ1B	Baz1b	1642	-0.08558674901723862	0.029896902	No	
row_16	MATK	Matk	1743	-0.1281508356332779	0.052140445	No	
