NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFN1	Pfn1	36	0.22382153570652008	-0.010744385	No	
row_1	SUB1	Sub1	43	0.2154170572757721	-0.0028612714	No	
row_2	PDCD4	Pdcd4	47	0.20790711045265198	0.0065223533	No	
row_3	ZYX	Zyx	66	0.17792844772338867	0.004735768	No	
row_4	RPL13A	Rpl13a	97	0.15056666731834412	-0.0061705015	No	
row_5	RPS12	Rps12	117	0.13742126524448395	-0.010793279	No	
row_6	EP300	Ep300	124	0.1331917941570282	-0.0073760506	No	
row_7	NR3C1	Nr3c1	141	0.1213630959391594	-0.010962596	No	
row_8	CHD3	Chd3	155	0.11394095420837402	-0.013043862	No	
row_9	MBNL1	Mbnl1	178	0.1021491214632988	-0.021490766	No	
row_10	TOP1	Top1	181	0.10100018233060837	-0.017277425	No	
row_11	ZFP36	Zfp36	214	0.09041959792375565	-0.032722715	No	
row_12	S100A4	S100a4	222	0.08781073242425919	-0.032406393	No	
row_13	CPNE3	Cpne3	229	0.08671059459447861	-0.03151369	No	
row_14	DDX58	Ddx58	239	0.08532213419675827	-0.032604795	No	
row_15	ZC3HAV1	Zc3hav1	242	0.08448860049247742	-0.029288247	No	
row_16	MACF1	Macf1	249	0.0817568302154541	-0.028664596	No	
row_17	CELF2	Celf2	250	0.08170626312494278	-0.0242269	No	
row_18	RPL39	Rpl39	267	0.07689602673053741	-0.030228576	No	
row_19	IFI16	Ifi203	274	0.07490207999944687	-0.029977227	No	
row_20	IFIT3	Ifit3	279	0.07218591868877411	-0.028601136	No	
row_21	C12orf65	2810006K23Rik	283	0.07106421142816544	-0.026649835	No	
row_22	CARHSP1	Carhsp1	287	0.07008302211761475	-0.024751825	No	
row_23	CCAR1	Ccar1	291	0.06857944279909134	-0.02293548	No	
row_24	DNAJC21	Dnajc21	292	0.06838491559028625	-0.019221302	No	
row_25	RC3H2	Rc3h2	299	0.0659467801451683	-0.01945634	No	
row_26	SAMSN1	Samsn1	301	0.06538989394903183	-0.016540963	No	
row_27	RPS11	Rps11	304	0.06530115008354187	-0.014266538	No	
row_28	TIA1	Tia1	308	0.06479170173406601	-0.012655915	No	
row_29	ZRSR2	Zrsr2	318	0.0630192756652832	-0.014958351	No	
row_30	RPL32	Rpl32	320	0.06259050965309143	-0.012195016	No	
row_31	RNF20	Rnf20	339	0.05851340293884277	-0.02046737	No	
row_32	CPSF2	Cpsf2	344	0.05806444212794304	-0.019858256	No	
row_33	XRN1	Xrn1	354	0.05614635348320007	-0.02253398	No	
row_34	DZIP3	Dzip3	360	0.05573228374123573	-0.022687664	No	
row_35	ZFP36L2	Zfp36l2	372	0.05451064929366112	-0.026724493	No	
row_36	OAS1	Oas1a	375	0.054268281906843185	-0.025049293	No	
row_37	MYH9	Myh9	378	0.05326319858431816	-0.023428684	No	
row_38	DDX3Y	Ddx3y	384	0.052477333694696426	-0.023759155	No	
row_39	RNASEL	Rnasel	386	0.052344392985105515	-0.021552315	No	
row_40	YBX3	Ybx3	388	0.05217977985739708	-0.019354416	No	
row_41	DICER1	Dicer1	396	0.051523130387067795	-0.021008976	No	
row_42	RBM3	Rbm3	404	0.05057212710380554	-0.022715187	No	
row_43	IFIH1	Ifih1	417	0.049137797206640244	-0.027679963	No	
row_44	SFPQ	Sfpq	422	0.04855900630354881	-0.027587116	No	
row_45	PAN3	Pan3	424	0.04843471944332123	-0.025592621	No	
row_46	ATXN1	Atxn1	439	0.0464186854660511	-0.031977344	No	
row_47	LUC7L2	Luc7l2	452	0.045676086097955704	-0.037130136	No	
row_48	BAZ2A	Baz2a	471	0.04201294854283333	-0.046298675	No	
row_49	ANKRD17	Ankrd17	477	0.04111334681510925	-0.047246356	No	
row_50	OASL	Oasl1	494	0.03858305141329765	-0.055328917	No	
row_51	PPIG	Ppig	497	0.03831632062792778	-0.054520115	No	
row_52	GOLGB1	Golgb1	499	0.037971749901771545	-0.053093895	No	
row_53	TLR7	Tlr7	516	0.03653370589017868	-0.061287764	No	
row_54	ANXA2	Anxa2	532	0.03515954315662384	-0.068920135	No	
row_55	UPF3B	Upf3b	538	0.03423398733139038	-0.07024145	No	
row_56	KTN1	Ktn1	539	0.03417360037565231	-0.068385385	No	
row_57	HMGB2	Hmgb2	541	0.03413475304841995	-0.067167565	No	
row_58	SAMHD1	Samhd1	549	0.0338139608502388	-0.069783956	No	
row_59	RANBP2	Ranbp2	559	0.032997701317071915	-0.07371695	No	
row_60	RPS15A	Rps15a	566	0.03236118331551552	-0.075776115	No	
row_61	SETX	Setx	577	0.0314011313021183	-0.08043196	No	
row_62	SLC4A1AP	Slc4a1ap	584	0.030801834538578987	-0.08257582	No	
row_63	PABPC1	Pabpc1	622	0.027006709948182106	-0.1046459	No	
row_64	RBMS1	Rbms1	649	0.024810632690787315	-0.119837806	No	
row_65	MEX3A	Mex3a	653	0.024166759103536606	-0.120433636	No	
row_66	LUC7L3	Luc7l3	674	0.022673798725008965	-0.13192481	No	
row_67	DDX6	Ddx6	685	0.02127281203866005	-0.13713074	No	
row_68	HEATR6	Heatr6	691	0.02062675729393959	-0.1391911	No	
row_69	BARD1	Bard1	709	0.01822512410581112	-0.1490155	No	
row_70	THOC2	Thoc2	713	0.017960356548428535	-0.14994842	No	
row_71	DQX1	Dqx1	747	0.01582120545208454	-0.1700815	No	
row_72	PKN2	Pkn2	754	0.01506870612502098	-0.17307986	No	
row_73	MEX3B	Mex3b	758	0.014864644035696983	-0.17418092	No	
row_74	RPSA	Rpsa	761	0.014469331130385399	-0.17466731	No	
row_75	NEMF	Nemf	766	0.014089183881878853	-0.17644662	No	
row_76	CTNNA1	Ctnna1	780	0.01326866913586855	-0.18399568	No	
row_77	NSRP1	Nsrp1	794	0.01155474130064249	-0.19163783	No	
row_78	PNN	Pnn	800	0.011031256057322025	-0.19421935	No	
row_79	ZC3H12A	Zc3h12a	810	0.010308790020644665	-0.19938464	No	
row_80	CDK13	Cdk13	821	0.008997502736747265	-0.20525728	No	
row_81	ATXN2	Atxn2	822	0.008890490047633648	-0.20477442	No	
row_82	SRRT	Srrt	832	0.008335266262292862	-0.2100469	No	
row_83	TNRC6B	Tnrc6b	836	0.007990306243300438	-0.21152131	No	
row_84	YTHDC2	Ythdc2	843	0.0071737924590706825	-0.21494849	No	
row_85	EIF4A2	Eif4a2	872	0.004644416272640228	-0.23250794	No	
row_86	HMGN5	Hmgn5	894	0.0035354946739971638	-0.2456747	No	
row_87	KMT2C	Kmt2c	899	0.0033091057557612658	-0.2480395	No	
row_88	NSA2	Nsa2	908	0.0019087641267105937	-0.25302488	No	
row_89	CCNT1	Ccnt1	915	0.0011533170472830534	-0.25677904	No	
row_90	RPLP0	Rplp0	919	7.649999461136758E-4	-0.2586459	No	
row_91	LARP7	Larp7	923	3.3830536995083094E-4	-0.2605359	No	
row_92	MBNL2	Mbnl2	926	9.38601660891436E-5	-0.26180306	No	
row_93	AGO3	Ago3	935	-3.1671958277001977E-4	-0.26687494	No	
row_94	ASCC3	Ascc3	938	-5.055587971583009E-4	-0.26811975	No	
row_95	SLPI	Slpi	945	-0.0014837848721072078	-0.27185595	No	
row_96	PARP12	Parp12	963	-0.003862564917653799	-0.28246042	No	
row_97	CHD2	Chd2	977	-0.005226718727499247	-0.29044625	No	
row_98	FLNA	Flna	986	-0.005943802651017904	-0.29521248	No	
row_99	UBTF	Ubtf	990	-0.006118369288742542	-0.29678857	No	
row_100	CCDC59	Ccdc59	994	-0.0062263039872050285	-0.2983588	No	
row_101	SYNE1	Syne1	1007	-0.007493372540920973	-0.3055854	No	
row_102	SF3B1	Sf3b1	1009	-0.0076732090674340725	-0.3058048	No	
row_103	SNRPN	Snrpn	1016	-0.008096916601061821	-0.3091818	No	
row_104	HEXIM2	Hexim2	1034	-0.009509889408946037	-0.31947955	No	
row_105	HLA-A	H2-D1	1040	-0.01009691134095192	-0.32211182	No	
row_106	NOL8	Nol8	1046	-0.01058717630803585	-0.32471746	No	
row_107	NUDT4	Nudt4	1048	-0.010656684637069702	-0.3247748	No	
row_108	SCAF11	Scaf11	1053	-0.011163538321852684	-0.326713	No	
row_109	EEF1A1	Eef1a1	1054	-0.011178694665431976	-0.32610586	No	
row_110	ADK	Adk	1060	-0.011625451035797596	-0.32865512	No	
row_111	NCBP3	Ncbp3	1063	-0.012183294631540775	-0.32926565	No	
row_112	SLFN13	Slfn8	1066	-0.012294546701014042	-0.3298702	No	
row_113	IFIT2	Ifit2	1067	-0.012399532832205296	-0.32919672	No	
row_114	SNTB2	Sntb2	1071	-0.012522861361503601	-0.33042496	No	
row_115	ISG20	Isg20	1073	-0.012571178376674652	-0.33037832	No	
row_116	SOX4	Sox4	1085	-0.013578380458056927	-0.3366383	No	
row_117	IFIT1B	Ifit1	1094	-0.01421385258436203	-0.34095538	No	
row_118	PRPF40A	Prpf40a	1095	-0.014333344995975494	-0.34017688	No	
row_119	CIRBP	Cirbp	1102	-0.015034699812531471	-0.3431771	No	
row_120	ZNF638	Zfp638	1103	-0.015059778466820717	-0.34235916	No	
row_121	FAM133B	Fam133b	1107	-0.01541048288345337	-0.34343058	No	
row_122	FNDC3B	Fndc3b	1109	-0.015574912540614605	-0.3432208	No	
row_123	ZFR2	Zfr2	1112	-0.015803303569555283	-0.34363472	No	
row_124	UBR5	Ubr5	1122	-0.016853995621204376	-0.34844452	No	
row_125	KNOP1	Knop1	1126	-0.01755204237997532	-0.34939963	No	
row_126	RRBP1	Rrbp1	1129	-0.017900831997394562	-0.34969965	No	
row_127	PRRC2C	Prrc2c	1144	-0.019085606560111046	-0.35756892	No	
row_128	DDX5	Ddx5	1149	-0.01975778490304947	-0.35904032	No	
row_129	EIF3A	Eif3a	1159	-0.021003196015954018	-0.36362478	No	
row_130	HELZ	Helz	1160	-0.021050043404102325	-0.3624815	No	
row_131	HNRNPA2B1	Hnrnpa2b1	1165	-0.021682366728782654	-0.3638484	No	
row_132	AQR	Aqr	1178	-0.022868163883686066	-0.37023994	No	
row_133	HELZ2	Helz2	1180	-0.02289348840713501	-0.36963266	No	
row_134	HSP90B1	Hsp90b1	1189	-0.023512499406933784	-0.3734447	No	
row_135	PCBP4	Pcbp4	1197	-0.024060379713773727	-0.37659085	No	
row_136	TNS1	Tns1	1207	-0.025071533396840096	-0.38095433	No	
row_137	ZBP1	Zbp1	1209	-0.02533789537847042	-0.38021427	No	
row_138	ESF1	Esf1	1212	-0.025504717603325844	-0.38010132	No	
row_139	STAT3	Stat3	1215	-0.02601134590804577	-0.37996083	No	
row_140	ALKBH1	Alkbh1	1217	-0.02619219198822975	-0.37917438	No	
row_141	PNISR	Pnisr	1222	-0.02661760523915291	-0.38027325	No	
row_142	SETD1B	Setd1b	1227	-0.027154119685292244	-0.38134295	No	
row_143	EIF2AK2	Eif2ak2	1229	-0.027246937155723572	-0.3804992	No	
row_144	RPS26	Rps26	1232	-0.027399428188800812	-0.38028336	No	
row_145	TRMT6	Trmt6	1237	-0.02775442786514759	-0.38132045	No	
row_146	CAST	Cast	1249	-0.028979407623410225	-0.38674396	No	
row_147	YTHDC1	Ythdc1	1263	-0.030783552676439285	-0.39334175	No	
row_148	AGO2	Ago2	1265	-0.03165749832987785	-0.39225847	No	
row_149	RC3H1	Rc3h1	1267	-0.03194306790828705	-0.39115968	No	
row_150	THRAP3	Thrap3	1269	-0.03218298405408859	-0.39004788	No	
row_151	ZC3H13	Zc3h13	1281	-0.03291831165552139	-0.39525744	No	
row_152	LGALS3	Lgals3	1285	-0.03312341496348381	-0.39536682	No	
row_153	ROCK2	Rock2	1289	-0.03350412845611572	-0.3954555	No	
row_154	TPR	Tpr	1290	-0.03354199603199959	-0.39363372	No	
row_155	DHX58	Dhx58	1291	-0.03367070108652115	-0.391805	No	
row_156	TRIM56	Trim56	1293	-0.033788811415433884	-0.39060596	No	
row_157	LARP1B	Larp1b	1295	-0.03401517495512962	-0.3893946	No	
