NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	19	0.2894119322299957	0.025445653	No	
row_1	MYL6	Myl6	24	0.25591805577278137	0.055186912	No	
row_2	ACTB	Actb	45	0.2099303901195526	0.07012743	No	
row_3	RPL13A	Rpl13a	97	0.15056666731834412	0.060110312	No	
row_4	ARPC5	Arpc5	100	0.1493060290813446	0.07765048	No	
row_5	RPS12	Rps12	117	0.13742126524448395	0.08578585	No	
row_6	COL6A3	Col6a3	173	0.10375795513391495	0.06765265	No	
row_7	ACTR3	Actr3	184	0.09968917816877365	0.07446312	No	
row_8	TPM4	Tpm4	201	0.09462174773216248	0.07724622	No	
row_9	HIP1	Hip1	224	0.08687533438205719	0.075666934	No	
row_10	TLN1	Tln1	225	0.08683028072118759	0.08652545	No	
row_11	ADD3	Add3	235	0.08608569204807281	0.092200354	No	
row_12	MACF1	Macf1	249	0.0817568302154541	0.09507147	No	
row_13	RPL39	Rpl39	267	0.07689602673053741	0.09507228	No	
row_14	RPS11	Rps11	304	0.06530115008354187	0.08287649	No	
row_15	RPL32	Rpl32	320	0.06259050965309143	0.08221955	No	
row_16	MYLPF	Mylpf	338	0.05866007134318352	0.079939865	No	
row_17	TUBB2B	Tubb2b	485	0.04029587283730507	0.0023998583	No	
row_18	UPF3B	Upf3b	538	0.03423398733139038	-0.022730794	No	
row_19	RPS15A	Rps15a	566	0.03236118331551552	-0.033955377	No	
row_20	CD2AP	Cd2ap	586	0.030750790610909462	-0.04085646	No	
row_21	ECM1	Ecm1	637	0.025773247703909874	-0.065913945	No	
row_22	RPSA	Rpsa	761	0.014469331130385399	-0.13367462	No	
row_23	CTNNA1	Ctnna1	780	0.01326866913586855	-0.14219631	No	
row_24	PNN	Pnn	800	0.011031256057322025	-0.15156342	No	
row_25	DAG1	Dag1	855	0.006251957267522812	-0.18132457	No	
row_26	SNTB1	Sntb1	869	0.004967834334820509	-0.18805626	No	
row_27	PLP1	Plp1	881	0.004035866353660822	-0.19377327	No	
row_28	RPLP0	Rplp0	919	7.649999461136758E-4	-0.21460521	No	
row_29	CLDN10	Cldn10	948	-0.0018857019022107124	-0.2302065	No	
row_30	SNTB2	Sntb2	1071	-0.012522861361503601	-0.297645	No	
row_31	EIF3A	Eif3a	1159	-0.021003196015954018	-0.3442266	No	
row_32	RPS26	Rps26	1232	-0.027399428188800812	-0.38152415	No	
row_33	LMNB1	Lmnb1	1235	-0.02758748270571232	-0.37920544	No	
row_34	ROCK2	Rock2	1289	-0.03350412845611572	-0.40499297	No	
row_35	TPR	Tpr	1290	-0.03354199603199959	-0.40079838	No	
row_36	CRYAB	Cryab	1352	-0.04039939492940903	-0.43024853	No	
row_37	VIM	Vim	1429	-0.04782485216856003	-0.46725425	No	
row_38	AHNAK	Ahnak	1430	-0.04783442243933678	-0.46127233	No	
row_39	PLEC	Plec	1457	-0.052334465086460114	-0.46943358	No	
row_40	RPL37A	Rpl37a	1494	-0.05799233168363571	-0.48254335	No	
row_41	TUBB2A	Tubb2a	1495	-0.0582151934504509	-0.47526327	No	
row_42	BSN	Bsn	1517	-0.06180604547262192	-0.479412	No	
row_43	RPL28	Rpl28	1602	-0.07890687882900238	-0.51705563	No	
row_44	ACTN1	Actn1	1610	-0.08065683394670486	-0.5109284	No	
row_45	RPL23	Rpl23	1688	-0.09967274218797684	-0.5420159	Yes	
row_46	SPTBN1	Sptbn1	1702	-0.10702717304229736	-0.53598464	Yes	
row_47	MRPL52	Mrpl52	1704	-0.10737058520317078	-0.5231231	Yes	
row_48	TUBA4A	Tuba4a	1712	-0.11241652071475983	-0.51302415	Yes	
row_49	RPLP1	Rplp1	1716	-0.11358648538589478	-0.5005165	Yes	
row_50	RPS17	Rps17	1723	-0.11757002770900726	-0.4892075	Yes	
row_51	RPL12	Rpl12	1761	-0.13574686646461487	-0.49315935	Yes	
row_52	TUBB4B	Tubb4b	1762	-0.13754300773143768	-0.47595897	Yes	
row_53	RPS16	Rps16	1765	-0.14085543155670166	-0.4594756	Yes	
row_54	TUBA1A	Tuba1a	1773	-0.1451117992401123	-0.445288	Yes	
row_55	RPL13	Rpl13	1775	-0.1465899497270584	-0.42752188	Yes	
row_56	RPS27	Rps27	1778	-0.15053215622901917	-0.4098284	Yes	
row_57	ACTN2	Actn2	1779	-0.15296222269535065	-0.39069977	Yes	
row_58	RPS5	Rps5	1791	-0.1669297218322754	-0.37604618	Yes	
row_59	RPL22L1	Rpl22l1	1792	-0.16698847711086273	-0.3551635	Yes	
row_60	RPS2	Rps2	1802	-0.1830982267856598	-0.33735675	Yes	
row_61	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.31698558	Yes	
row_62	TUBB	Tubb5	1824	-0.2282804697751999	-0.29579103	Yes	
row_63	TUBA1B	Tuba1b	1825	-0.2386627346277237	-0.2659452	Yes	
row_64	RPS20	Rps20	1826	-0.23914656043052673	-0.23603883	Yes	
row_65	RPS29	Rps29	1829	-0.2690037190914154	-0.20352994	Yes	
row_66	RPS7	Rps7	1830	-0.27901554107666016	-0.16863778	Yes	
row_67	RPS8	Rps8	1832	-0.30077749490737915	-0.13158983	Yes	
row_68	RPS19	Rps19	1834	-0.3106273114681244	-0.093310095	Yes	
row_69	RPS24	Rps24	1837	-0.3328368067741394	-0.052818585	Yes	
row_70	RPS3A	Rps3a1	1838	-0.4223642349243164	-4.049798E-8	Yes	
