NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_STRUCTURAL_MOLECULE_ACTIVITY	GOMF_STRUCTURAL_MOLECULE_ACTIVITY	Details ...	71	-0.55448043	-2.1847088	0.0	0.0	0.0	152	tags=37%, list=8%, signal=38%	
GOMF_RNA_BINDING	GOMF_RNA_BINDING	Details ...	267	-0.44088346	-2.1747105	0.0	0.0	0.0	255	tags=25%, list=14%, signal=25%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	30	-0.77323866	-2.1019933	0.0	0.0	0.0	152	tags=63%, list=8%, signal=68%	
GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	Details ...	20	-0.67471296	-2.0549092	0.0	0.0	0.0	161	tags=40%, list=9%, signal=43%	
GOMF_GROWTH_FACTOR_BINDING	GOMF_GROWTH_FACTOR_BINDING	Details ...	16	-0.57496184	-1.8511425	0.0	0.020762427	0.11	38	tags=25%, list=2%, signal=25%	
GOMF_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	GOMF_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	Details ...	16	-0.6331242	-1.7987779	0.0	0.026656128	0.17	82	tags=31%, list=4%, signal=32%	
GOMF_TRANSLATION_REGULATOR_ACTIVITY	GOMF_TRANSLATION_REGULATOR_ACTIVITY	Details ...	20	-0.57253826	-1.727934	0.019607844	0.042248603	0.25	504	tags=60%, list=27%, signal=82%	
GOMF_DOUBLE_STRANDED_RNA_BINDING	GOMF_DOUBLE_STRANDED_RNA_BINDING	Details ...	27	-0.4970745	-1.703764	0.0	0.04270325	0.28	230	tags=33%, list=13%, signal=38%	
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	Details ...	41	-0.47251144	-1.6924452	0.01754386	0.044719145	0.3	228	tags=27%, list=12%, signal=30%	
GOMF_MRNA_BINDING	GOMF_MRNA_BINDING	Details ...	56	-0.43151852	-1.679793	0.018518519	0.046471644	0.34	82	tags=16%, list=4%, signal=16%	
GOMF_SINGLE_STRANDED_DNA_BINDING	GOMF_SINGLE_STRANDED_DNA_BINDING	Details ...	26	-0.45426425	-1.4488418	0.09090909	0.29517022	0.92	186	tags=35%, list=10%, signal=38%	
GOMF_HISTONE_DEACETYLASE_BINDING	GOMF_HISTONE_DEACETYLASE_BINDING	Details ...	20	-0.47247767	-1.4196286	0.11363637	0.31196487	0.94	247	tags=45%, list=13%, signal=51%	
GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY	GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY	Details ...	82	-0.3083667	-1.3775889	0.055555556	0.3791035	0.96	387	tags=30%, list=21%, signal=37%	
GOMF_ENZYME_INHIBITOR_ACTIVITY	GOMF_ENZYME_INHIBITOR_ACTIVITY	Details ...	54	-0.33867812	-1.3422785	0.1627907	0.45482364	0.99	219	tags=24%, list=12%, signal=27%	
GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY	GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY	Details ...	41	-0.35285053	-1.340385	0.06122449	0.4268763	0.99	257	tags=24%, list=14%, signal=28%	
GOMF_HEAT_SHOCK_PROTEIN_BINDING	GOMF_HEAT_SHOCK_PROTEIN_BINDING	Details ...	17	-0.4486402	-1.3386922	0.12727273	0.4055892	0.99	193	tags=24%, list=10%, signal=26%	
GOMF_GTPASE_BINDING	GOMF_GTPASE_BINDING	Details ...	34	-0.3531044	-1.2610545	0.14285715	0.574835	1.0	340	tags=35%, list=18%, signal=42%	
GOMF_ENZYME_BINDING	GOMF_ENZYME_BINDING	Details ...	300	-0.24791613	-1.2597672	0.033333335	0.5453779	1.0	255	tags=20%, list=14%, signal=19%	
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	Details ...	35	-0.34541532	-1.2568792	0.16393442	0.521818	1.0	424	tags=34%, list=23%, signal=44%	
GOMF_KINASE_REGULATOR_ACTIVITY	GOMF_KINASE_REGULATOR_ACTIVITY	Details ...	47	-0.31648183	-1.2376658	0.14583333	0.54633135	1.0	153	tags=21%, list=8%, signal=23%	
GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY	GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY		33	-0.3392599	-1.2355089	0.18	0.5268113	1.0	528	tags=45%, list=29%, signal=63%	
GOMF_CELL_ADHESION_MOLECULE_BINDING	GOMF_CELL_ADHESION_MOLECULE_BINDING		83	-0.29266998	-1.228693	0.19672132	0.5234276	1.0	456	tags=40%, list=25%, signal=50%	
GOMF_KINASE_INHIBITOR_ACTIVITY	GOMF_KINASE_INHIBITOR_ACTIVITY		16	-0.42705226	-1.2146178	0.22222222	0.5416769	1.0	213	tags=31%, list=12%, signal=35%	
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING		57	-0.28850392	-1.1882339	0.16666667	0.59686106	1.0	152	tags=18%, list=8%, signal=19%	
GOMF_AMIDE_BINDING	GOMF_AMIDE_BINDING		38	-0.31702524	-1.1819638	0.22222222	0.58702666	1.0	488	tags=45%, list=27%, signal=60%	
GOMF_OXIDOREDUCTASE_ACTIVITY	GOMF_OXIDOREDUCTASE_ACTIVITY		44	-0.31998742	-1.1779124	0.25454545	0.57261187	1.0	527	tags=45%, list=29%, signal=62%	
GOMF_PEPTIDE_BINDING	GOMF_PEPTIDE_BINDING		31	-0.3284923	-1.1637225	0.3018868	0.594889	1.0	427	tags=42%, list=23%, signal=54%	
GOMF_HISTONE_BINDING	GOMF_HISTONE_BINDING		52	-0.31202757	-1.1570746	0.24489796	0.59586793	1.0	515	tags=37%, list=28%, signal=49%	
GOMF_CADHERIN_BINDING	GOMF_CADHERIN_BINDING		57	-0.29740283	-1.1565483	0.19672132	0.57560945	1.0	456	tags=40%, list=25%, signal=52%	
GOMF_SINGLE_STRANDED_RNA_BINDING	GOMF_SINGLE_STRANDED_RNA_BINDING		15	-0.40397358	-1.1559374	0.2	0.5569884	1.0	102	tags=13%, list=6%, signal=14%	
GOMF_LIPID_TRANSPORTER_ACTIVITY	GOMF_LIPID_TRANSPORTER_ACTIVITY		16	-0.38263822	-1.12712	0.3148148	0.60645866	1.0	60	tags=13%, list=3%, signal=13%	
GOMF_DNA_HELICASE_ACTIVITY	GOMF_DNA_HELICASE_ACTIVITY		18	-0.3802907	-1.1266344	0.27419356	0.5890257	1.0	214	tags=22%, list=12%, signal=25%	
GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING	GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING		161	-0.23915274	-1.1253692	0.1754386	0.57465255	1.0	255	tags=19%, list=14%, signal=20%	
GOMF_ATPASE_ACTIVITY	GOMF_ATPASE_ACTIVITY		89	-0.27039623	-1.1010904	0.31666666	0.6302808	1.0	289	tags=21%, list=16%, signal=24%	
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON	GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON		18	-0.36721915	-1.0944096	0.37037036	0.62570715	1.0	138	tags=33%, list=8%, signal=36%	
GOMF_HELICASE_ACTIVITY	GOMF_HELICASE_ACTIVITY		35	-0.30010107	-1.0812027	0.3442623	0.648546	1.0	713	tags=57%, list=39%, signal=92%	
GOMF_GUANYL_NUCLEOTIDE_BINDING	GOMF_GUANYL_NUCLEOTIDE_BINDING		60	-0.27533543	-1.0791931	0.27450982	0.6373258	1.0	213	tags=20%, list=12%, signal=22%	
GOMF_ENZYME_REGULATOR_ACTIVITY	GOMF_ENZYME_REGULATOR_ACTIVITY		177	-0.2276702	-1.0746076	0.29166666	0.6293803	1.0	243	tags=19%, list=13%, signal=20%	
GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY	GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY		29	-0.32711402	-1.0689771	0.2982456	0.62795824	1.0	310	tags=24%, list=17%, signal=29%	
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES		142	-0.2366567	-1.0592723	0.31666666	0.63698906	1.0	298	tags=20%, list=16%, signal=22%	
GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING	GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING		102	-0.24880363	-1.0550116	0.31578946	0.63165164	1.0	122	tags=14%, list=7%, signal=14%	
GOMF_CHROMATIN_BINDING	GOMF_CHROMATIN_BINDING		94	-0.24921118	-1.0523074	0.37037036	0.6232946	1.0	528	tags=36%, list=29%, signal=48%	
GOMF_TRANSCRIPTION_FACTOR_BINDING	GOMF_TRANSCRIPTION_FACTOR_BINDING		106	-0.22800522	-1.0477531	0.38333333	0.6189589	1.0	287	tags=19%, list=16%, signal=21%	
GOMF_MAGNESIUM_ION_BINDING	GOMF_MAGNESIUM_ION_BINDING		20	-0.3613924	-1.0365646	0.44827586	0.6315384	1.0	143	tags=20%, list=8%, signal=21%	
GOMF_ISOMERASE_ACTIVITY	GOMF_ISOMERASE_ACTIVITY		18	-0.3562654	-1.0292158	0.42857143	0.6337527	1.0	228	tags=28%, list=12%, signal=31%	
GOMF_MICROTUBULE_MOTOR_ACTIVITY	GOMF_MICROTUBULE_MOTOR_ACTIVITY		15	-0.36199033	-1.0172718	0.43548387	0.6502482	1.0	182	tags=20%, list=10%, signal=22%	
GOMF_CHANNEL_REGULATOR_ACTIVITY	GOMF_CHANNEL_REGULATOR_ACTIVITY		18	-0.3363304	-0.9973632	0.4347826	0.6874432	1.0	357	tags=39%, list=19%, signal=48%	
GOMF_INTEGRIN_BINDING	GOMF_INTEGRIN_BINDING		18	-0.32570976	-0.9877038	0.5294118	0.69569534	1.0	61	tags=17%, list=3%, signal=17%	
GOMF_RIBONUCLEOTIDE_BINDING	GOMF_RIBONUCLEOTIDE_BINDING		268	-0.20284696	-0.9861575	0.4848485	0.6842226	1.0	241	tags=16%, list=13%, signal=16%	
GOMF_MOLECULAR_ADAPTOR_ACTIVITY	GOMF_MOLECULAR_ADAPTOR_ACTIVITY		34	-0.2847424	-0.9754029	0.4909091	0.69808584	1.0	310	tags=24%, list=17%, signal=28%	
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING	GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING		64	-0.24294777	-0.97100025	0.5614035	0.6988685	1.0	193	tags=16%, list=10%, signal=17%	
GOMF_MICROTUBULE_BINDING	GOMF_MICROTUBULE_BINDING		42	-0.2711993	-0.9601872	0.47272727	0.71263266	1.0	277	tags=21%, list=15%, signal=25%	
GOMF_TUBULIN_BINDING	GOMF_TUBULIN_BINDING		61	-0.24555981	-0.94953746	0.51724136	0.7224487	1.0	277	tags=20%, list=15%, signal=22%	
GOMF_MRNA_3_UTR_BINDING	GOMF_MRNA_3_UTR_BINDING		21	-0.28355852	-0.9393849	0.5686275	0.7326105	1.0	72	tags=10%, list=4%, signal=10%	
GOMF_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		31	-0.25711268	-0.9316473	0.6166667	0.7411731	1.0	246	tags=23%, list=13%, signal=26%	
GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING		15	-0.31935078	-0.92110205	0.5762712	0.7536965	1.0	580	tags=40%, list=32%, signal=58%	
GOMF_ADENYL_NUCLEOTIDE_BINDING	GOMF_ADENYL_NUCLEOTIDE_BINDING		217	-0.19368955	-0.91008615	0.734375	0.7658499	1.0	241	tags=16%, list=13%, signal=16%	
GOMF_PROTEASE_BINDING	GOMF_PROTEASE_BINDING		19	-0.2792233	-0.8602563	0.5471698	0.8643927	1.0	191	tags=21%, list=10%, signal=23%	
GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY	GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY		19	-0.28298494	-0.8204728	0.6666667	0.9334372	1.0	189	tags=16%, list=10%, signal=17%	
GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY	GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY		78	-0.18533066	-0.81168205	0.86206895	0.93229777	1.0	326	tags=23%, list=18%, signal=27%	
GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS	GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_ONE_CARBON_GROUPS		23	-0.2693585	-0.80428994	0.8	0.9317854	1.0	613	tags=43%, list=33%, signal=64%	
GOMF_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		16	-0.2717656	-0.7750009	0.86538464	0.9589451	1.0	353	tags=25%, list=19%, signal=31%	
GOMF_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		15	-0.26349545	-0.7712604	0.7777778	0.94983786	1.0	246	tags=20%, list=13%, signal=23%	
GOMF_NUCLEASE_ACTIVITY	GOMF_NUCLEASE_ACTIVITY		29	-0.21280424	-0.7561694	0.8545455	0.9572237	1.0	594	tags=38%, list=32%, signal=55%	
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA		33	-0.21001005	-0.74354666	0.84	0.96235394	1.0	308	tags=18%, list=17%, signal=21%	
GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING	GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING		52	-0.1905342	-0.7398318	0.92727274	0.9524972	1.0	134	tags=12%, list=7%, signal=12%	
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY		30	-0.22710003	-0.7331829	0.9148936	0.94658095	1.0	304	tags=23%, list=17%, signal=27%	
GOMF_NUCLEAR_HORMONE_RECEPTOR_BINDING	GOMF_NUCLEAR_HORMONE_RECEPTOR_BINDING		25	-0.22141196	-0.7052563	0.8867925	0.9631514	1.0	131	tags=12%, list=7%, signal=13%	
GOMF_PROTEIN_C_TERMINUS_BINDING	GOMF_PROTEIN_C_TERMINUS_BINDING		29	-0.19568062	-0.6980078	0.8888889	0.95666265	1.0	242	tags=14%, list=13%, signal=16%	
GOMF_ENDONUCLEASE_ACTIVITY	GOMF_ENDONUCLEASE_ACTIVITY		16	-0.2117389	-0.638667	0.90384614	0.98525345	1.0	1454	tags=100%, list=79%, signal=474%	
GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY		47	-0.17226796	-0.6229092	0.9574468	0.97918695	1.0	304	tags=19%, list=17%, signal=22%	
