NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZYX	Zyx	66	0.17792844772338867	0.008095378	No	
row_1	TNFAIP8	Tnfaip8	76	0.17194341123104095	0.046624694	No	
row_2	OSBPL3	Osbpl3	85	0.1615462303161621	0.08307967	No	
row_3	BBS2	Bbs2	170	0.10617665946483612	0.062901914	No	
row_4	PGGT1B	Pggt1b	241	0.08517974615097046	0.045250624	No	
row_5	ID2	Id2	293	0.06830493360757828	0.03397312	No	
row_6	CLIP1	Clip1	328	0.06137878820300102	0.030469527	No	
row_7	IER2	Ier2	353	0.056245122104883194	0.031270336	No	
row_8	KLHL20	Klhl20	426	0.04795505106449127	0.0030644308	No	
row_9	LUC7L2	Luc7l2	452	0.045676086097955704	6.262793E-4	No	
row_10	LZTFL1	Lztfl1	572	0.031970664858818054	-0.057975706	No	
row_11	LZTS2	Lzts2	623	0.02694433368742466	-0.07917434	No	
row_12	DCUN1D4	Dcun1d4	700	0.019312281161546707	-0.116881095	No	
row_13	PPP1R12B	Ppp1r12b	740	0.016380522400140762	-0.13459091	No	
row_14	IER5	Ier5	790	0.012468119151890278	-0.15889758	No	
row_15	XRCC2	Xrcc2	819	0.009488924406468868	-0.17218795	No	
row_16	CDK13	Cdk13	821	0.008997502736747265	-0.17046833	No	
row_17	ERCC5	Ercc5	848	0.006885303184390068	-0.18329744	No	
row_18	JPT1	Jpt1	875	0.004310231190174818	-0.19677913	No	
row_19	CHD1	Chd1	901	0.0032360146287828684	-0.2099725	No	
row_20	NSA2	Nsa2	908	0.0019087641267105937	-0.21285202	No	
row_21	IQGAP1	Iqgap1	925	9.549041715217754E-5	-0.22179642	No	
row_22	CHD2	Chd2	977	-0.005226718727499247	-0.2490593	No	
row_23	MLLT3	Mllt3	996	-0.0065020970068871975	-0.2575012	No	
row_24	EEF1A1	Eef1a1	1054	-0.011178694665431976	-0.28661898	No	
row_25	MIA3	Mia3	1083	-0.013308295048773289	-0.29894143	No	
row_26	SWT1	Swt1	1104	-0.015255418606102467	-0.30628616	No	
row_27	AURKA	Aurka	1124	-0.017201712355017662	-0.31257707	No	
row_28	ERCC6L2	Ercc6l2	1134	-0.018126707524061203	-0.31302822	No	
row_29	HSP90B1	Hsp90b1	1189	-0.023512499406933784	-0.33733872	No	
row_30	N6AMT1	N6amt1	1243	-0.028397811576724052	-0.35985062	No	
row_31	CAST	Cast	1249	-0.028979407623410225	-0.3553093	No	
row_32	THRAP3	Thrap3	1269	-0.03218298405408859	-0.35780367	No	
row_33	NCOA2	Ncoa2	1317	-0.03646833449602127	-0.3749071	No	
row_34	ZNF2	Zfp661	1355	-0.04054915904998779	-0.385371	No	
row_35	STAT1	Stat1	1425	-0.04746893420815468	-0.41201848	No	
row_36	AHNAK	Ahnak	1430	-0.04783442243933678	-0.40213835	No	
row_37	SELENOI	Selenoi	1573	-0.07272408902645111	-0.4633049	Yes	
row_38	ARRDC4	Arrdc4	1576	-0.0733967274427414	-0.4458257	Yes	
row_39	IWS1	Iws1	1582	-0.07467532902956009	-0.42970404	Yes	
row_40	CDC20	Cdc20	1598	-0.07769331336021423	-0.41842297	Yes	
row_41	TNFSF9	Tnfsf9	1609	-0.08040718734264374	-0.40365145	Yes	
row_42	CAPG	Capg	1615	-0.08099860697984695	-0.38592735	Yes	
row_43	RRM2	Rrm2	1620	-0.08208263665437698	-0.36736798	Yes	
row_44	HOMER1	Homer1	1638	-0.0854635089635849	-0.35523885	Yes	
row_45	ATF7IP	Atf7ip	1644	-0.08591946214437485	-0.33626768	Yes	
row_46	MRPL52	Mrpl52	1704	-0.10737058520317078	-0.34212944	Yes	
row_47	CCND2	Ccnd2	1724	-0.11761680990457535	-0.322973	Yes	
row_48	ENO1	Eno1	1749	-0.12972454726696014	-0.30355096	Yes	
row_49	RPS16	Rps16	1765	-0.14085543155670166	-0.27626324	Yes	
row_50	NPM1	Npm1	1795	-0.17195343971252441	-0.24894214	Yes	
row_51	NCL	Ncl	1801	-0.1787964403629303	-0.20643397	Yes	
row_52	TUBB	Tubb5	1824	-0.2282804697751999	-0.16091461	Yes	
row_53	RPS20	Rps20	1826	-0.23914656043052673	-0.100870274	Yes	
row_54	RPS3A	Rps3a1	1838	-0.4223642349243164	-1.5439582E-8	Yes	
