NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL4	Ccl4	14	0.3131081461906433	0.06956005	Yes	
row_1	PIK3AP1	Pik3ap1	40	0.21647459268569946	0.109102465	Yes	
row_2	PLEK	Plek	44	0.21069468557834625	0.15949339	Yes	
row_3	DUSP2	Dusp2	61	0.1836731880903244	0.19595253	Yes	
row_4	ZEB2	Zeb2	91	0.1553114354610443	0.2181487	Yes	
row_5	IKZF2	Ikzf2	96	0.15104977786540985	0.25324267	Yes	
row_6	GSAP	Gsap	98	0.1505473107099533	0.28988656	Yes	
row_7	LIMD2	Limd2	104	0.145901620388031	0.3231503	Yes	
row_8	TMEM37	Tmem37	118	0.13698244094848633	0.34974575	Yes	
row_9	PRKCH	Prkch	121	0.13528020679950714	0.38205895	Yes	
row_10	NR3C1	Nr3c1	141	0.1213630959391594	0.40144646	Yes	
row_11	SLC22A15	Slc22a15	162	0.1107400432229042	0.41765085	Yes	
row_12	GPR18	Gpr18	164	0.10920783132314682	0.4440793	Yes	
row_13	CCL3	Ccl3	172	0.10407315939664841	0.4658907	Yes	
row_14	IRF8	Irf8	174	0.10313622653484344	0.4908188	Yes	
row_15	ITGAL	Itgal	228	0.08672702312469482	0.48267412	Yes	
row_16	SELPLG	Selplg	236	0.08571770042181015	0.49994966	Yes	
row_17	SAT1	Sat1	268	0.07650043815374374	0.50155467	Yes	
row_18	DAAM1	Daam1	307	0.0648658350110054	0.4963784	Yes	
row_19	BCL2A1	Bcl2a1d	313	0.06393156945705414	0.5093864	Yes	
row_20	RUNX3	Runx3	421	0.04861773923039436	0.4616906	No	
row_21	KLHL20	Klhl20	426	0.04795505106449127	0.4713087	No	
row_22	REL	Rel	453	0.045519839972257614	0.46804824	No	
row_23	ZNF831	Zfp831	459	0.044237542897462845	0.47618964	No	
row_24	LSP1	Lsp1	492	0.038893621414899826	0.46794355	No	
row_25	IGKC	Igkc	513	0.03700534999370575	0.46592727	No	
row_26	LZTFL1	Lztfl1	572	0.031970664858818054	0.44146153	No	
row_27	DENND1C	Dennd1c	587	0.03073953278362751	0.4412451	No	
row_28	CXCR5	Cxcr5	676	0.02240775339305401	0.39767516	No	
row_29	CD69	Cd69	846	0.0069248490035533905	0.30507833	No	
row_30	JDP2	Jdp2	1023	-0.008438412100076675	0.20894927	No	
row_31	CD79B	Cd79b	1028	-0.00881012249737978	0.20889421	No	
row_32	GADD45B	Gadd45b	1099	-0.014796693809330463	0.17348814	No	
row_33	CIRBP	Cirbp	1102	-0.015034699812531471	0.1760873	No	
row_34	KMT2A	Kmt2a	1147	-0.019529033452272415	0.15635958	No	
row_35	TET3	Tet3	1175	-0.02256368100643158	0.14686836	No	
row_36	POU2AF1	Pou2af1	1188	-0.023404665291309357	0.14595549	No	
row_37	NFATC1	Nfatc1	1280	-0.03276408091187477	0.103270605	No	
row_38	ISG15	Isg15	1387	-0.04355447366833687	0.054881617	No	
row_39	FKTN	Fktn	1424	-0.04738109931349754	0.046500735	No	
row_40	CYBA	Cyba	1473	-0.05428047850728035	0.033128336	No	
row_41	RASGRP2	Rasgrp2	1541	-0.06570614129304886	0.0119766705	No	
row_42	TXNIP	Txnip	1554	-0.06809194386005402	0.022106528	No	
row_43	NFAT5	Nfat5	1581	-0.07459615916013718	0.02603115	No	
row_44	DGKA	Dgka	1656	-0.09016672521829605	0.007017717	No	
row_45	DTX1	Dtx1	1730	-0.11871276795864105	-0.0043836297	No	
row_46	ITGB7	Itgb7	1827	-0.2593710124492645	0.0061384398	No	
