NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNDC5	Txndc5	12	0.32309088110923767	0.13258304	Yes	
row_1	C1orf21	1700025G04Rik	90	0.15592080354690552	0.15707177	Yes	
row_2	GSAP	Gsap	98	0.1505473107099533	0.21806891	Yes	
row_3	IQGAP2	Iqgap2	186	0.09895550459623337	0.21246168	Yes	
row_4	ABI2	Abi2	196	0.0962381362915039	0.2489446	Yes	
row_5	RGS3	Rgs3	209	0.09296056628227234	0.28235114	Yes	
row_6	NFKBIA	Nfkbia	259	0.07994456589221954	0.28962696	Yes	
row_7	PTP4A2	Ptp4a2	302	0.06535995006561279	0.29449984	Yes	
row_8	CRIP2	Crip2	331	0.06067097187042236	0.3051168	Yes	
row_9	C1QTNF6	C1qtnf6	337	0.05888949707150459	0.32772255	Yes	
row_10	MYLPF	Mylpf	338	0.05866007134318352	0.35300258	Yes	
row_11	CHPT1	Chpt1	365	0.055388156324625015	0.36245215	Yes	
row_12	CCNL1	Ccnl1	418	0.048977337777614594	0.3547185	Yes	
row_13	GIT2	Git2	435	0.04691772907972336	0.36606398	Yes	
row_14	HEG1	Heg1	458	0.044602327048778534	0.37308383	Yes	
row_15	FBXL19	Fbxl19	461	0.043697915971279144	0.39080653	Yes	
row_16	GLYCTK	Glyctk	801	0.011027360334992409	0.2075389	No	
row_17	CHKA	Chka	830	0.008419044315814972	0.19563748	No	
row_18	FLNA	Flna	986	-0.005943802651017904	0.11223118	No	
row_19	FRMD6	Frmd6	1035	-0.009630817919969559	0.08975936	No	
row_20	ZNF780B	Zfp780b	1047	-0.010615101084113121	0.08823308	No	
row_21	CSAD	Csad	1058	-0.011432700790464878	0.087613784	No	
row_22	KMT2A	Kmt2a	1147	-0.019529033452272415	0.047222435	No	
row_23	NDRG2	Ndrg2	1201	-0.024447761476039886	0.028362943	No	
row_24	NQO2	Nqo2	1224	-0.027038751170039177	0.027813625	No	
row_25	CAST	Cast	1249	-0.028979407623410225	0.026991386	No	
row_26	ICAM1	Icam1	1272	-0.03228365257382393	0.0287024	No	
row_27	IBTK	Ibtk	1296	-0.034039683640003204	0.030615559	No	
row_28	MASP2	Masp2	1398	-0.044406384229660034	-0.006264901	No	
row_29	PLEC	Plec	1457	-0.052334465086460114	-0.01587955	No	
row_30	ACTN1	Actn1	1610	-0.08065683394670486	-0.06542378	No	
row_31	U2SURP	U2surp	1613	-0.08084788918495178	-0.03169099	No	
row_32	TAGLN2	Tagln2	1614	-0.08094149827957153	0.003191399	No	
row_33	BAZ1B	Baz1b	1642	-0.08558674901723862	0.025100658	No	
row_34	ACIN1	Acin1	1665	-0.09319831430912018	0.053063337	No	
row_35	KLF13	Klf13	1684	-0.09823073446750641	0.0854133	No	
