NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XCL1	Xcl1	11	0.32624733448028564	0.047404595	Yes	
row_1	CCL4	Ccl4	14	0.3131081461906433	0.09774543	Yes	
row_2	CXCR6	Cxcr6	30	0.24224966764450073	0.12907624	Yes	
row_3	SAMD3	Samd3	32	0.2265862375497818	0.1657596	Yes	
row_4	GEM	Gem	41	0.21617695689201355	0.19676794	Yes	
row_5	SUB1	Sub1	43	0.2154170572757721	0.23161513	Yes	
row_6	CHSY1	Chsy1	53	0.1928045004606247	0.25821492	Yes	
row_7	NKG7	Nkg7	62	0.1805972009897232	0.28337416	Yes	
row_8	EOMES	Eomes	69	0.17548729479312897	0.30882585	Yes	
row_9	PGLYRP1	Pglyrp1	72	0.173714742064476	0.33625114	Yes	
row_10	SRGN	Srgn	78	0.16945281624794006	0.36127704	Yes	
row_11	ZEB2	Zeb2	91	0.1553114354610443	0.38001442	Yes	
row_12	ITGB1	Itgb1	94	0.15416833758354187	0.40422636	Yes	
row_13	ARAP2	Arap2	99	0.14956453442573547	0.426549	Yes	
row_14	PRF1	Prf1	102	0.14850397408008575	0.4498298	Yes	
row_15	CD38	Cd38	110	0.14184881746768951	0.46918523	Yes	
row_16	CXCR3	Cxcr3	143	0.12085402756929398	0.47093296	Yes	
row_17	ST8SIA4	St8sia4	151	0.11492204666137695	0.48586178	Yes	
row_18	RGS1	Rgs1	167	0.10737178474664688	0.49501935	Yes	
row_19	NCALD	Ncald	182	0.10011201351881027	0.50354975	Yes	
row_20	PHF11	Phf11b	191	0.09757614880800247	0.5150607	Yes	
row_21	RAP2A	Rap2a	192	0.09736733138561249	0.53106743	Yes	
row_22	RILPL2	Rilpl2	195	0.09636867046356201	0.54577744	Yes	
row_23	RORA	Rora	248	0.08192775398492813	0.52980083	Yes	
row_24	SETBP1	Setbp1	252	0.0815303772687912	0.5415053	Yes	
row_25	NFKBIA	Nfkbia	259	0.07994456589221954	0.5512502	Yes	
row_26	IFI16	Ifi203	274	0.07490207999944687	0.5556362	Yes	
row_27	GPR160	Gpr160	284	0.07098717242479324	0.56220984	Yes	
row_28	AIM2	Aim2	286	0.07028495520353317	0.5731981	Yes	
row_29	CARHSP1	Carhsp1	287	0.07008302211761475	0.58471936	Yes	
row_30	ID2	Id2	293	0.06830493360757828	0.5931171	Yes	
row_31	EEA1	Eea1	297	0.06621182709932327	0.6023032	Yes	
row_32	CX3CR1	Cx3cr1	311	0.06440193951129913	0.6055293	Yes	
row_33	GXYLT1	Gxylt1	334	0.05987211689352989	0.60291445	Yes	
row_34	LAG3	Lag3	345	0.058052752166986465	0.6067955	Yes	
row_35	PLSCR1	Plscr1	359	0.05573289096355438	0.6085964	Yes	
row_36	CHPT1	Chpt1	365	0.055388156324625015	0.61487067	Yes	
row_37	GIMAP7	Gimap7	393	0.05187711492180824	0.6081102	Yes	
row_38	OCIAD2	Ociad2	394	0.05183437466621399	0.6166315	Yes	
row_39	IL10RA	Il10ra	406	0.050372350960969925	0.6186837	Yes	
row_40	IFIH1	Ifih1	417	0.049137797206640244	0.6210992	Yes	
row_41	SNX10	Snx10	523	0.035809338092803955	0.5675297	No	
row_42	PTTG1	Pttg1	524	0.03578563407063484	0.57341266	No	
row_43	CCDC88A	Ccdc88a	528	0.03560128062963486	0.57756656	No	
row_44	GOLIM4	Golim4	601	0.029298173263669014	0.5416129	No	
row_45	PMAIP1	Pmaip1	602	0.02917672134935856	0.5464094	No	
row_46	IER3	Ier3	609	0.028290247544646263	0.5476627	No	
row_47	TRIP11	Trip11	624	0.026890352368354797	0.5441558	No	
row_48	HSPA4L	Hspa4l	710	0.018196912482380867	0.4990159	No	
row_49	TMEM163	Tmem163	748	0.015790538862347603	0.48066047	No	
row_50	ACADL	Acadl	756	0.015007378533482552	0.47916386	No	
row_51	TRPS1	Trps1	791	0.012163194827735424	0.46191087	No	
row_52	HOPX	Hopx	792	0.012139508500695229	0.46390653	No	
row_53	IL18RAP	Il18rap	831	0.008386083878576756	0.4437676	No	
row_54	GABARAPL1	Gabarapl1	876	0.004296907223761082	0.41955894	No	
row_55	ELL2	Ell2	910	0.0016190340975299478	0.4011388	No	
row_56	PRDM1	Prdm1	973	-0.004997910000383854	0.36685285	No	
row_57	ITIH5	Itih5	1070	-0.012517276220023632	0.3145505	No	
row_58	ISG20	Isg20	1073	-0.012571178376674652	0.3154846	No	
row_59	TTC39B	Ttc39b	1114	-0.01608380489051342	0.29547864	No	
row_60	ALCAM	Alcam	1125	-0.017248161137104034	0.29265165	No	
row_61	ZFP69	Zfp69	1183	-0.02320791408419609	0.26419058	No	
row_62	ERCC6L	Ercc6l	1203	-0.02483666129410267	0.25751483	No	
row_63	PGM2L1	Pgm2l1	1262	-0.030729884281754494	0.22972408	No	
row_64	IFIT1	Ifit1bl1	1338	-0.03866232559084892	0.1936111	No	
row_65	EHD4	Ehd4	1400	-0.04524628072977066	0.16650802	No	
row_66	S100A11	S100a11	1432	-0.0481533408164978	0.15687038	No	
row_67	ICOS	Icos	1461	-0.05307506397366524	0.1497406	No	
row_68	SLK	Slk	1474	-0.05435911566019058	0.15188195	No	
row_69	SCLT1	Sclt1	1483	-0.055884793400764465	0.1565391	No	
row_70	RTP4	Rtp4	1533	-0.06424795836210251	0.13935481	No	
row_71	ITGA1	Itga1	1591	-0.0763220340013504	0.11962543	No	
row_72	EZH2	Ezh2	1733	-0.11966704577207565	0.059456617	No	
