NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GDPD3	Gdpd3	105	0.1458411067724228	-0.010081068	No	
row_1	TOP1	Top1	181	0.10100018233060837	-0.018330611	No	
row_2	BATF	Batf	369	0.054976917803287506	-0.10398463	No	
row_3	KRAS	Kras	470	0.04203089699149132	-0.14561254	No	
row_4	PHLDA1	Phlda1	474	0.04133940115571022	-0.13361011	No	
row_5	PON3	Pon3	573	0.031719841063022614	-0.1775367	No	
row_6	DYNLL1	Dynll1	661	0.023509636521339417	-0.21807013	No	
row_7	YJEFN3	Yjefn3	697	0.019589222967624664	-0.23102695	No	
row_8	HSPA4L	Hspa4l	710	0.018196912482380867	-0.2316734	No	
row_9	BAG2	Bag2	745	0.01611807756125927	-0.24522264	No	
row_10	LUZP1	Luzp1	797	0.011079096235334873	-0.26987714	No	
row_11	SPSB1	Spsb1	902	0.0031922284979373217	-0.32656738	No	
row_12	BIRC6	Birc6	961	-0.0037869377993047237	-0.3575196	No	
row_13	CENPA	Cenpa	1012	-0.007790436502546072	-0.3827062	No	
row_14	HSPA5	Hspa5	1056	-0.01126585341989994	-0.40285695	No	
row_15	LDHA	Ldha	1154	-0.020530713722109795	-0.44992778	No	
row_16	TSHZ1	Tshz1	1230	-0.027308695018291473	-0.48254216	No	
row_17	PKNOX1	Pknox1	1319	-0.03654785826802254	-0.51931995	No	
row_18	PIGA	Piga	1397	-0.04423309490084648	-0.5474491	No	
row_19	PDE4B	Pde4b	1404	-0.045519016683101654	-0.5357305	No	
row_20	ECT2	Ect2	1514	-0.06171422451734543	-0.5758477	No	
row_21	TNFSF9	Tnfsf9	1609	-0.08040718734264374	-0.6014556	Yes	
row_22	RRM2	Rrm2	1620	-0.08208263665437698	-0.57986885	Yes	
row_23	DNAJA1	Dnaja1	1647	-0.08664005994796753	-0.5656592	Yes	
row_24	PCLAF	Pclaf	1652	-0.08821278810501099	-0.5387142	Yes	
row_25	PRC1	Prc1	1675	-0.09539268165826797	-0.5193896	Yes	
row_26	ILF2	Ilf2	1691	-0.10160272568464279	-0.49412513	Yes	
row_27	TOP2A	Top2a	1697	-0.10506526380777359	-0.46216333	Yes	
row_28	SPC25	Spc25	1707	-0.10819543898105621	-0.43138757	Yes	
row_29	POLA1	Pola1	1736	-0.12234505265951157	-0.4064832	Yes	
row_30	HSPA8	Hspa8	1744	-0.12854667007923126	-0.36786816	Yes	
row_31	SOCS3	Socs3	1757	-0.13377074897289276	-0.33030212	Yes	
row_32	PPA1	Ppa1	1769	-0.14364224672317505	-0.28891698	Yes	
row_33	LIG1	Lig1	1783	-0.15596722066402435	-0.24456729	Yes	
row_34	CDK1	Cdk1	1798	-0.17727868258953094	-0.19372657	Yes	
row_35	RPS2	Rps2	1802	-0.1830982267856598	-0.134854	Yes	
row_36	HSPE1	Hspe1	1811	-0.19718998670578003	-0.07409848	Yes	
row_37	HSP90AB1	Hsp90ab1	1828	-0.2677741050720215	0.0055525037	Yes	
