NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	19	0.2894119322299957	0.06696805	No	
row_1	ARHGDIB	Arhgdib	51	0.19685015082359314	0.1025142	No	
row_2	GIMAP4	Gimap4	63	0.17991210520267487	0.14459367	No	
row_3	RPS11	Rps11	304	0.06530115008354187	0.029259577	No	
row_4	C2CD5	C2cd5	432	0.04727262631058693	-0.028366612	No	
row_5	SAMHD1	Samhd1	549	0.0338139608502388	-0.08350858	No	
row_6	ARHGAP18	Arhgap18	619	0.027056429535150528	-0.11444975	No	
row_7	CKLF	Cklf	684	0.021331720054149628	-0.14415653	No	
row_8	TRAFD1	Trafd1	847	0.006901904009282589	-0.23196009	No	
row_9	NSA2	Nsa2	908	0.0019087641267105937	-0.26465327	No	
row_10	ASCC3	Ascc3	938	-5.055587971583009E-4	-0.28056663	No	
row_11	TWSG1	Twsg1	1223	-0.02699315920472145	-0.43050647	No	
row_12	GGT5	Ggt5	1339	-0.03868906944990158	-0.48378983	No	
row_13	SERBP1	Serbp1	1384	-0.043379101902246475	-0.49652594	No	
row_14	ATP1B3	Atp1b3	1530	-0.0637563169002533	-0.5597003	No	
row_15	PER2	Per2	1583	-0.0747714638710022	-0.5684591	No	
row_16	DDX21	Ddx21	1611	-0.08068758249282837	-0.56179893	No	
row_17	PSME2	Psme2	1715	-0.11327419430017471	-0.5884732	Yes	
row_18	CCND2	Ccnd2	1724	-0.11761680990457535	-0.5614115	Yes	
row_19	SET	Set	1725	-0.11765158176422119	-0.52991325	Yes	
row_20	MAT2A	Mat2a	1727	-0.11808580160140991	-0.4988522	Yes	
row_21	CERS6	Cers6	1734	-0.12173778563737869	-0.4695804	Yes	
row_22	RPL12	Rpl12	1761	-0.13574686646461487	-0.4476261	Yes	
row_23	RPS16	Rps16	1765	-0.14085543155670166	-0.41157582	Yes	
row_24	PPA1	Ppa1	1769	-0.14364224672317505	-0.37477946	Yes	
row_25	CD226	Cd226	1787	-0.16179446876049042	-0.34087095	Yes	
row_26	IDI1	Idi1	1789	-0.1662750393152237	-0.2969084	Yes	
row_27	RPS2	Rps2	1802	-0.1830982267856598	-0.25452933	Yes	
row_28	RGCC	Rgcc	1807	-0.19156163930892944	-0.20545717	Yes	
row_29	NME1	Nme1	1822	-0.22484152019023895	-0.15300919	Yes	
row_30	HSP90AB1	Hsp90ab1	1828	-0.2677741050720215	-0.08408646	Yes	
row_31	PTMA	Ptma	1836	-0.3326813876628876	0.0011067415	Yes	
