NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GZMA	Gzma	0	0.4611184000968933	0.051722668	Yes	
row_1	SH2D1A	Sh2d1a	4	0.36161643266677856	0.090581805	Yes	
row_2	CCL5	Ccl5	9	0.3305954337120056	0.12539384	Yes	
row_3	KLRD1	Klrd1	13	0.3197377026081085	0.15955552	Yes	
row_4	GZMK	Gzmk	22	0.27304285764694214	0.18564187	Yes	
row_5	TBX21	Tbx21	25	0.2525368928909302	0.21283333	Yes	
row_6	TSPAN32	Tspan32	26	0.25095149874687195	0.24098203	Yes	
row_7	FYN	Fyn	27	0.24973702430725098	0.26899448	Yes	
row_8	CXCR6	Cxcr6	30	0.24224966764450073	0.29503205	Yes	
row_9	KLRC1	Klrc1	31	0.23775310814380646	0.3217003	Yes	
row_10	FASLG	Fasl	37	0.2220274657011032	0.34376696	Yes	
row_11	UBASH3B	Ubash3b	38	0.21883629262447357	0.36831337	Yes	
row_12	GEM	Gem	41	0.21617695689201355	0.3914264	Yes	
row_13	PTPRCAP	Ptprcap	42	0.2154495120048523	0.4155929	Yes	
row_14	CD6	Cd6	48	0.20340071618556976	0.43557027	Yes	
row_15	CD2	Cd2	49	0.20149105787277222	0.45817107	Yes	
row_16	IKZF3	Ikzf3	55	0.19227877259254456	0.4769009	Yes	
row_17	SLAMF7	Slamf7	56	0.18926189839839935	0.49813	Yes	
row_18	SYTL2	Sytl2	57	0.1866556704044342	0.51906675	Yes	
row_19	GIMAP6	Gimap6	59	0.18498386442661285	0.53924847	Yes	
row_20	SH2D2A	Sh2d2a	60	0.18383300304412842	0.55986863	Yes	
row_21	DUSP2	Dusp2	61	0.1836731880903244	0.58047086	Yes	
row_22	NKG7	Nkg7	62	0.1805972009897232	0.6007281	Yes	
row_23	GIMAP4	Gimap4	63	0.17991210520267487	0.62090844	Yes	
row_24	TXK	Txk	67	0.17705711722373962	0.6390659	Yes	
row_25	IGHM	Ighm	77	0.17088627815246582	0.65312606	Yes	
row_26	CD5	Cd5	79	0.1689346432685852	0.67150754	Yes	
row_27	CD27	Cd27	88	0.1581367403268814	0.68470514	Yes	
row_28	CST7	Cst7	92	0.15437819063663483	0.7003188	Yes	
row_29	PRF1	Prf1	102	0.14850397408008575	0.71186835	Yes	
row_30	PTPRC	Ptprc	103	0.14688009023666382	0.72834355	Yes	
row_31	PRKCH	Prkch	121	0.13528020679950714	0.73386955	Yes	
row_32	ITGA4	Itga4	223	0.08718926459550858	0.6863281	No	
row_33	DOCK2	Dock2	231	0.08639620989561081	0.6920462	No	
row_34	IL2RB	Il2rb	232	0.08630163967609406	0.7017265	No	
row_35	TOX	Tox	260	0.07983920723199844	0.6953584	No	
row_36	CTSW	Ctsw	289	0.06868299841880798	0.6871714	No	
row_37	PTP4A2	Ptp4a2	302	0.06535995006561279	0.6876922	No	
row_38	CD7	Cd7	340	0.058466337621212006	0.67325145	No	
row_39	LAG3	Lag3	345	0.058052752166986465	0.6774929	No	
row_40	ABCB10	Abcb10	368	0.055041179060935974	0.67118096	No	
row_41	GIMAP7	Gimap7	393	0.05187711492180824	0.663379	No	
row_42	CD28	Cd28	414	0.049397729337215424	0.6575691	No	
row_43	PML	Pml	416	0.04937325417995453	0.6625397	No	
row_44	STAT2	Stat2	425	0.04841431975364685	0.6634299	No	
row_45	PDCD1	Pdcd1	482	0.04062637314200401	0.63620484	No	
row_46	EPSTI1	Epsti1	502	0.03759470582008362	0.62963855	No	
row_47	IRF1	Irf1	633	0.026255326345562935	0.55880374	No	
row_48	NXPE3	Nxpe3	651	0.024366037920117378	0.5518887	No	
row_49	FAM189B	Fam189b	664	0.02345484308898449	0.54770917	No	
row_50	RPGRIP1	Rpgrip1	681	0.02189835160970688	0.5410848	No	
row_51	STAT4	Stat4	706	0.018596522510051727	0.5295499	No	
row_52	CD3G	Cd3g	750	0.015420002862811089	0.50687546	No	
row_53	DPP4	Dpp4	769	0.014001565985381603	0.4982303	No	
