NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR2	Ccr2	2	0.40328532457351685	0.044073272	Yes	
row_1	CCL5	Ccl5	9	0.3305954337120056	0.077702306	Yes	
row_2	MEF2A	Mef2a	10	0.3267230987548828	0.11433751	Yes	
row_3	LRRK1	Lrrk1	15	0.2999502420425415	0.14567712	Yes	
row_4	KLRK1	Klrk1	18	0.2917720079421997	0.17724648	Yes	
row_5	GZMK	Gzmk	22	0.27304285764694214	0.20614238	Yes	
row_6	TBX21	Tbx21	25	0.2525368928909302	0.23331235	Yes	
row_7	HCST	Hcst	28	0.24920830130577087	0.2601091	Yes	
row_8	CXCR6	Cxcr6	30	0.24224966764450073	0.28669897	Yes	
row_9	DAPK2	Dapk2	34	0.22606472671031952	0.31032723	Yes	
row_10	STARD10	Stard10	39	0.2181689590215683	0.33249676	Yes	
row_11	PIK3AP1	Pik3ap1	40	0.21647459268569946	0.3567699	Yes	
row_12	SYTL2	Sytl2	57	0.1866556704044342	0.36852512	Yes	
row_13	NKG7	Nkg7	62	0.1805972009897232	0.38648176	Yes	
row_14	TTC39C	Ttc39c	65	0.17843911051750183	0.4053432	Yes	
row_15	S100A10	S100a10	68	0.1760408580303192	0.42393574	Yes	
row_16	ENTPD1	Entpd1	70	0.17499710619449615	0.44298464	Yes	
row_17	OSBPL3	Osbpl3	85	0.1615462303161621	0.45307115	Yes	
row_18	ZEB2	Zeb2	91	0.1553114354610443	0.46761915	Yes	
row_19	ITGB1	Itgb1	94	0.15416833758354187	0.48375914	Yes	
row_20	GSAP	Gsap	98	0.1505473107099533	0.4989197	Yes	
row_21	PRF1	Prf1	102	0.14850397408008575	0.5138511	Yes	
row_22	ATP2B1	Atp2b1	125	0.1307535022497177	0.51589775	Yes	
row_23	PTPN22	Ptpn22	127	0.12953336536884308	0.5298488	Yes	
row_24	S100A6	S100a6	145	0.11988650262355804	0.5335439	Yes	
row_25	MYO1F	Myo1f	157	0.11229001730680466	0.5398275	Yes	
row_26	RGS1	Rgs1	167	0.10737178474664688	0.5467065	Yes	
row_27	SLC2A3	Slc2a3	176	0.1026565283536911	0.5536301	Yes	
row_28	DGKH	Dgkh	189	0.09784103184938431	0.55772024	Yes	
row_29	BORCS7	Borcs7	213	0.09056433290243149	0.5546871	Yes	
row_30	ITGA4	Itga4	223	0.08718926459550858	0.559303	Yes	
row_31	HIP1	Hip1	224	0.08687533438205719	0.56904423	Yes	
row_32	ITGAL	Itgal	228	0.08672702312469482	0.5770487	Yes	
row_33	S1PR5	S1pr5	233	0.08624712377786636	0.5844259	Yes	
row_34	RORA	Rora	248	0.08192775398492813	0.58558494	Yes	
row_35	ID2	Id2	293	0.06830493360757828	0.56801456	No	
row_36	EEA1	Eea1	297	0.06621182709932327	0.5737186	No	
row_37	CX3CR1	Cx3cr1	311	0.06440193951129913	0.57348585	No	
row_38	BHLHE40	Bhlhe40	321	0.062467291951179504	0.5753297	No	
row_39	CTSD	Ctsd	336	0.059114307165145874	0.5739306	No	
row_40	ZDHHC2	Zdhhc2	343	0.05809637904167175	0.57700455	No	
row_41	CHPT1	Chpt1	365	0.055388156324625015	0.5711739	No	
row_42	MYLIP	Mylip	373	0.05443830415606499	0.57326424	No	
row_43	LAIR1	Lair1	399	0.05115518346428871	0.5646654	No	
row_44	KIF5C	Kif5c	403	0.05067150294780731	0.56862694	No	
row_45	NDNF	Ndnf	429	0.04768987372517586	0.5596395	No	
row_46	ATXN1	Atxn1	439	0.0464186854660511	0.55968386	No	
row_47	NT5E	Nt5e	463	0.04336932301521301	0.55135876	No	
row_48	DOCK5	Dock5	478	0.041090842336416245	0.5479387	No	
row_49	SNX10	Snx10	523	0.035809338092803955	0.52672464	No	
row_50	PCYT1A	Pcyt1a	531	0.03516592085361481	0.526654	No	
row_51	ANXA2	Anxa2	532	0.03515954315662384	0.53059644	No	
row_52	NSD2	Nsd2	583	0.030834417790174484	0.50538415	No	
row_53	XDH	Xdh	608	0.028334135189652443	0.49479973	No	
row_54	ARHGAP18	Arhgap18	619	0.027056429535150528	0.4920996	No	
row_55	CCDC50	Ccdc50	687	0.021053731441497803	0.45604292	No	
row_56	ATP2B4	Atp2b4	704	0.01872113160789013	0.44896778	No	
row_57	RUNX2	Runx2	719	0.01748374104499817	0.44290072	No	
row_58	PTPN13	Ptpn13	737	0.01658926159143448	0.43501315	No	
row_59	TMEM163	Tmem163	748	0.015790538862347603	0.4310498	No	
row_60	HOPX	Hopx	792	0.012139508500695229	0.40775502	No	
row_61	IL18RAP	Il18rap	831	0.008386083878576756	0.38690636	No	
row_62	PIK3R5	Pik3r5	834	0.008176648989319801	0.3866764	No	
row_63	L1CAM	L1cam	907	0.0020339833572506905	0.34562007	No	
row_64	ELL2	Ell2	910	0.0016190340975299478	0.34465483	No	
row_65	SPN	Spn	967	-0.004145254846662283	0.31300953	No	
row_66	PRDM1	Prdm1	973	-0.004997910000383854	0.31070298	No	
row_67	CD48	Cd48	1000	-0.006915904115885496	0.29657018	No	
row_68	CLIC4	Clic4	1006	-0.007465167436748743	0.2945403	No	
row_69	GPRIN3	Gprin3	1021	-0.008246653713285923	0.28743744	No	
row_70	PCGF2	Pcgf2	1022	-0.008386678993701935	0.28837785	No	
row_71	GNA15	Gna15	1029	-0.009076135233044624	0.2859552	No	
row_72	PRDX4	Prdx4	1105	-0.015307151712477207	0.24466696	No	
row_73	TTC39B	Ttc39b	1114	-0.01608380489051342	0.24188328	No	
row_74	ALCAM	Alcam	1125	-0.017248161137104034	0.23808336	No	
row_75	CISH	Cish	1135	-0.018385233357548714	0.23498432	No	
row_76	KCNJ8	Kcnj8	1136	-0.018512800335884094	0.23706016	No	
row_77	SMPDL3B	Smpdl3b	1141	-0.018907207995653152	0.23688662	No	
row_78	RNF216	Rnf216	1196	-0.023924991488456726	0.20860602	No	
row_79	IL7R	Il7r	1213	-0.02552042528986931	0.20229329	No	
row_80	LGALS3	Lgals3	1285	-0.03312341496348381	0.16529638	No	
row_81	CYFIP1	Cyfip1	1377	-0.042677026242017746	0.11790282	No	
row_82	AHNAK	Ahnak	1430	-0.04783442243933678	0.09344995	No	
row_83	ITGB2	Itgb2	1433	-0.04842843487858772	0.0977334	No	
row_84	IL18R1	Il18r1	1439	-0.049222949892282486	0.10038576	No	
row_85	CHIC1	Chic1	1501	-0.059199027717113495	0.07204664	No	
row_86	GZMM	Gzmm	1519	-0.062041353434324265	0.069255576	No	
row_87	MYO5A	Myo5a	1585	-0.07552901655435562	0.040453944	No	
row_88	ITGA1	Itga1	1591	-0.0763220340013504	0.046144903	No	
row_89	SLC4A7	Slc4a7	1636	-0.0850486308336258	0.03045198	No	
row_90	HLA-E	H2-T23	1676	-0.09557116031646729	0.018805914	No	
row_91	ARMC7	Armc7	1695	-0.10361190140247345	0.020102734	No	
row_92	CD226	Cd226	1787	-0.16179446876049042	-0.013934279	No	
row_93	SLCO3A1	Slco3a1	1793	-0.16775821149349213	0.002009343	No	
row_94	EMP3	Emp3	1817	-0.20708487927913666	0.0120415315	No	
