NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM185A	Fam185a	434	0.046993475407361984	-0.19518772	No	
row_1	B3GNT5	B3gnt5	694	0.02043287828564644	-0.3186163	No	
row_2	USP16	Usp16	804	0.010800493881106377	-0.36855242	No	
row_3	LNPK	Lnpk	820	0.009440907277166843	-0.36816582	No	
row_4	TSPAN3	Tspan3	850	0.006735782139003277	-0.3779273	No	
row_5	HAUS2	Haus2	882	0.003912158310413361	-0.3913624	No	
row_6	ELL2	Ell2	910	0.0016190340975299478	-0.40469578	No	
row_7	NOL8	Nol8	1046	-0.01058717630803585	-0.46908876	No	
row_8	HSPA5	Hspa5	1056	-0.01126585341989994	-0.46374562	No	
row_9	RPAP3	Rpap3	1155	-0.020629914477467537	-0.49867845	No	
row_10	CEBPZ	Cebpz	1386	-0.04354685917496681	-0.58510774	No	
row_11	SOCS3	Socs3	1757	-0.13377074897289276	-0.6660045	Yes	
row_12	EIF4A1	Eif4a1	1772	-0.1449633091688156	-0.54140556	Yes	
row_13	FABP5	Fabp5	1780	-0.15436004102230072	-0.40439227	Yes	
row_14	CCR7	Ccr7	1818	-0.2090611755847931	-0.2339208	Yes	
row_15	HSP90AB1	Hsp90ab1	1828	-0.2677741050720215	0.0054853573	Yes	
