NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHSY1	Chsy1	53	0.1928045004606247	0.016473757	No	
row_1	S100A10	S100a10	68	0.1760408580303192	0.050664317	No	
row_2	ZFP36	Zfp36	214	0.09041959792375565	-0.008505622	No	
row_3	GPR183	Gpr183	218	0.08879096060991287	0.0110006	No	
row_4	S100A4	S100a4	222	0.08781073242425919	0.030273037	No	
row_5	ADD3	Add3	235	0.08608569204807281	0.04412292	No	
row_6	RPS11	Rps11	304	0.06530115008354187	0.021835294	No	
row_7	CX3CR1	Cx3cr1	311	0.06440193951129913	0.03385437	No	
row_8	RPL32	Rpl32	320	0.06259050965309143	0.044327833	No	
row_9	IER2	Ier2	353	0.056245122104883194	0.039924894	No	
row_10	MYLIP	Mylip	373	0.05443830415606499	0.042329337	No	
row_11	JUND	Jund	448	0.045872993767261505	0.012067351	No	
row_12	OASL	Oasl1	494	0.03858305141329765	-0.0037862905	No	
row_13	HMGB2	Hmgb2	541	0.03413475304841995	-0.021257643	No	
row_14	CTNNBIP1	Ctnnbip1	550	0.033740099519491196	-0.017664988	No	
row_15	ELF1	Elf1	551	0.03372451290488243	-0.009621708	No	
row_16	RPS15A	Rps15a	566	0.03236118331551552	-0.009698681	No	
row_17	NR4A1	Nr4a1	596	0.029728371649980545	-0.018755473	No	
row_18	CXCR4	Cxcr4	670	0.022946752607822418	-0.053928565	No	
row_19	CD69	Cd69	846	0.0069248490035533905	-0.14971575	No	
row_20	JUNB	Junb	891	0.0035989212337881327	-0.1733563	No	
row_21	CHD1	Chd1	901	0.0032360146287828684	-0.17759565	No	
row_22	NSA2	Nsa2	908	0.0019087641267105937	-0.18048117	No	
row_23	FOS	Fos	992	-0.006176982540637255	-0.22522177	No	
row_24	CRIP1	Crip1	1038	-0.010010301135480404	-0.24789	No	
row_25	TESC	Tesc	1143	-0.019050786271691322	-0.30125284	No	
row_26	HAL	Hal	1422	-0.04712868854403496	-0.4448011	No	
row_27	FXYD5	Fxyd5	1497	-0.05839811637997627	-0.47207585	No	
row_28	KLF3	Klf3	1498	-0.05851332098245621	-0.45812047	No	
row_29	MCUB	Mcub	1538	-0.06536635756492615	-0.46424553	No	
row_30	RPL28	Rpl28	1602	-0.07890687882900238	-0.48050424	No	
row_31	TAGLN2	Tagln2	1614	-0.08094149827957153	-0.46732444	No	
row_32	ARL4C	Arl4c	1742	-0.1281190663576126	-0.5074808	Yes	
row_33	KLF2	Klf2	1745	-0.12866820394992828	-0.4779071	Yes	
row_34	RPS16	Rps16	1765	-0.14085543155670166	-0.4548922	Yes	
row_35	RPL13	Rpl13	1775	-0.1465899497270584	-0.4249417	Yes	
row_36	EEF1G	Eef1g	1797	-0.1736495941877365	-0.395219	Yes	
row_37	ITGB7	Itgb7	1827	-0.2593710124492645	-0.34950614	Yes	
row_38	RPS29	Rps29	1829	-0.2690037190914154	-0.2859057	Yes	
row_39	RPS7	Rps7	1830	-0.27901554107666016	-0.2193606	Yes	
row_40	TSC22D3	Tsc22d3	1831	-0.297811359167099	-0.14833274	Yes	
row_41	RPS8	Rps8	1832	-0.30077749490737915	-0.07659746	Yes	
row_42	RPS24	Rps24	1837	-0.3328368067741394	5.567858E-4	Yes	
