NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GZMA	Gzma	0	0.4611184000968933	0.067609854	Yes	
row_1	CCL5	Ccl5	9	0.3305954337120056	0.111615464	Yes	
row_2	XCL1	Xcl1	11	0.32624733448028564	0.15889198	Yes	
row_3	KLRD1	Klrd1	13	0.3197377026081085	0.20521404	Yes	
row_4	CCL4	Ccl4	14	0.3131081461906433	0.25112242	Yes	
row_5	KLRK1	Klrk1	18	0.2917720079421997	0.29222742	Yes	
row_6	GZMK	Gzmk	22	0.27304285764694214	0.3305863	Yes	
row_7	TBX21	Tbx21	25	0.2525368928909302	0.36649695	Yes	
row_8	FYN	Fyn	27	0.24973702430725098	0.4025554	Yes	
row_9	FASLG	Fasl	37	0.2220274657011032	0.43008426	Yes	
row_10	PLEK	Plek	44	0.21069468557834625	0.45762655	Yes	
row_11	CHSY1	Chsy1	53	0.1928045004606247	0.48142904	Yes	
row_12	CD160	Cd160	54	0.19266732037067413	0.5096782	Yes	
row_13	SLAMF7	Slamf7	56	0.18926189839839935	0.5368697	Yes	
row_14	SH2D2A	Sh2d2a	60	0.18383300304412842	0.5621486	Yes	
row_15	NKG7	Nkg7	62	0.1805972009897232	0.5880696	Yes	
row_16	C1orf21	1700025G04Rik	90	0.15592080354690552	0.5958556	Yes	
row_17	ZEB2	Zeb2	91	0.1553114354610443	0.61862755	Yes	
row_18	CST7	Cst7	92	0.15437819063663483	0.6412627	Yes	
row_19	PRF1	Prf1	102	0.14850397408008575	0.6580115	Yes	
row_20	PTPN22	Ptpn22	127	0.12953336536884308	0.6636035	Yes	
row_21	CRIM1	Crim1	197	0.0960671678185463	0.6391631	Yes	
row_22	TNFRSF9	Tnfrsf9	207	0.09325163811445236	0.64781064	Yes	
row_23	HIP1	Hip1	224	0.08687533438205719	0.65161484	Yes	
row_24	IL2RB	Il2rb	232	0.08630163967609406	0.6603601	Yes	
row_25	S1PR5	S1pr5	233	0.08624712377786636	0.67300576	Yes	
row_26	GAS7	Gas7	257	0.08010382205247879	0.67190874	Yes	
row_27	CTSW	Ctsw	289	0.06868299841880798	0.66467035	Yes	
row_28	ID2	Id2	293	0.06830493360757828	0.6730103	Yes	
row_29	PALLD	Palld	295	0.0665472000837326	0.6822092	Yes	
row_30	LAG3	Lag3	345	0.058052752166986465	0.66336197	No	
row_31	CRTAM	Crtam	370	0.054846517741680145	0.6580033	No	
row_32	YBX3	Ybx3	388	0.05217977985739708	0.6561621	No	
row_33	RUNX3	Runx3	421	0.04861773923039436	0.64542335	No	
row_34	NT5E	Nt5e	463	0.04336932301521301	0.62889	No	
row_35	MYO6	Myo6	481	0.04080059379339218	0.62538034	No	
row_36	C11orf95	2700081O15Rik	743	0.016189178451895714	0.48202538	No	
row_37	TSPAN3	Tspan3	850	0.006735782139003277	0.42382818	No	
row_38	ABCB1	Abcb1a	864	0.005316580645740032	0.4173492	No	
row_39	HLA-A	H2-D1	1040	-0.01009691134095192	0.32111883	No	
row_40	CASZ1	Casz1	1191	-0.023737149313092232	0.24084713	No	
row_41	GZMB	Gzmb	1415	-0.04660783335566521	0.1231694	No	
row_42	CACNA2D2	Cacna2d2	1493	-0.05786817520856857	0.08866137	No	
row_43	BCL7A	Bcl7a	1540	-0.06564158201217651	0.07260187	No	
row_44	HOMER1	Homer1	1638	-0.0854635089635849	0.030972967	No	
row_45	MATK	Matk	1743	-0.1281508356332779	-0.008305487	No	
row_46	CD8A	Cd8a	1815	-0.20487475395202637	-0.017909106	No	
row_47	AUTS2	Auts2	1816	-0.20592331886291504	0.012283671	No	
