NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GZMA	Gzma	0	0.4611184000968933	0.043003265	Yes	
row_1	CCR5	Ccr5	1	0.4471670091152191	0.08470544	Yes	
row_2	CCR2	Ccr2	2	0.40328532457351685	0.12231527	Yes	
row_3	JAK1	Jak1	3	0.3926728367805481	0.1589354	Yes	
row_4	SH2D1A	Sh2d1a	4	0.36161643266677856	0.19265924	Yes	
row_5	DAP	Dap	6	0.3476146161556244	0.22450587	Yes	
row_6	CCL5	Ccl5	9	0.3305954337120056	0.2541939	Yes	
row_7	TXNDC5	Txndc5	12	0.32309088110923767	0.28318205	Yes	
row_8	KLRK1	Klrk1	18	0.2917720079421997	0.30753514	Yes	
row_9	GZMK	Gzmk	22	0.27304285764694214	0.33128446	Yes	
row_10	KLRC1	Klrc1	31	0.23775310814380646	0.34888557	Yes	
row_11	DAPK2	Dapk2	34	0.22606472671031952	0.3688252	Yes	
row_12	FASLG	Fasl	37	0.2220274657011032	0.3883883	Yes	
row_13	STARD10	Stard10	39	0.2181689590215683	0.408163	Yes	
row_14	GEM	Gem	41	0.21617695689201355	0.42775196	Yes	
row_15	ACTB	Actb	45	0.2099303901195526	0.44561547	Yes	
row_16	ARHGDIB	Arhgdib	51	0.19685015082359314	0.4611163	Yes	
row_17	KLRG1	Klrg1	52	0.19422948360443115	0.47922987	Yes	
row_18	CD160	Cd160	54	0.19266732037067413	0.49662635	Yes	
row_19	SH2D2A	Sh2d2a	60	0.18383300304412842	0.5109132	Yes	
row_20	S100A10	S100a10	68	0.1760408580303192	0.5233305	Yes	
row_21	ENTPD1	Entpd1	70	0.17499710619449615	0.53907907	Yes	
row_22	PGLYRP1	Pglyrp1	72	0.173714742064476	0.55470806	Yes	
row_23	SMAP1	Smap1	84	0.16214346885681152	0.5635436	Yes	
row_24	TSPO	Tspo	93	0.15436528623104095	0.5733681	Yes	
row_25	ITGB1	Itgb1	94	0.15416833758354187	0.5877456	Yes	
row_26	PRF1	Prf1	102	0.14850397408008575	0.5975949	Yes	
row_27	RAC2	Rac2	115	0.13800020515918732	0.6036075	Yes	
row_28	TMEM37	Tmem37	118	0.13698244094848633	0.6152394	Yes	
row_29	CXCR3	Cxcr3	143	0.12085402756929398	0.61279577	Yes	
row_30	S100A6	S100a6	145	0.11988650262355804	0.6234048	Yes	
row_31	MYO1F	Myo1f	157	0.11229001730680466	0.6275911	Yes	
row_32	CDKN2C	Cdkn2c	158	0.11212210357189178	0.63804746	Yes	
row_33	ACOT7	Acot7	205	0.09376615285873413	0.6205062	Yes	
row_34	S100A4	S100a4	222	0.08781073242425919	0.6195525	Yes	
row_35	ITGA4	Itga4	223	0.08718926459550858	0.62768364	Yes	
row_36	ITGAL	Itgal	228	0.08672702312469482	0.633486	Yes	
row_37	RORA	Rora	248	0.08192775398492813	0.6302693	Yes	
row_38	CD68	Cd68	251	0.0815633162856102	0.63673294	Yes	
row_39	REEP5	Reep5	275	0.07479353249073029	0.6305652	Yes	
row_40	CARHSP1	Carhsp1	287	0.07008302211761475	0.6308153	Yes	
row_41	ID2	Id2	293	0.06830493360757828	0.63432825	Yes	
row_42	CX3CR1	Cx3cr1	311	0.06440193951129913	0.63061994	Yes	
row_43	BCL2A1	Bcl2a1d	313	0.06393156945705414	0.6360107	Yes	
row_44	ANXA6	Anxa6	315	0.06317343562841415	0.6413307	Yes	
row_45	BHLHE40	Bhlhe40	321	0.062467291951179504	0.6442992	Yes	
row_46	CRIP2	Crip2	331	0.06067097187042236	0.64481443	Yes	
row_47	CTSD	Ctsd	336	0.059114307165145874	0.64804167	Yes	
row_48	PLSCR1	Plscr1	359	0.05573289096355438	0.6406678	No	
row_49	BATF	Batf	369	0.054976917803287506	0.640652	No	
row_50	YBX3	Ybx3	388	0.05217977985739708	0.6352325	No	
row_51	IL10RA	Il10ra	406	0.050372350960969925	0.6302159	No	
row_52	ADAM19	Adam19	419	0.04897721856832504	0.6279263	No	
row_53	DOCK5	Dock5	478	0.041090842336416245	0.5986155	No	
row_54	SNX10	Snx10	523	0.035809338092803955	0.5768122	No	
row_55	PTTG1	Pttg1	524	0.03578563407063484	0.5801495	No	
row_56	PCYT1A	Pcyt1a	531	0.03516592085361481	0.58000046	No	
row_57	ANXA2	Anxa2	532	0.03515954315662384	0.5832794	No	
row_58	HMGB2	Hmgb2	541	0.03413475304841995	0.5818913	No	
row_59	CASP4	Casp4	590	0.030111396685242653	0.5572709	No	
row_60	XDH	Xdh	608	0.028334135189652443	0.55019903	No	
row_61	CASP1	Casp1	734	0.016676345840096474	0.48032564	No	
row_62	PTPN13	Ptpn13	737	0.01658926159143448	0.48072988	No	
row_63	IFITM10	Ifitm10	739	0.01639503613114357	0.48168743	No	
row_64	HOPX	Hopx	792	0.012139508500695229	0.45310527	No	
row_65	IL18RAP	Il18rap	831	0.008386083878576756	0.43217304	No	
row_66	CTLA4	Ctla4	833	0.008305998519062996	0.43237624	No	
row_67	RACGAP1	Racgap1	862	0.005435505881905556	0.41688314	No	
row_68	GABARAPL1	Gabarapl1	876	0.004296907223761082	0.40985528	No	
row_69	CD48	Cd48	1000	-0.006915904115885496	0.34021455	No	
row_70	HLA-A	H2-D1	1040	-0.01009691134095192	0.31887046	No	
row_71	SNTB2	Sntb2	1071	-0.012522861361503601	0.30289546	No	
