NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGHM	Ighm	77	0.17088627815246582	-0.010909519	No	
row_1	MPP1	Mpp1	83	0.162663534283638	0.01724705	No	
row_2	NSG2	Nsg2	163	0.11042115092277527	-0.006306338	No	
row_3	ITPKB	Itpkb	171	0.10462065041065216	0.009667662	No	
row_4	ABCG1	Abcg1	269	0.07588908076286316	-0.030620152	No	
row_5	IL6ST	Il6st	316	0.06314880400896072	-0.04455323	No	
row_6	CD7	Cd7	340	0.058466337621212006	-0.04639837	No	
row_7	AKAP9	Akap9	400	0.05115177482366562	-0.069952555	No	
row_8	SELL	Sell	455	0.044830337166786194	-0.09188894	No	
row_9	DDC	Ddc	473	0.04176510125398636	-0.093528725	No	
row_10	SATB1	Satb1	476	0.04115480184555054	-0.08681972	No	
row_11	ABLIM1	Ablim1	487	0.04016653820872307	-0.0848136	No	
row_12	DUSP6	Dusp6	498	0.03804757818579674	-0.08321102	No	
row_13	RFLNB	Rflnb	504	0.03745109587907791	-0.07890037	No	
row_14	AMPD3	Ampd3	581	0.031074335798621178	-0.11587185	No	
row_15	CD2AP	Cd2ap	586	0.030750790610909462	-0.112272896	No	
row_16	USP34	Usp34	592	0.029985647648572922	-0.109383985	No	
row_17	RGS10	Rgs10	634	0.02599647082388401	-0.12757082	No	
row_18	MYC	Myc	701	0.019008904695510864	-0.16119675	No	
row_19	RETREG1	Retreg1	703	0.01877341791987419	-0.15818581	No	
row_20	MTF2	Mtf2	708	0.01852201670408249	-0.15691574	No	
row_21	ITGAE	Itgae	725	0.017055543139576912	-0.16269697	No	
row_22	TLR6	Tlr6	767	0.014022589661180973	-0.18316415	No	
row_23	IGF1R	Igf1r	854	0.006291394121944904	-0.23049873	No	
row_24	SPSB1	Spsb1	902	0.0031922284979373217	-0.2564145	No	
row_25	MAP1S	Map1s	931	-6.343177665257826E-5	-0.27220377	No	
row_26	IL4R	Il4ra	1024	-0.008470012806355953	-0.32250944	No	
row_27	ZNF638	Zfp638	1103	-0.015059778466820717	-0.36365947	No	
row_28	KMT2A	Kmt2a	1147	-0.019529033452272415	-0.38420665	No	
row_29	TEC	Tec	1161	-0.021123753860592842	-0.3875201	No	
row_30	HLA-DOB	H2-Ob	1163	-0.021187281236052513	-0.38404945	No	
row_31	EPHX1	Ephx1	1195	-0.02385491505265236	-0.3970008	No	
row_32	ZBTB20	Zbtb20	1199	-0.024362092837691307	-0.3940542	No	
row_33	IL7R	Il7r	1213	-0.02552042528986931	-0.39653033	No	
row_34	CXXC5	Cxxc5	1244	-0.028477413579821587	-0.408037	No	
row_35	SMAD7	Smad7	1277	-0.0325915664434433	-0.41988885	No	
row_36	GSN	Gsn	1279	-0.03267093002796173	-0.4142312	No	
row_37	SSBP2	Ssbp2	1305	-0.034545622766017914	-0.42176056	No	
row_38	TTC3	Ttc3	1409	-0.04599004238843918	-0.47112846	No	
row_39	TCF7	Tcf7	1477	-0.054738715291023254	-0.4985142	No	
row_40	PCM1	Pcm1	1506	-0.05966943874955177	-0.5029519	No	
row_41	CRLF3	Crlf3	1555	-0.06819430738687515	-0.51705277	No	
row_42	SFXN2	Sfxn2	1606	-0.07954805344343185	-0.5301201	Yes	
row_43	ACTN1	Actn1	1610	-0.08065683394670486	-0.5164525	Yes	
row_44	MBTD1	Mbtd1	1617	-0.08128015697002411	-0.5043592	Yes	
row_45	DGKA	Dgka	1656	-0.09016672521829605	-0.5086322	Yes	
row_46	VPS37B	Vps37b	1657	-0.09038645774126053	-0.49141866	Yes	
row_47	RALGPS2	Ralgps2	1659	-0.09058625251054764	-0.47473142	Yes	
row_48	GNL3	Gnl3	1671	-0.09450379014015198	-0.46294147	Yes	
row_49	PELI1	Peli1	1672	-0.09474077820777893	-0.44489866	Yes	
row_50	GADD45A	Gadd45a	1673	-0.09495329111814499	-0.42681542	Yes	
row_51	NNT	Nnt	1681	-0.09671951085329056	-0.41234615	Yes	
row_52	MYCBP2	Mycbp2	1694	-0.10230369865894318	-0.39963508	Yes	
row_53	NOLC1	Nolc1	1718	-0.11386838555335999	-0.39092925	Yes	
row_54	CCND2	Ccnd2	1724	-0.11761680990457535	-0.37135154	Yes	
row_55	RAB3IP	Rab3ip	1728	-0.11837687343358994	-0.3505004	Yes	
row_56	DTX1	Dtx1	1730	-0.11871276795864105	-0.32845664	Yes	
row_57	PTOV1	Ptov1	1741	-0.127680242061615	-0.3097841	Yes	
row_58	CCR9	Ccr9	1754	-0.13221673667430878	-0.29137626	Yes	
row_59	NOP56	Nop56	1790	-0.1666279286146164	-0.27939472	Yes	
row_60	TDRP	Tdrp	1804	-0.18521088361740112	-0.25145882	Yes	
row_61	IL6R	Il6ra	1805	-0.188990980386734	-0.21546671	Yes	
row_62	RGCC	Rgcc	1807	-0.19156163930892944	-0.17954934	Yes	
row_63	HSPE1	Hspe1	1811	-0.19718998670578003	-0.14368875	Yes	
row_64	CCR7	Ccr7	1818	-0.2090611755847931	-0.10726039	Yes	
row_65	RAMP1	Ramp1	1833	-0.30592402815818787	-0.056899775	Yes	
row_66	RPS19	Rps19	1834	-0.3106273114681244	0.0022572237	Yes	
