NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.19756470620632172	0.0042345957	No	
row_1	CD5	Cd5	79	0.1689346432685852	0.016195986	No	
row_2	MPP1	Mpp1	83	0.162663534283638	0.041258067	No	
row_3	NSG2	Nsg2	163	0.11042115092277527	0.01476421	No	
row_4	ITPKB	Itpkb	171	0.10462065041065216	0.02801714	No	
row_5	IL6ST	Il6st	316	0.06314880400896072	-0.042996883	No	
row_6	CD7	Cd7	340	0.058466337621212006	-0.046380937	No	
row_7	AKAP9	Akap9	400	0.05115177482366562	-0.07131871	No	
row_8	SELL	Sell	455	0.044830337166786194	-0.0944699	No	
row_9	DDC	Ddc	473	0.04176510125398636	-0.097209536	No	
row_10	SATB1	Satb1	476	0.04115480184555054	-0.091570206	No	
row_11	ABLIM1	Ablim1	487	0.04016653820872307	-0.09061577	No	
row_12	RFLNB	Rflnb	504	0.03745109587907791	-0.09349977	No	
row_13	AMPD3	Ampd3	581	0.031074335798621178	-0.1313502	No	
row_14	RGS10	Rgs10	634	0.02599647082388401	-0.15646896	No	
row_15	RETREG1	Retreg1	703	0.01877341791987419	-0.19182055	No	
row_16	ITGAE	Itgae	725	0.017055543139576912	-0.20088606	No	
row_17	RPSA	Rpsa	761	0.014469331130385399	-0.21829106	No	
row_18	TLR6	Tlr6	767	0.014022589661180973	-0.21881081	No	
row_19	PPIC	Ppic	807	0.010532309301197529	-0.23912461	No	
row_20	NAB2	Nab2	853	0.0063902828842401505	-0.2635115	No	
row_21	DAG1	Dag1	855	0.006251957267522812	-0.26304838	No	
row_22	SPSB1	Spsb1	902	0.0031922284979373217	-0.28852665	No	
row_23	EXT1	Ext1	920	6.33992487564683E-4	-0.2980323	No	
row_24	CD46	Cd46	974	-0.005081998649984598	-0.32715675	No	
row_25	MPHOSPH9	Mphosph9	1013	-0.007827856577932835	-0.34735015	No	
row_26	IL4R	Il4ra	1024	-0.008470012806355953	-0.35160974	No	
row_27	CSAD	Csad	1058	-0.011432700790464878	-0.3683837	No	
row_28	GBP2	Gbp2	1106	-0.015356960706412792	-0.39242616	No	
row_29	TEC	Tec	1161	-0.021123753860592842	-0.41947708	No	
row_30	EPHX1	Ephx1	1195	-0.02385491505265236	-0.43420756	No	
row_31	SMC4	Smc4	1241	-0.02801404520869255	-0.4550374	No	
row_32	CXXC5	Cxxc5	1244	-0.028477413579821587	-0.4514835	No	
row_33	SMAD7	Smad7	1277	-0.0325915664434433	-0.46421152	No	
row_34	GSN	Gsn	1279	-0.03267093002796173	-0.45940247	No	
row_35	SSBP2	Ssbp2	1305	-0.034545622766017914	-0.46785206	No	
row_36	GGT5	Ggt5	1339	-0.03868906944990158	-0.48014235	No	
row_37	TTC3	Ttc3	1409	-0.04599004238843918	-0.51158214	No	
row_38	PSME1	Psme1	1450	-0.051423683762550354	-0.52573466	No	
row_39	PATJ	Patj	1516	-0.06179115176200867	-0.552314	No	
row_40	CRLF3	Crlf3	1555	-0.06819430738687515	-0.5625772	No	
row_41	ACTN1	Actn1	1610	-0.08065683394670486	-0.57983494	Yes	
row_42	DDX21	Ddx21	1611	-0.08068758249282837	-0.56656194	Yes	
row_43	MBTD1	Mbtd1	1617	-0.08128015697002411	-0.55601794	Yes	
row_44	DGKA	Dgka	1656	-0.09016672521829605	-0.56266665	Yes	
row_45	VPS37B	Vps37b	1657	-0.09038645774126053	-0.5477982	Yes	
row_46	WLS	Wls	1662	-0.09150391072034836	-0.5350071	Yes	
row_47	KLK8	Klk8	1666	-0.09334781765937805	-0.52134734	Yes	
row_48	PELI1	Peli1	1672	-0.09474077820777893	-0.5085891	Yes	
row_49	PSMB10	Psmb10	1692	-0.10207001119852066	-0.5025392	Yes	
row_50	EMB	Emb	1700	-0.10641752183437347	-0.4889907	Yes	
row_51	SPTBN1	Sptbn1	1702	-0.10702717304229736	-0.47195014	Yes	
row_52	RAB3IP	Rab3ip	1728	-0.11837687343358994	-0.46660957	Yes	
row_53	LDLR	Ldlr	1731	-0.11876567453145981	-0.44820336	Yes	
row_54	TIMELESS	Timeless	1737	-0.12425201386213303	-0.4305905	Yes	
row_55	PTOV1	Ptov1	1741	-0.127680242061615	-0.41128314	Yes	
row_56	CCR9	Ccr9	1754	-0.13221673667430878	-0.39631712	Yes	
row_57	LEF1	Lef1	1755	-0.13259172439575195	-0.37450597	Yes	
row_58	SH3BP5	Sh3bp5	1776	-0.14758211374282837	-0.3615347	Yes	
row_59	SRM	Srm	1782	-0.15573067963123322	-0.33874366	Yes	
row_60	RPS2	Rps2	1802	-0.1830982267856598	-0.31936476	Yes	
row_61	TDRP	Tdrp	1804	-0.18521088361740112	-0.28946307	Yes	
row_62	IL6R	Il6ra	1805	-0.188990980386734	-0.2583743	Yes	
row_63	RGCC	Rgcc	1807	-0.19156163930892944	-0.22742793	Yes	
row_64	CD8A	Cd8a	1815	-0.20487475395202637	-0.19768332	Yes	
row_65	CCR7	Ccr7	1818	-0.2090611755847931	-0.1644236	Yes	
row_66	NPC2	Npc2	1821	-0.2195434719324112	-0.12943955	Yes	
row_67	TUBB	Tubb5	1824	-0.2282804697751999	-0.09301826	Yes	
row_68	RPS8	Rps8	1832	-0.30077749490737915	-0.04749777	Yes	
row_69	RAMP1	Ramp1	1833	-0.30592402815818787	0.0028263582	Yes	
