NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	Details ...	96	0.718477	2.802166	0.0	0.0	0.0	205	tags=47%, list=11%, signal=50%	
GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN	GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_DN	Details ...	77	0.73386955	2.7955623	0.0	0.0	0.0	121	tags=42%, list=7%, signal=43%	
GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	Details ...	82	0.68605274	2.7443206	0.0	0.0	0.0	399	tags=62%, list=22%, signal=76%	
GSE7764_NKCELL_VS_SPLENOCYTE_UP	GSE7764_NKCELL_VS_SPLENOCYTE_UP	Details ...	63	0.6873589	2.721363	0.0	0.0	0.0	238	tags=46%, list=13%, signal=51%	
GSE3920_IFNA_VS_IFNG_TREATED_FIBROBLAST_UP	GSE3920_IFNA_VS_IFNG_TREATED_FIBROBLAST_UP	Details ...	67	0.6888496	2.6190238	0.0	0.0	0.0	336	tags=52%, list=18%, signal=62%	
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP	GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP	Details ...	60	0.6486456	2.5712352	0.0	0.0	0.0	251	tags=35%, list=14%, signal=39%	
GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN	GSE7509_UNSTIM_VS_FCGRIIB_STIM_DC_DN	Details ...	74	0.61305547	2.5684214	0.0	0.0	0.0	129	tags=32%, list=7%, signal=33%	
GSE20715_0H_VS_48H_OZONE_LUNG_UP	GSE20715_0H_VS_48H_OZONE_LUNG_UP	Details ...	34	0.7191839	2.5660431	0.0	0.0	0.0	174	tags=41%, list=9%, signal=45%	
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP	GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_UP	Details ...	100	0.6165068	2.5606587	0.0	0.0	0.0	343	tags=48%, list=19%, signal=56%	
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_DN	GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_DN	Details ...	79	0.6589269	2.5515773	0.0	0.0	0.0	301	tags=48%, list=16%, signal=55%	
GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_DN	GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_DN	Details ...	100	0.6334613	2.5451245	0.0	0.0	0.0	167	tags=38%, list=9%, signal=40%	
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN	KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN	Details ...	94	0.65652394	2.543616	0.0	0.0	0.0	157	tags=34%, list=9%, signal=35%	
GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_UP	GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_UP	Details ...	34	0.7053032	2.5407503	0.0	0.0	0.0	129	tags=35%, list=7%, signal=37%	
GSE13946_CTRL_VS_DSS_COLITIS_GD_TCELL_FROM_COLON_UP	GSE13946_CTRL_VS_DSS_COLITIS_GD_TCELL_FROM_COLON_UP	Details ...	74	0.645227	2.5236254	0.0	0.0	0.0	287	tags=45%, list=16%, signal=51%	
GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP	GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP	Details ...	59	0.63842106	2.5148869	0.0	0.0	0.0	336	tags=49%, list=18%, signal=58%	
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_IL2_CULTURE_UP	GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_IL2_CULTURE_UP	Details ...	73	0.6210992	2.5144837	0.0	0.0	0.0	417	tags=56%, list=23%, signal=70%	
GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_DN	GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_DN	Details ...	48	0.6822092	2.5102134	0.0	0.0	0.0	295	tags=63%, list=16%, signal=72%	
GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_UP	GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_UP	Details ...	95	0.58558494	2.5061555	0.0	0.0	0.0	248	tags=37%, list=13%, signal=40%	
GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN	GSE9650_NAIVE_VS_EFF_CD8_TCELL_DN	Details ...	89	0.64804167	2.502946	0.0	0.0	0.0	336	tags=54%, list=18%, signal=63%	
GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP	GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP	Details ...	60	0.62925166	2.4836764	0.0	0.0	0.0	232	tags=42%, list=13%, signal=46%	
GSE27786_CD4_TCELL_VS_NKTCELL_DN	GSE27786_CD4_TCELL_VS_NKTCELL_DN		34	0.7102132	2.4759839	0.0	0.0	0.0	128	tags=44%, list=7%, signal=47%	
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP		42	0.66260415	2.4718192	0.0	0.0	0.0	263	tags=38%, list=14%, signal=43%	
GSE30083_SP2_VS_SP3_THYMOCYTE_UP	GSE30083_SP2_VS_SP3_THYMOCYTE_UP		36	0.63780963	2.4607255	0.0	0.0	0.0	288	tags=36%, list=16%, signal=42%	
GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_DN	GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_DN		63	0.6221107	2.4505365	0.0	0.0	0.0	336	tags=49%, list=18%, signal=58%	
GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP		52	0.6381054	2.441856	0.0	0.0	0.0	206	tags=33%, list=11%, signal=36%	
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN	GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN		48	0.6806877	2.4329264	0.0	0.0	0.0	340	tags=48%, list=18%, signal=57%	
GSE4535_BM_DERIVED_DC_VS_FOLLICULAR_DC_UP	GSE4535_BM_DERIVED_DC_VS_FOLLICULAR_DC_UP		70	0.6160953	2.432649	0.0	0.0	0.0	388	tags=47%, list=21%, signal=57%	
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN		83	0.6489674	2.4226887	0.0	0.0	0.0	333	tags=47%, list=18%, signal=55%	
GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_DN	GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_DN		46	0.63786006	2.4191146	0.0	0.0	0.0	209	tags=37%, list=11%, signal=41%	
GSE7852_TREG_VS_TCONV_THYMUS_UP	GSE7852_TREG_VS_TCONV_THYMUS_UP		71	0.57671523	2.4157302	0.0	0.0	0.0	230	tags=32%, list=13%, signal=36%	
GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP	GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP		81	0.60320646	2.414256	0.0	0.0	0.0	321	tags=47%, list=17%, signal=54%	
GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_UP	GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_UP		49	0.6346343	2.408765	0.0	0.0	0.0	143	tags=33%, list=8%, signal=34%	
GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_UP	GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_UP		69	0.62983304	2.4007678	0.0	0.0	0.0	343	tags=46%, list=19%, signal=55%	
GSE27786_CD4_TCELL_VS_NKCELL_DN	GSE27786_CD4_TCELL_VS_NKCELL_DN		36	0.635189	2.397546	0.0	0.0	0.0	138	tags=33%, list=8%, signal=35%	
GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_WT_CD4_TCELL_DN	GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_WT_CD4_TCELL_DN		63	0.6634551	2.3934062	0.0	4.6504382E-4	0.01	232	tags=48%, list=13%, signal=53%	
GSE3720_LPS_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_UP	GSE3720_LPS_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_UP		33	0.66277915	2.3915195	0.0	4.5212594E-4	0.01	374	tags=48%, list=20%, signal=60%	
GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP	GSE7460_CD8_TCELL_VS_CD4_TCELL_ACT_UP		80	0.5827086	2.3882558	0.0	4.3990632E-4	0.01	228	tags=36%, list=12%, signal=40%	
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_6H_UP	GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_6H_UP		40	0.65087056	2.3842556	0.0	4.2832986E-4	0.01	263	tags=35%, list=14%, signal=40%	
GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_DN	GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_DN		40	0.6466458	2.379281	0.0	4.1734704E-4	0.01	368	tags=48%, list=20%, signal=58%	
GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN	GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGG_BCELL_DN		75	0.5506875	2.3778505	0.0	4.0691337E-4	0.01	237	tags=39%, list=13%, signal=43%	
GSE10325_CD4_TCELL_VS_BCELL_UP	GSE10325_CD4_TCELL_VS_BCELL_UP		75	0.5749552	2.3699937	0.0	6.9836114E-4	0.02	248	tags=33%, list=13%, signal=37%	
GSE7460_TCONV_VS_TREG_THYMUS_DN	GSE7460_TCONV_VS_TREG_THYMUS_DN		69	0.5628322	2.3691628	0.0	6.817335E-4	0.02	232	tags=38%, list=13%, signal=42%	
GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP		77	0.5811146	2.35221	0.0	6.658792E-4	0.02	343	tags=43%, list=19%, signal=50%	
GSE13547_2H_VS_12_H_ANTI_IGM_STIM_ZFX_KO_BCELL_UP	GSE13547_2H_VS_12_H_ANTI_IGM_STIM_ZFX_KO_BCELL_UP		74	0.5363195	2.3430417	0.0	6.507456E-4	0.02	425	tags=47%, list=23%, signal=59%	
