NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	1	0.4471670091152191	0.2260133	Yes	
row_1	SMAP1	Smap1	84	0.16214346885681152	0.262962	Yes	
row_2	ARAP2	Arap2	99	0.14956453442573547	0.3310236	Yes	
row_3	ASAP1	Asap1	156	0.11320144683122635	0.35750797	Yes	
row_4	ARRB2	Arrb2	219	0.08871075510978699	0.36827615	Yes	
row_5	IL2RB	Il2rb	232	0.08630163967609406	0.40538707	Yes	
row_6	EEA1	Eea1	297	0.06621182709932327	0.40365326	Yes	
row_7	CBL	Cbl	323	0.06229217350482941	0.4214329	Yes	
row_8	NEDD4	Nedd4	362	0.05563618987798691	0.4286737	Yes	
row_9	GIT2	Git2	435	0.04691772907972336	0.4127541	No	
row_10	EHD3	Ehd3	450	0.04574820399284363	0.4282154	No	
row_11	GRK5	Grk5	610	0.028230758383870125	0.3548674	No	
row_12	CXCR4	Cxcr4	670	0.022946752607822418	0.33396894	No	
row_13	SMAP2	Smap2	721	0.01736621744930744	0.3152044	No	
row_14	ERBB3	Erbb3	760	0.014629527926445007	0.30166852	No	
row_15	RAB11FIP2	Rab11fip2	789	0.012510842643678188	0.29257184	No	
row_16	IGF1R	Igf1r	854	0.006291394121944904	0.26047835	No	
row_17	GRK4	Grk4	984	-0.005654363427311182	0.19222966	No	
row_18	HLA-A	H2-D1	1040	-0.01009691134095192	0.16702569	No	
row_19	EHD4	Ehd4	1400	-0.04524628072977066	-0.00795472	No	
row_20	EGF	Egf	1465	-0.0535464882850647	-0.016105654	No	
row_21	VPS37B	Vps37b	1657	-0.09038645774126053	-0.07560203	No	
row_22	HLA-E	H2-T23	1676	-0.09557116031646729	-0.037102148	No	
row_23	LDLR	Ldlr	1731	-0.11876567453145981	-0.0066960216	No	
row_24	HSPA8	Hspa8	1744	-0.12854667007923126	0.051819064	No	
