NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	19	0.2894119322299957	0.08253876	Yes	
row_1	FYN	Fyn	27	0.24973702430725098	0.15896474	Yes	
row_2	ACTB	Actb	45	0.2099303901195526	0.21705393	Yes	
row_3	ZYX	Zyx	66	0.17792844772338867	0.26319194	Yes	
row_4	ITGB1	Itgb1	94	0.15416833758354187	0.29781398	Yes	
row_5	RAC2	Rac2	115	0.13800020515918732	0.3311132	Yes	
row_6	COL6A3	Col6a3	173	0.10375795513391495	0.33291468	Yes	
row_7	ITGA4	Itga4	223	0.08718926459550858	0.33381826	Yes	
row_8	TLN1	Tln1	225	0.08683028072118759	0.36118448	Yes	
row_9	PPP1R12A	Ppp1r12a	271	0.0757846012711525	0.36063576	Yes	
row_10	ROCK1	Rock1	329	0.06133991479873657	0.34879792	Yes	
row_11	MYLPF	Mylpf	338	0.05866007134318352	0.36323014	Yes	
row_12	BRAF	Braf	350	0.056777507066726685	0.37539592	Yes	
row_13	ITGA2	Itga2	468	0.0428965762257576	0.32440507	No	
row_14	ARHGAP5	Arhgap5	511	0.03719310835003853	0.31310856	No	
row_15	GSK3B	Gsk3b	711	0.018017420545220375	0.20871374	No	
row_16	PIK3R5	Pik3r5	834	0.008176648989319801	0.1437903	No	
row_17	IGF1R	Igf1r	854	0.006291394121944904	0.13529278	No	
row_18	FLNA	Flna	986	-0.005943802651017904	0.064668	No	
row_19	CCND3	Ccnd3	1079	-0.01310864556580782	0.017941728	No	
row_20	PIK3CA	Pik3ca	1286	-0.033145055174827576	-0.08546484	No	
row_21	ROCK2	Rock2	1289	-0.03350412845611572	-0.075799145	No	
row_22	JUN	Jun	1322	-0.0368800051510334	-0.08165924	No	
row_23	EGF	Egf	1465	-0.0535464882850647	-0.14306839	No	
row_24	PRKCA	Prkca	1513	-0.06140999495983124	-0.1493466	No	
row_25	ITGA6	Itga6	1526	-0.06312344968318939	-0.13569403	No	
row_26	ITGA1	Itga1	1591	-0.0763220340013504	-0.14659043	No	
row_27	ACTN1	Actn1	1610	-0.08065683394670486	-0.13062231	No	
row_28	MAPK8	Mapk8	1660	-0.09080711007118225	-0.12855543	No	
row_29	CCND2	Ccnd2	1724	-0.11761680990457535	-0.12561995	No	
row_30	ACTN2	Actn2	1779	-0.15296222269535065	-0.10633588	No	
row_31	BCL2	Bcl2	1794	-0.16948607563972473	-0.05959025	No	
row_32	ITGB7	Itgb7	1827	-0.2593710124492645	0.006090748	No	
