NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK1	Jak1	3	0.3926728367805481	0.23738879	Yes	
row_1	ITGB1	Itgb1	94	0.15416833758354187	0.28184083	Yes	
row_2	PTPN6	Ptpn6	128	0.12868139147758484	0.3420623	Yes	
row_3	IFNGR1	Ifngr1	129	0.1280994564294815	0.42004144	Yes	
row_4	TGFB1	Tgfb1	149	0.11686088144779205	0.48075116	Yes	
row_5	ITGA4	Itga4	223	0.08718926459550858	0.4937608	Yes	
row_6	NFKBIA	Nfkbia	259	0.07994456589221954	0.52321655	Yes	
row_7	NCF2	Ncf2	671	0.022898497059941292	0.31157947	No	
row_8	NCF1	Ncf1	712	0.01801341399550438	0.30059102	No	
row_9	FOS	Fos	992	-0.006176982540637255	0.15122277	No	
row_10	HLA-DOB	H2-Ob	1163	-0.021187281236052513	0.070816234	No	
row_11	JUN	Jun	1322	-0.0368800051510334	0.006548641	No	
row_12	STAT1	Stat1	1425	-0.04746893420815468	-0.020537596	No	
row_13	ITGB2	Itgb2	1433	-0.04842843487858772	0.005100757	No	
row_14	CYBA	Cyba	1473	-0.05428047850728035	0.01673836	No	
row_15	TNF	Tnf	1690	-0.09996147453784943	-0.040962216	No	
row_16	IFNGR2	Ifngr2	1812	-0.19982744753360748	0.014270045	No	
