NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM3	Calm2	16	0.29841315746307373	0.18719134	Yes	
row_1	FASLG	Fasl	37	0.2220274657011032	0.32201865	Yes	
row_2	ARHGDIB	Arhgdib	51	0.19685015082359314	0.44415694	Yes	
row_3	NFKBIA	Nfkbia	259	0.07994456589221954	0.3829242	No	
row_4	BRAF	Braf	350	0.056777507066726685	0.3707622	No	
row_5	RPS6KA5	Rps6ka5	351	0.05677341669797897	0.4080481	No	
row_6	KRAS	Kras	470	0.04203089699149132	0.37081668	No	
row_7	GSK3B	Gsk3b	711	0.018017420545220375	0.25078148	No	
row_8	PIK3R5	Pik3r5	834	0.008176648989319801	0.1891185	No	
row_9	IRAK2	Irak2	950	-0.0021281877998262644	0.12732936	No	
row_10	MAP3K5	Map3k5	1132	-0.018019720911979675	0.03971325	No	
row_11	PIK3CA	Pik3ca	1286	-0.033145055174827576	-0.022584705	No	
row_12	IRS2	Irs2	1310	-0.03546030446887016	-0.011933548	No	
row_13	NTRK3	Ntrk3	1311	-0.03577588498592377	0.01156223	No	
row_14	JUN	Jun	1322	-0.0368800051510334	0.030288633	No	
row_15	CALM1	Calm1	1365	-0.041874583810567856	0.0347128	No	
row_16	CAMK2D	Camk2d	1608	-0.08006354421377182	-0.045672584	No	
row_17	MAPK8	Mapk8	1660	-0.09080711007118225	-0.014057086	No	
row_18	BCL2	Bcl2	1794	-0.16948607563972473	0.024175799	No	
