NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAS	Fas	168	0.10734887421131134	0.007350967	No	
row_1	SHISA5	Shisa5	237	0.08540951460599899	0.049219944	No	
row_2	ATR	Atr	379	0.05325276777148247	0.021237418	No	
row_3	PMAIP1	Pmaip1	602	0.02917672134935856	-0.07349459	No	
row_4	CD82	Cd82	744	0.01613028161227703	-0.13588771	No	
row_5	CCND3	Ccnd3	1079	-0.01310864556580782	-0.30695117	No	
row_6	GADD45B	Gadd45b	1099	-0.014796693809330463	-0.3036578	No	
row_7	CASP3	Casp3	1137	-0.018646810203790665	-0.3066694	No	
row_8	GADD45G	Gadd45g	1177	-0.022787099704146385	-0.30694026	No	
row_9	BBC3	Bbc3	1445	-0.04980744794011116	-0.40723327	Yes	
row_10	CDK6	Cdk6	1458	-0.05264914408326149	-0.36501282	Yes	
row_11	RRM2	Rrm2	1620	-0.08208263665437698	-0.3772425	Yes	
row_12	GADD45A	Gadd45a	1673	-0.09495329111814499	-0.31775022	Yes	
row_13	CCND2	Ccnd2	1724	-0.11761680990457535	-0.23615293	Yes	
row_14	CCNB1	Ccnb1	1770	-0.1437644362449646	-0.12757546	Yes	
row_15	CDK1	Cdk1	1798	-0.17727868258953094	0.021941802	Yes	
