NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM3	Calm2	16	0.29841315746307373	0.15204693	Yes	
row_1	MYL6	Myl6	24	0.25591805577278137	0.28613093	Yes	
row_2	GNAS	Gnas	33	0.22650864720344543	0.403816	Yes	
row_3	PRKCH	Prkch	121	0.13528020679950714	0.428975	Yes	
row_4	PPP1R12A	Ppp1r12a	271	0.0757846012711525	0.38804048	No	
row_5	ROCK1	Rock1	329	0.06133991479873657	0.38981506	No	
row_6	BRAF	Braf	350	0.056777507066726685	0.40943813	No	
row_7	ARHGEF12	Arhgef12	571	0.032051410526037216	0.30596566	No	
row_8	PPP1R12B	Ppp1r12b	740	0.016380522400140762	0.2225875	No	
row_9	ROCK2	Rock2	1289	-0.03350412845611572	-0.060123984	No	
row_10	GNAQ	Gnaq	1346	-0.039713986217975616	-0.06945576	No	
row_11	CALM1	Calm1	1365	-0.041874583810567856	-0.056766883	No	
row_12	ARHGEF11	Arhgef11	1416	-0.046696145087480545	-0.05904257	No	
row_13	PRKCA	Prkca	1513	-0.06140999495983124	-0.07863527	No	
row_14	ITPR2	Itpr2	1624	-0.08238723874092102	-0.094606236	No	
row_15	CALCRL	Calcrl	1639	-0.08551032841205597	-0.056204677	No	
row_16	RAMP1	Ramp1	1833	-0.30592402815818787	0.0027442165	No	
