NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	40	0.5701604	2.0858192	0.0	0.041249998	0.02	253	tags=45%, list=14%, signal=51%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	Details ...	34	0.5994807	2.0729983	0.0	0.020624999	0.02	259	tags=38%, list=14%, signal=44%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	35	0.5677996	1.9449338	0.0	0.036634613	0.05	168	tags=34%, list=9%, signal=37%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	Details ...	37	0.46886972	1.7022649	0.018518519	0.08524395	0.17	378	tags=49%, list=21%, signal=60%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	17	0.53158635	1.6978879	0.03773585	0.068195164	0.17	259	tags=29%, list=14%, signal=34%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	Details ...	18	0.5740697	1.6774112	0.018867925	0.06975133	0.21	115	tags=28%, list=6%, signal=29%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	17	0.52321655	1.6353006	0.023809524	0.07507906	0.24	259	tags=41%, list=14%, signal=47%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	17	0.5567538	1.6158953	0.025641026	0.07673896	0.29	259	tags=35%, list=14%, signal=41%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	16	0.57314533	1.5571922	0.022727273	0.094111055	0.42	171	tags=31%, list=9%, signal=34%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	16	0.49961853	1.5168058	0.0	0.099164	0.48	223	tags=44%, list=12%, signal=49%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	Details ...	19	0.48336482	1.5165392	0.01754386	0.09014909	0.48	571	tags=53%, list=31%, signal=76%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Details ...	28	0.41563353	1.5001746	0.020833334	0.09014552	0.5	228	tags=25%, list=12%, signal=28%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	Details ...	17	0.4798248	1.4820379	0.1	0.096524954	0.56	149	tags=18%, list=8%, signal=19%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Details ...	19	0.44415694	1.4245757	0.13043478	0.1344479	0.72	51	tags=16%, list=3%, signal=16%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	25	0.4286737	1.380688	0.039215688	0.16164954	0.77	362	tags=36%, list=20%, signal=44%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	Details ...	33	0.37539592	1.3174298	0.09090909	0.20270802	0.85	350	tags=39%, list=19%, signal=48%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Details ...	17	0.428975	1.280642	0.15555556	0.23127507	0.89	121	tags=24%, list=7%, signal=25%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	Details ...	16	0.42451438	1.2767082	0.125	0.22293293	0.9	223	tags=38%, list=12%, signal=42%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION	Details ...	15	0.4520448	1.2578909	0.18367347	0.22724721	0.91	121	tags=20%, list=7%, signal=21%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	Details ...	17	0.4013805	1.1925997	0.20833333	0.2754308	0.94	140	tags=35%, list=8%, signal=38%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		56	0.2711227	1.1327	0.15555556	0.3366167	0.99	270	tags=20%, list=15%, signal=22%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY		44	0.28811908	1.047385	0.38636363	0.44625294	0.99	470	tags=39%, list=26%, signal=51%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY		28	0.29772368	1.0302104	0.40816328	0.45629004	0.99	323	tags=29%, list=18%, signal=34%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		30	0.29435852	0.97825366	0.42222223	0.52656364	1.0	236	tags=23%, list=13%, signal=26%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		17	0.3122613	0.9250137	0.6	0.5933596	1.0	94	tags=18%, list=5%, signal=18%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		28	0.26644504	0.9046594	0.675	0.60817677	1.0	128	tags=14%, list=7%, signal=15%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS		15	0.26623547	0.78570575	0.6764706	0.7733851	1.0	259	tags=20%, list=14%, signal=23%	
