NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS12	Rps12	117	0.13742126524448395	-0.026649864	No	
row_1	RPS11	Rps11	304	0.06530115008354187	-0.11112132	No	
row_2	RPS15A	Rps15a	566	0.03236118331551552	-0.24594761	No	
row_3	PABPC1	Pabpc1	622	0.027006709948182106	-0.26880974	No	
row_4	RPSA	Rpsa	761	0.014469331130385399	-0.34082326	No	
row_5	EIF4A2	Eif4a2	872	0.004644416272640228	-0.4001192	No	
row_6	EIF3A	Eif3a	1159	-0.021003196015954018	-0.55183434	No	
row_7	RPS26	Rps26	1232	-0.027399428188800812	-0.58394974	No	
row_8	EIF2S2	Eif2s2	1482	-0.05576760694384575	-0.70573366	No	
row_9	RPS17	Rps17	1723	-0.11757002770900726	-0.8055719	Yes	
row_10	RPS16	Rps16	1765	-0.14085543155670166	-0.7894275	Yes	
row_11	EIF4A1	Eif4a1	1772	-0.1449633091688156	-0.7528807	Yes	
row_12	RPS27	Rps27	1778	-0.15053215622901917	-0.71425235	Yes	
row_13	RPS5	Rps5	1791	-0.1669297218322754	-0.67497087	Yes	
row_14	RPS2	Rps2	1802	-0.1830982267856598	-0.63014334	Yes	
row_15	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.58051324	Yes	
row_16	RPS20	Rps20	1826	-0.23914656043052673	-0.5230312	Yes	
row_17	RPS29	Rps29	1829	-0.2690037190914154	-0.4501827	Yes	
row_18	RPS7	Rps7	1830	-0.27901554107666016	-0.37348065	Yes	
row_19	RPS8	Rps8	1832	-0.30077749490737915	-0.29134682	Yes	
row_20	RPS19	Rps19	1834	-0.3106273114681244	-0.20650527	Yes	
row_21	RPS24	Rps24	1837	-0.3328368067741394	-0.11610892	Yes	
row_22	RPS3A	Rps3a1	1838	-0.4223642349243164	5.6577846E-8	Yes	
