NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL13A	Rpl13a	97	0.15056666731834412	-0.021263175	No	
row_1	RPS12	Rps12	117	0.13742126524448395	-0.0021484478	No	
row_2	RPL39	Rpl39	267	0.07689602673053741	-0.06811085	No	
row_3	RPS11	Rps11	304	0.06530115008354187	-0.07397034	No	
row_4	RPL32	Rpl32	320	0.06259050965309143	-0.06878015	No	
row_5	RPS15A	Rps15a	566	0.03236118331551552	-0.19753408	No	
row_6	RPSA	Rpsa	761	0.014469331130385399	-0.30189234	No	
row_7	ATP6V1G3	Atp6v1g3	773	0.013749008998274803	-0.30502093	No	
row_8	RPLP0	Rplp0	919	7.649999461136758E-4	-0.38518834	No	
row_9	ITFG2	Itfg2	929	1.1195944352948572E-5	-0.39017206	No	
row_10	RPS26	Rps26	1232	-0.027399428188800812	-0.5515752	No	
row_11	ATP6V0E2	Atp6v0e2	1287	-0.03327898681163788	-0.574314	No	
row_12	EIF2S2	Eif2s2	1482	-0.05576760694384575	-0.6697644	No	
row_13	RPL37A	Rpl37a	1494	-0.05799233168363571	-0.66335	No	
row_14	RRAGD	Rragd	1500	-0.05880386009812355	-0.65343636	No	
row_15	RPL28	Rpl28	1602	-0.07890687882900238	-0.69237226	No	
row_16	RPL23	Rpl23	1688	-0.09967274218797684	-0.71796477	Yes	
row_17	RPLP1	Rplp1	1716	-0.11358648538589478	-0.7084232	Yes	
row_18	RPS17	Rps17	1723	-0.11757002770900726	-0.6863881	Yes	
row_19	RPL12	Rpl12	1761	-0.13574686646461487	-0.6776068	Yes	
row_20	RPS16	Rps16	1765	-0.14085543155670166	-0.6488871	Yes	
row_21	RPL13	Rpl13	1775	-0.1465899497270584	-0.62225455	Yes	
row_22	RPS27	Rps27	1778	-0.15053215622901917	-0.59089357	Yes	
row_23	RPS5	Rps5	1791	-0.1669297218322754	-0.56153595	Yes	
row_24	RPL22L1	Rpl22l1	1792	-0.16698847711086273	-0.5255174	Yes	
row_25	RPS2	Rps2	1802	-0.1830982267856598	-0.49101022	Yes	
row_26	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.45292303	Yes	
row_27	RPS20	Rps20	1826	-0.23914656043052673	-0.40965062	Yes	
row_28	RPS29	Rps29	1829	-0.2690037190914154	-0.35273597	Yes	
row_29	RPS7	Rps7	1830	-0.27901554107666016	-0.29255378	Yes	
row_30	RPS8	Rps8	1832	-0.30077749490737915	-0.22823168	Yes	
row_31	RPS19	Rps19	1834	-0.3106273114681244	-0.16178504	Yes	
row_32	RPS24	Rps24	1837	-0.3328368067741394	-0.091101915	Yes	
row_33	RPS3A	Rps3a1	1838	-0.4223642349243164	-1.7344291E-7	Yes	
