NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FYN	Fyn	27	0.24973702430725098	0.08995784	Yes	
row_1	CD2	Cd2	49	0.20149105787277222	0.16297036	Yes	
row_2	IGHM	Ighm	77	0.17088627815246582	0.21981288	Yes	
row_3	ITGB1	Itgb1	94	0.15416833758354187	0.27571502	Yes	
row_4	CD47	Cd47	116	0.13759204745292664	0.32189158	Yes	
row_5	JAML	Jaml	126	0.1296178549528122	0.37135264	Yes	
row_6	PTPN6	Ptpn6	128	0.12868139147758484	0.42484277	Yes	
row_7	TGFB1	Tgfb1	149	0.11686088144779205	0.46286556	Yes	
row_8	ITGA4	Itga4	223	0.08718926459550858	0.45912907	Yes	
row_9	ITGAL	Itgal	228	0.08672702312469482	0.49334103	Yes	
row_10	SELPLG	Selplg	236	0.08571770042181015	0.52547073	Yes	
row_11	DOK2	Dok2	389	0.05214501544833183	0.46334603	No	
row_12	VPREB1	Vpreb1	454	0.045330628752708435	0.44700506	No	
row_13	SELL	Sell	455	0.044830337166786194	0.46583268	No	
row_14	KRAS	Kras	470	0.04203089699149132	0.4757455	No	
row_15	FCER1G	Fcer1g	593	0.02993105910718441	0.42087522	No	
row_16	GYPC	Gypc	726	0.016984377056360245	0.35503975	No	
row_17	CD84	Cd84	775	0.013725068420171738	0.3342699	No	
row_18	L1CAM	L1cam	907	0.0020339833572506905	0.26270846	No	
row_19	SPN	Spn	967	-0.004145254846662283	0.23183465	No	
row_20	CD48	Cd48	1000	-0.006915904115885496	0.21704982	No	
row_21	ATP1B1	Atp1b1	1238	-0.027966422960162163	0.09778341	No	
row_22	PIK3CA	Pik3ca	1286	-0.033145055174827576	0.08572228	No	
row_23	PECAM1	Pecam1	1412	-0.04643755033612251	0.036125932	No	
row_24	ITGB2	Itgb2	1433	-0.04842843487858772	0.045408815	No	
row_25	EPCAM	Epcam	1470	-0.05396142601966858	0.04817075	No	
row_26	ITGA6	Itga6	1526	-0.06312344968318939	0.04427746	No	
row_27	ATP1B3	Atp1b3	1530	-0.0637563169002533	0.06939512	No	
row_28	CD99L2	Cd99l2	1580	-0.07451960444450378	0.07360467	No	
row_29	MIF	Mif	1788	-0.163016676902771	0.02763969	No	
