NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL13A	Rpl13a	97	0.15056666731834412	-0.022189861	No	
row_1	RPS12	Rps12	117	0.13742126524448395	-0.0038995624	No	
row_2	RPL39	Rpl39	267	0.07689602673053741	-0.07036579	No	
row_3	RPS11	Rps11	304	0.06530115008354187	-0.07662531	No	
row_4	RPL32	Rpl32	320	0.06259050965309143	-0.07181256	No	
row_5	RPS15A	Rps15a	566	0.03236118331551552	-0.20083451	No	
row_6	PABPC1	Pabpc1	622	0.027006709948182106	-0.22565798	No	
row_7	RPSA	Rpsa	761	0.014469331130385399	-0.2991199	No	
row_8	EIF4A2	Eif4a2	872	0.004644416272640228	-0.35912138	No	
row_9	RPLP0	Rplp0	919	7.649999461136758E-4	-0.38445982	No	
row_10	EIF3A	Eif3a	1159	-0.021003196015954018	-0.512538	No	
row_11	RPS26	Rps26	1232	-0.027399428188800812	-0.5467026	No	
row_12	EIF5B	Eif5b	1348	-0.03989909961819649	-0.60208154	No	
row_13	EIF2S2	Eif2s2	1482	-0.05576760694384575	-0.66411	No	
row_14	RPL37A	Rpl37a	1494	-0.05799233168363571	-0.65804434	No	
row_15	RPL28	Rpl28	1602	-0.07890687882900238	-0.7008072	No	
row_16	RPL23	Rpl23	1688	-0.09967274218797684	-0.7270196	Yes	
row_17	RPLP1	Rplp1	1716	-0.11358648538589478	-0.71816295	Yes	
row_18	RPS17	Rps17	1723	-0.11757002770900726	-0.69683	Yes	
row_19	RPL12	Rpl12	1761	-0.13574686646461487	-0.6888687	Yes	
row_20	RPS16	Rps16	1765	-0.14085543155670166	-0.6609889	Yes	
row_21	EIF4A1	Eif4a1	1772	-0.1449633091688156	-0.6339106	Yes	
row_22	RPL13	Rpl13	1775	-0.1465899497270584	-0.6042738	Yes	
row_23	RPS27	Rps27	1778	-0.15053215622901917	-0.5738101	Yes	
row_24	RPS5	Rps5	1791	-0.1669297218322754	-0.5454505	Yes	
row_25	RPL22L1	Rpl22l1	1792	-0.16698847711086273	-0.5104267	Yes	
row_26	RPS2	Rps2	1802	-0.1830982267856598	-0.47701296	Yes	
row_27	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.44008687	Yes	
row_28	RPS20	Rps20	1826	-0.23914656043052673	-0.39824364	Yes	
row_29	RPS29	Rps29	1829	-0.2690037190914154	-0.34293202	Yes	
row_30	RPS7	Rps7	1830	-0.27901554107666016	-0.28441188	Yes	
row_31	RPS8	Rps8	1832	-0.30077749490737915	-0.22188175	Yes	
row_32	RPS19	Rps19	1834	-0.3106273114681244	-0.15728574	Yes	
row_33	RPS24	Rps24	1837	-0.3328368067741394	-0.08858589	Yes	
row_34	RPS3A	Rps3a1	1838	-0.4223642349243164	-9.7366865E-8	Yes	
