NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	1	0.4471670091152191	0.11624227	Yes	
row_1	CCR2	Ccr2	2	0.40328532457351685	0.2215773	Yes	
row_2	CCL5	Ccl5	9	0.3305954337120056	0.30460036	Yes	
row_3	CCL4	Ccl4	14	0.3131081461906433	0.3841645	Yes	
row_4	CXCR6	Cxcr6	30	0.24224966764450073	0.4391234	Yes	
row_5	GNAS	Gnas	33	0.22650864720344543	0.49717706	Yes	
row_6	CXCR3	Cxcr3	143	0.12085402756929398	0.46832195	Yes	
row_7	GNG2	Gng2	148	0.11788184195756912	0.49689448	Yes	
row_8	GPR18	Gpr18	164	0.10920783132314682	0.51710385	Yes	
row_9	RGS1	Rgs1	167	0.10737178474664688	0.5440399	Yes	
row_10	RGS3	Rgs3	209	0.09296056628227234	0.5455932	Yes	
row_11	GPR183	Gpr183	218	0.08879096060991287	0.5643501	Yes	
row_12	S1PR5	S1pr5	233	0.08624712377786636	0.5791167	Yes	
row_13	CX3CR1	Cx3cr1	311	0.06440193951129913	0.5532551	No	
row_14	PPP3CC	Ppp3cc	464	0.043322283774614334	0.4803133	No	
row_15	PPP3CA	Ppp3ca	569	0.03216151148080826	0.43106398	No	
row_16	GNAL	Gnal	575	0.0316089391708374	0.43654838	No	
row_17	RGS10	Rgs10	634	0.02599647082388401	0.41118768	No	
row_18	CXCR4	Cxcr4	670	0.022946752607822418	0.39777988	No	
row_19	CXCR5	Cxcr5	676	0.02240775339305401	0.400861	No	
row_20	CREB1	Creb1	965	-0.004020351450890303	0.24226584	No	
row_21	GNA15	Gna15	1029	-0.009076135233044624	0.20971406	No	
row_22	CAMKK1	Camkk1	1065	-0.012265190482139587	0.1935163	No	
row_23	S1PR4	S1pr4	1228	-0.027168313041329384	0.110812016	No	
row_24	GNAQ	Gnaq	1346	-0.039713986217975616	0.05632913	No	
row_25	GNB4	Gnb4	1357	-0.04070259630680084	0.0614171	No	
row_26	CALM1	Calm1	1365	-0.041874583810567856	0.06847415	No	
row_27	PDE4B	Pde4b	1404	-0.045519016683101654	0.05929907	No	
row_28	PRKAR2B	Prkar2b	1431	-0.04808640480041504	0.057446454	No	
row_29	PRKCA	Prkca	1513	-0.06140999495983124	0.02858605	No	
row_30	RGS12	Rgs12	1542	-0.0659569799900055	0.030292446	No	
row_31	CAMK2D	Camk2d	1608	-0.08006354421377182	0.015173388	No	
row_32	ITPR2	Itpr2	1624	-0.08238723874092102	0.028377445	No	
row_33	CCR9	Ccr9	1754	-0.13221673667430878	-0.008596318	No	
row_34	CCR7	Ccr7	1818	-0.2090611755847931	0.011086462	No	
