NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL13A	Rpl13a	97	0.15056666731834412	-0.027018169	No	
row_1	RPS12	Rps12	117	0.13742126524448395	-0.012876535	No	
row_2	SERINC3	Serinc3	217	0.08897785097360611	-0.052100565	No	
row_3	RPL39	Rpl39	267	0.07689602673053741	-0.06559829	No	
row_4	SAT1	Sat1	268	0.07650043815374374	-0.051823482	No	
row_5	RPS11	Rps11	304	0.06530115008354187	-0.059596494	No	
row_6	RPL32	Rpl32	320	0.06259050965309143	-0.056696873	No	
row_7	SERINC5	Serinc5	430	0.04760799929499626	-0.10895039	No	
row_8	GLS	Gls	442	0.04631762579083443	-0.106748745	No	
row_9	DDC	Ddc	473	0.04176510125398636	-0.115969524	No	
row_10	RPS15A	Rps15a	566	0.03236118331551552	-0.1614818	No	
row_11	RPSA	Rpsa	761	0.014469331130385399	-0.26713535	No	
row_12	CARNS1	Carns1	841	0.007253526709973812	-0.3099141	No	
row_13	RPLP0	Rplp0	919	7.649999461136758E-4	-0.35274512	No	
row_14	PPM1K	Ppm1k	1019	-0.008206845261156559	-0.40651292	No	
row_15	PXMP2	Pxmp2	1033	-0.009344598278403282	-0.41208476	No	
row_16	CSAD	Csad	1058	-0.011432700790464878	-0.42341903	No	
row_17	RPS26	Rps26	1232	-0.027399428188800812	-0.5150256	No	
row_18	PSMB9	Psmb9	1236	-0.02769991010427475	-0.511712	No	
row_19	HAL	Hal	1422	-0.04712868854403496	-0.6064626	No	
row_20	PSME1	Psme1	1450	-0.051423683762550354	-0.6122701	No	
row_21	RPL37A	Rpl37a	1494	-0.05799233168363571	-0.62582344	No	
row_22	PSMB8	Psmb8	1587	-0.07597187161445618	-0.6634831	Yes	
row_23	RPL28	Rpl28	1602	-0.07890687882900238	-0.6570875	Yes	
row_24	ASS1	Ass1	1625	-0.08240000903606415	-0.6545272	Yes	
row_25	SMS	Sms	1645	-0.08597386628389359	-0.64964926	Yes	
row_26	RPL23	Rpl23	1688	-0.09967274218797684	-0.6551395	Yes	
row_27	PSMB10	Psmb10	1692	-0.10207001119852066	-0.6384347	Yes	
row_28	PSME2	Psme2	1715	-0.11327419430017471	-0.6303151	Yes	
row_29	RPLP1	Rplp1	1716	-0.11358648538589478	-0.60986257	Yes	
row_30	RPS17	Rps17	1723	-0.11757002770900726	-0.5920409	Yes	
row_31	RPL12	Rpl12	1761	-0.13574686646461487	-0.5882454	Yes	
row_32	RPS16	Rps16	1765	-0.14085543155670166	-0.56455684	Yes	
row_33	RPL13	Rpl13	1775	-0.1465899497270584	-0.5431839	Yes	
row_34	RPS27	Rps27	1778	-0.15053215622901917	-0.5171949	Yes	
row_35	SRM	Srm	1782	-0.15573067963123322	-0.4908279	Yes	
row_36	RPS5	Rps5	1791	-0.1669297218322754	-0.46523452	Yes	
row_37	RPL22L1	Rpl22l1	1792	-0.16698847711086273	-0.43516627	Yes	
row_38	RPS2	Rps2	1802	-0.1830982267856598	-0.40721962	Yes	
row_39	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.37609327	Yes	
row_40	RPS20	Rps20	1826	-0.23914656043052673	-0.34140265	Yes	
row_41	RPS29	Rps29	1829	-0.2690037190914154	-0.29408145	Yes	
row_42	RPS7	Rps7	1830	-0.27901554107666016	-0.24384142	Yes	
row_43	RPS8	Rps8	1832	-0.30077749490737915	-0.19024093	Yes	
row_44	RPS19	Rps19	1834	-0.3106273114681244	-0.13486688	Yes	
row_45	RPS24	Rps24	1837	-0.3328368067741394	-0.07605177	Yes	
row_46	RPS3A	Rps3a1	1838	-0.4223642349243164	-1.2833334E-7	Yes	
