NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	19	0.2894119322299957	0.20840217	Yes	
row_1	ACTB	Actb	45	0.2099303901195526	0.353417	Yes	
row_2	BCL2L11	Bcl2l11	131	0.12787051498889923	0.40347356	Yes	
row_3	ARRB2	Arrb2	219	0.08871075510978699	0.4228243	Yes	
row_4	TLN1	Tln1	225	0.08683028072118759	0.485734	Yes	
row_5	ZC3HAV1	Zc3hav1	242	0.08448860049247742	0.54083914	Yes	
row_6	LMNA	Lmna	306	0.06515341252088547	0.55554324	Yes	
row_7	BRAF	Braf	350	0.056777507066726685	0.57488525	Yes	
row_8	AKAP9	Akap9	400	0.05115177482366562	0.5866824	Yes	
row_9	APBB1IP	Apbb1ip	465	0.04328392446041107	0.5843024	Yes	
row_10	KRAS	Kras	470	0.04203089699149132	0.61388785	Yes	
row_11	KDM7A	Kdm7a	561	0.03277968987822533	0.5893034	No	
row_12	KSR1	Ksr1	677	0.02212202362716198	0.54294705	No	
row_13	IQGAP1	Iqgap1	925	9.549041715217754E-5	0.40752828	No	
row_14	CALM1	Calm1	1365	-0.041874583810567856	0.19837783	No	
row_15	CAMK2D	Camk2d	1608	-0.08006354421377182	0.1261657	No	
