NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL13A	Rpl13a	97	0.15056666731834412	-0.02514133	No	
row_1	RPS12	Rps12	117	0.13742126524448395	-0.009437697	No	
row_2	RPL39	Rpl39	267	0.07689602673053741	-0.0775645	No	
row_3	RPS11	Rps11	304	0.06530115008354187	-0.085094735	No	
row_4	RPL32	Rpl32	320	0.06259050965309143	-0.0814699	No	
row_5	RPS15A	Rps15a	566	0.03236118331551552	-0.21147154	No	
row_6	PABPC1	Pabpc1	622	0.027006709948182106	-0.23688234	No	
row_7	RPSA	Rpsa	761	0.014469331130385399	-0.31082612	No	
row_8	EIF4A2	Eif4a2	872	0.004644416272640228	-0.37108353	No	
row_9	RPLP0	Rplp0	919	7.649999461136758E-4	-0.39650708	No	
row_10	EEF1A1	Eef1a1	1054	-0.011178694665431976	-0.46885633	No	
row_11	EIF3A	Eif3a	1159	-0.021003196015954018	-0.5226519	No	
row_12	RPS26	Rps26	1232	-0.027399428188800812	-0.55743736	No	
row_13	N6AMT1	N6amt1	1243	-0.028397811576724052	-0.5575684	No	
row_14	EIF5B	Eif5b	1348	-0.03989909961819649	-0.60775244	No	
row_15	EIF2S2	Eif2s2	1482	-0.05576760694384575	-0.67102367	No	
row_16	RPL37A	Rpl37a	1494	-0.05799233168363571	-0.6660542	No	
row_17	RPL28	Rpl28	1602	-0.07890687882900238	-0.71045035	No	
row_18	RPL23	Rpl23	1688	-0.09967274218797684	-0.7386486	Yes	
row_19	MRPL52	Mrpl52	1704	-0.10737058520317078	-0.72646505	Yes	
row_20	RPLP1	Rplp1	1716	-0.11358648538589478	-0.71086997	Yes	
row_21	RPS17	Rps17	1723	-0.11757002770900726	-0.69173425	Yes	
row_22	RPL12	Rpl12	1761	-0.13574686646461487	-0.6863562	Yes	
row_23	RPS16	Rps16	1765	-0.14085543155670166	-0.66110235	Yes	
row_24	PPA1	Ppa1	1769	-0.14364224672317505	-0.6353159	Yes	
row_25	EIF4A1	Eif4a1	1772	-0.1449633091688156	-0.6087211	Yes	
row_26	RPL13	Rpl13	1775	-0.1465899497270584	-0.58181536	Yes	
row_27	RPS27	Rps27	1778	-0.15053215622901917	-0.5541561	Yes	
row_28	RPS5	Rps5	1791	-0.1669297218322754	-0.52892154	Yes	
row_29	RPL22L1	Rpl22l1	1792	-0.16698847711086273	-0.4970054	Yes	
row_30	EEF1G	Eef1g	1797	-0.1736495941877365	-0.46603954	Yes	
row_31	RPS2	Rps2	1802	-0.1830982267856598	-0.4332678	Yes	
row_32	RPS4Y1	Rps4x	1810	-0.1945587694644928	-0.3999732	Yes	
row_33	RPS20	Rps20	1826	-0.23914656043052673	-0.36260357	Yes	
row_34	RPS29	Rps29	1829	-0.2690037190914154	-0.31230113	Yes	
row_35	RPS7	Rps7	1830	-0.27901554107666016	-0.25897345	Yes	
row_36	RPS8	Rps8	1832	-0.30077749490737915	-0.2020423	Yes	
row_37	RPS19	Rps19	1834	-0.3106273114681244	-0.14322858	Yes	
row_38	RPS24	Rps24	1837	-0.3328368067741394	-0.08072586	Yes	
row_39	RPS3A	Rps3a1	1838	-0.4223642349243164	-2.1797314E-7	Yes	
