NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMSB4Y	Tmsb4x	23	0.264394074678421	0.105664246	Yes	
row_1	FYN	Fyn	27	0.24973702430725098	0.21585055	Yes	
row_2	C1orf21	1700025G04Rik	90	0.15592080354690552	0.25131443	Yes	
row_3	CDKN2C	Cdkn2c	158	0.11212210357189178	0.26439068	Yes	
row_4	RGS1	Rgs1	167	0.10737178474664688	0.3080445	Yes	
row_5	ITPKB	Itpkb	171	0.10462065041065216	0.35323778	Yes	
row_6	MBNL1	Mbnl1	178	0.1021491214632988	0.39566118	Yes	
row_7	RORA	Rora	248	0.08192775398492813	0.3941057	Yes	
row_8	SAT1	Sat1	268	0.07650043815374374	0.41783565	Yes	
row_9	SAMSN1	Samsn1	301	0.06538989394903183	0.42938334	Yes	
row_10	LMNA	Lmna	306	0.06515341252088547	0.45634618	Yes	
row_11	CDC42EP3	Cdc42ep3	366	0.055343084037303925	0.4484275	Yes	
row_12	FOXN3	Foxn3	374	0.05440225079655647	0.46891227	Yes	
row_13	TGIF1	Tgif1	381	0.05298477038741112	0.48931652	Yes	
row_14	SLC27A4	Slc27a4	433	0.047252852469682693	0.48220906	Yes	
row_15	HIVEP3	Hivep3	479	0.04101018235087395	0.47563165	Yes	
row_16	ABLIM1	Ablim1	487	0.04016653820872307	0.4897407	Yes	
row_17	HIPK1	Hipk1	519	0.03631191700696945	0.48881963	No	
row_18	EGR2	Egr2	570	0.0321122407913208	0.47548547	No	
row_19	CUX1	Cux1	579	0.031284406781196594	0.48506218	No	
row_20	RBMS1	Rbms1	649	0.024810632690787315	0.45792574	No	
row_21	FNBP1	Fnbp1	770	0.013859000988304615	0.3976139	No	
row_22	TRPS1	Trps1	791	0.012163194827735424	0.39197493	No	
row_23	SMARCA2	Smarca2	890	0.0036371590103954077	0.3392802	No	
row_24	FRMD4A	Frmd4a	922	4.2716527241282165E-4	0.32228747	No	
row_25	CHD2	Chd2	977	-0.005226718727499247	0.29469484	No	
row_26	CITED2	Cited2	1010	-0.007675109431147575	0.28039393	No	
row_27	ZBTB20	Zbtb20	1199	-0.024362092837691307	0.18709208	No	
row_28	STAT3	Stat3	1215	-0.02601134590804577	0.19042689	No	
row_29	PLAG1	Plag1	1256	-0.030117793008685112	0.18174273	No	
row_30	BCL11B	Bcl11b	1274	-0.03242335841059685	0.18684062	No	
row_31	BACH2	Bach2	1403	-0.045482221990823746	0.13625722	No	
row_32	INPP4B	Inpp4b	1560	-0.07024361938238144	0.081242606	No	
row_33	BMPR2	Bmpr2	1599	-0.07780157774686813	0.095023155	No	
row_34	ATRX	Atrx	1626	-0.08240371942520142	0.11751675	No	
