NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.19756470620632172	0.023201302	No	
row_1	ARID4A	Arid4a	179	0.10205008089542389	-0.021894181	No	
row_2	OTUD7B	Otud7b	324	0.0622672401368618	-0.08622492	No	
row_3	RPS6KA5	Rps6ka5	351	0.05677341669797897	-0.0860558	No	
row_4	GAPDH	Gapdh	395	0.05166184529662132	-0.09670688	No	
row_5	DCK	Dck	438	0.04659566283226013	-0.10811055	No	
row_6	SMC3	Smc3	440	0.04640107974410057	-0.09665954	No	
row_7	ASXL2	Asxl2	446	0.04590313509106636	-0.08757206	No	
row_8	PPIG	Ppig	497	0.03831632062792778	-0.10558788	No	
row_9	RFC1	Rfc1	530	0.03546226769685745	-0.11428653	No	
row_10	LUC7L3	Luc7l3	674	0.022673798725008965	-0.1883063	No	
row_11	MTF2	Mtf2	708	0.01852201670408249	-0.20194812	No	
row_12	CTCF	Ctcf	897	0.0033475521486252546	-0.30610964	No	
row_13	NIPBL	Nipbl	900	0.0032497160136699677	-0.30638584	No	
row_14	GEN1	Gen1	911	0.0015262417728081346	-0.3115774	No	
row_15	CCNT1	Ccnt1	915	0.0011533170472830534	-0.3129549	No	
row_16	KBTBD7	Kbtbd7	1098	-0.014749955385923386	-0.41081324	No	
row_17	OLFML3	Olfml3	1117	-0.016332127153873444	-0.41664198	No	
row_18	PRRC2C	Prrc2c	1144	-0.019085606560111046	-0.42622733	No	
row_19	TRMT6	Trmt6	1237	-0.02775442786514759	-0.47044048	No	
row_20	PIM1	Pim1	1242	-0.028347209095954895	-0.46533823	No	
row_21	YTHDC1	Ythdc1	1263	-0.030783552676439285	-0.46854392	No	
row_22	SIK2	Sik2	1268	-0.03198463097214699	-0.4625002	No	
row_23	CASP8AP2	Casp8ap2	1527	-0.06313390284776688	-0.59029377	Yes	
row_24	HNRNPR	Hnrnpr	1531	-0.06391225010156631	-0.57542783	Yes	
row_25	ATAD2	Atad2	1567	-0.07148914784193039	-0.5764778	Yes	
row_26	JADE1	Jade1	1588	-0.07620391994714737	-0.5679277	Yes	
row_27	RRM2	Rrm2	1620	-0.08208263665437698	-0.56400126	Yes	
row_28	ATRX	Atrx	1626	-0.08240371942520142	-0.5454666	Yes	
row_29	PCLAF	Pclaf	1652	-0.08821278810501099	-0.5366016	Yes	
row_30	MCM3	Mcm3	1667	-0.09384172409772873	-0.52013445	Yes	
row_31	CBX5	Cbx5	1679	-0.09647281467914581	-0.50131035	Yes	
row_32	MCM6	Mcm6	1686	-0.09945669025182724	-0.47892064	Yes	
row_33	STMN1	Stmn1	1698	-0.10521647334098816	-0.45783344	Yes	
row_34	SMC6	Smc6	1705	-0.10751696676015854	-0.43335757	Yes	
row_35	EMSY	Emsy	1717	-0.11377525329589844	-0.41005516	Yes	
row_36	NOLC1	Nolc1	1718	-0.11386838555335999	-0.38058344	Yes	
row_37	MAT2A	Mat2a	1727	-0.11808580160140991	-0.3544894	Yes	
row_38	EZH2	Ezh2	1733	-0.11966704577207565	-0.32631013	Yes	
row_39	POLA1	Pola1	1736	-0.12234505265951157	-0.29576173	Yes	
row_40	HNRNPA1	Hnrnpa1	1738	-0.12445516884326935	-0.26410857	Yes	
row_41	ATAD5	Atad5	1748	-0.1294972151517868	-0.23561965	Yes	
row_42	CDCA7	Cdca7	1753	-0.13174042105674744	-0.20375685	Yes	
row_43	SRSF2	Srsf2	1756	-0.13299895823001862	-0.170451	Yes	
row_44	EIF4A1	Eif4a1	1772	-0.1449633091688156	-0.14131106	Yes	
row_45	LIG1	Lig1	1783	-0.15596722066402435	-0.10652978	Yes	
row_46	SLCO3A1	Slco3a1	1793	-0.16775821149349213	-0.06813805	Yes	
row_47	CDK1	Cdk1	1798	-0.17727868258953094	-0.024488905	Yes	
row_48	NCL	Ncl	1801	-0.1787964403629303	0.020670382	Yes	
