NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.19756470620632172	0.02733865	No	
row_1	ARID4A	Arid4a	179	0.10205008089542389	-0.015619727	No	
row_2	TMEM108	Tmem108	200	0.09525644779205322	-1.4352845E-4	No	
row_3	OTUD7B	Otud7b	324	0.0622672401368618	-0.05143844	No	
row_4	RPS6KA5	Rps6ka5	351	0.05677341669797897	-0.050080385	No	
row_5	GAPDH	Gapdh	395	0.05166184529662132	-0.059649576	No	
row_6	DCK	Dck	438	0.04659566283226013	-0.07007745	No	
row_7	SMC3	Smc3	440	0.04640107974410057	-0.057654724	No	
row_8	ASXL2	Asxl2	446	0.04590313509106636	-0.04760595	No	
row_9	LUC7L3	Luc7l3	674	0.022673798725008965	-0.16807826	No	
row_10	APPL1	Appl1	696	0.020205939188599586	-0.1741572	No	
row_11	MYC	Myc	701	0.019008904695510864	-0.17107381	No	
row_12	MTF2	Mtf2	708	0.01852201670408249	-0.16924396	No	
row_13	FLI1	Fli1	883	0.003889508778229356	-0.26536253	No	
row_14	CTCF	Ctcf	897	0.0033475521486252546	-0.27168855	No	
row_15	NIPBL	Nipbl	900	0.0032497160136699677	-0.27189672	No	
row_16	GEN1	Gen1	911	0.0015262417728081346	-0.27705634	No	
row_17	CCNT1	Ccnt1	915	0.0011533170472830534	-0.27840966	No	
row_18	PBRM1	Pbrm1	1020	-0.00823324453085661	-0.33420685	No	
row_19	KBTBD7	Kbtbd7	1098	-0.014749955385923386	-0.3730971	No	
row_20	MSH5	Msh5	1158	-0.020913496613502502	-0.4002071	No	
row_21	HNRNPA2B1	Hnrnpa2b1	1165	-0.021682366728782654	-0.39749312	No	
row_22	TRMT6	Trmt6	1237	-0.02775442786514759	-0.4293932	No	
row_23	PIM1	Pim1	1242	-0.028347209095954895	-0.4236973	No	
row_24	YTHDC1	Ythdc1	1263	-0.030783552676439285	-0.42625833	No	
row_25	SERBP1	Serbp1	1384	-0.043379101902246475	-0.4811615	No	
row_26	ZCWPW1	Zcwpw1	1394	-0.04406146705150604	-0.4738626	No	
row_27	PRPF4B	Prpf4b	1421	-0.04693863168358803	-0.47525597	No	
row_28	CASP8AP2	Casp8ap2	1527	-0.06313390284776688	-0.5162526	Yes	
row_29	HNRNPR	Hnrnpr	1531	-0.06391225010156631	-0.50004816	Yes	
row_30	ATAD2	Atad2	1567	-0.07148914784193039	-0.4996011	Yes	
row_31	JADE1	Jade1	1588	-0.07620391994714737	-0.4894551	Yes	
row_32	RRM2	Rrm2	1620	-0.08208263665437698	-0.48380974	Yes	
row_33	PCLAF	Pclaf	1652	-0.08821278810501099	-0.47644934	Yes	
row_34	MCM3	Mcm3	1667	-0.09384172409772873	-0.458017	Yes	
row_35	MCM6	Mcm6	1686	-0.09945669025182724	-0.4402484	Yes	
row_36	STMN1	Stmn1	1698	-0.10521647334098816	-0.4169578	Yes	
row_37	SMC6	Smc6	1705	-0.10751696676015854	-0.3902303	Yes	
row_38	EMSY	Emsy	1717	-0.11377525329589844	-0.36454526	Yes	
row_39	NOLC1	Nolc1	1718	-0.11386838555335999	-0.33268893	Yes	
row_40	EZH2	Ezh2	1733	-0.11966704577207565	-0.30703154	Yes	
row_41	POLA1	Pola1	1736	-0.12234505265951157	-0.27392104	Yes	
row_42	ATAD5	Atad5	1748	-0.1294972151517868	-0.24383757	Yes	
row_43	CDCA7	Cdca7	1753	-0.13174042105674744	-0.2092159	Yes	
row_44	SMC1A	Smc1a	1771	-0.1445993185043335	-0.17825933	Yes	
row_45	SLCO3A1	Slco3a1	1793	-0.16775821149349213	-0.14305836	Yes	
row_46	CDK1	Cdk1	1798	-0.17727868258953094	-0.0956967	Yes	
row_47	NCL	Ncl	1801	-0.1787964403629303	-0.046793103	Yes	
row_48	RPS20	Rps20	1826	-0.23914656043052673	0.006703822	Yes	
