NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.19756470620632172	0.021952016	No	
row_1	ARID4A	Arid4a	179	0.10205008089542389	-0.02382068	No	
row_2	TMEM108	Tmem108	200	0.09525644779205322	-0.01094038	No	
row_3	OTUD7B	Otud7b	324	0.0622672401368618	-0.063966505	No	
row_4	RPS6KA5	Rps6ka5	351	0.05677341669797897	-0.06416003	No	
row_5	GAPDH	Gapdh	395	0.05166184529662132	-0.07514713	No	
row_6	DCK	Dck	438	0.04659566283226013	-0.08685487	No	
row_7	SMC3	Smc3	440	0.04640107974410057	-0.07569393	No	
row_8	ASXL2	Asxl2	446	0.04590313509106636	-0.06689464	No	
row_9	LUC7L3	Luc7l3	674	0.022673798725008965	-0.18805425	No	
row_10	APPL1	Appl1	696	0.020205939188599586	-0.19468907	No	
row_11	MYC	Myc	701	0.019008904695510864	-0.19212371	No	
row_12	MTF2	Mtf2	708	0.01852201670408249	-0.19079928	No	
row_13	NIPBL	Nipbl	900	0.0032497160136699677	-0.29674202	No	
row_14	GEN1	Gen1	911	0.0015262417728081346	-0.30194625	No	
row_15	CCNT1	Ccnt1	915	0.0011533170472830534	-0.30333185	No	
row_16	PBRM1	Pbrm1	1020	-0.00823324453085661	-0.35938534	No	
row_17	KBTBD7	Kbtbd7	1098	-0.014749955385923386	-0.39870062	No	
row_18	OLFML3	Olfml3	1117	-0.016332127153873444	-0.40463698	No	
row_19	MSH5	Msh5	1158	-0.020913496613502502	-0.42171353	No	
row_20	HNRNPA2B1	Hnrnpa2b1	1165	-0.021682366728782654	-0.41959086	No	
row_21	TRMT6	Trmt6	1237	-0.02775442786514759	-0.45226768	No	
row_22	PIM1	Pim1	1242	-0.028347209095954895	-0.44734368	No	
row_23	YTHDC1	Ythdc1	1263	-0.030783552676439285	-0.45074782	No	
row_24	ZCWPW1	Zcwpw1	1394	-0.04406146705150604	-0.5122852	No	
row_25	PRPF4B	Prpf4b	1421	-0.04693863168358803	-0.51496273	No	
row_26	CASP8AP2	Casp8ap2	1527	-0.06313390284776688	-0.55770844	Yes	
row_27	HNRNPR	Hnrnpr	1531	-0.06391225010156631	-0.5432425	Yes	
row_28	ATAD2	Atad2	1567	-0.07148914784193039	-0.5447499	Yes	
row_29	JADE1	Jade1	1588	-0.07620391994714737	-0.53668183	Yes	
row_30	RRM2	Rrm2	1620	-0.08208263665437698	-0.5332777	Yes	
row_31	PCLAF	Pclaf	1652	-0.08821278810501099	-0.52832514	Yes	
row_32	MCM3	Mcm3	1667	-0.09384172409772873	-0.5124483	Yes	
row_33	MCM6	Mcm6	1686	-0.09945669025182724	-0.4973892	Yes	
row_34	STMN1	Stmn1	1698	-0.10521647334098816	-0.47696248	Yes	
row_35	SMC6	Smc6	1705	-0.10751696676015854	-0.4531598	Yes	
row_36	EMSY	Emsy	1717	-0.11377525329589844	-0.43057132	Yes	
row_37	NOLC1	Nolc1	1718	-0.11386838555335999	-0.40181062	Yes	
row_38	MAT2A	Mat2a	1727	-0.11808580160140991	-0.37645647	Yes	
row_39	EZH2	Ezh2	1733	-0.11966704577207565	-0.349026	Yes	
row_40	POLA1	Pola1	1736	-0.12234505265951157	-0.3192422	Yes	
row_41	ATAD5	Atad5	1748	-0.1294972151517868	-0.2926827	Yes	
row_42	CDCA7	Cdca7	1753	-0.13174042105674744	-0.2616438	Yes	
row_43	SMC1A	Smc1a	1771	-0.1445993185043335	-0.23462363	Yes	
row_44	EIF4A1	Eif4a1	1772	-0.1449633091688156	-0.19800901	Yes	
row_45	LIG1	Lig1	1783	-0.15596722066402435	-0.16420476	Yes	
row_46	SLCO3A1	Slco3a1	1793	-0.16775821149349213	-0.12686339	Yes	
row_47	CDK1	Cdk1	1798	-0.17727868258953094	-0.084322505	Yes	
row_48	NCL	Ncl	1801	-0.1787964403629303	-0.040280312	Yes	
row_49	RPS20	Rps20	1826	-0.23914656043052673	0.006707644	Yes	
